19:63:001:1	Psalm . lxiij .
19:63:002:1	¶ Deus , Deus meus .
19:63:001:0	DEw , vy-Dew ytwyt , yn vorae yth ceisiaf : sychedai vy eneit am danat , y mae hiraeth ar vy cnawt am danat mewn tir diffaith hispydd eb ddwfyr .
19:63:002:0	Val hyn ith welais megis mewn Cessegr wrth welet dy gadernit ath ’ogoniant .
19:63:003:0	Can ys gwell dy drugarogwydd na bywyt : am hyny vy-gwefusae ath volant .
19:63:004:0	Val hyn ith glodvaraf yn vy-byw , [ ac] y derchaf vy-dwylo yn dy Enw .
19:63:005:0	Vy eneit y ddigonir , megis a mêr a ’braster , am geneu [ ath] vawl a gwefusae hyfryd .
19:63:006:0	Pan yth gofia yn vy-gwely , a’ phan ith vevyriaf yn gwiliau [ y nos] .
19:63:007:0	Can ys buo’st’ yn borth ymy , am hyn y dan dy adaneð y gwnaf yn llawen .
19:63:008:0	Vy eneit a lŷn wrthyt : [ can ys] dy ddeheulaw am cynnaliawdd .
19:63:009:0	A rei n a gaisiant vy eneit yw ddivetha , ys ant i’r lleoedd-isaf y ddaiar .
19:63:010:0	Wy y bwriant efa min y cleddyf , [ a’hwy] vyddant yn rhan ir llwynogot .
19:63:011:0	A’r Brenhin a lawenycha yn-Dew . [ a’] phawp a dwng yddo vydd ei gorvoledd [ ynthaw] : can ys genae yr ei a ðywetant gelwydd y argéir .
