19:45:001:1	Psalm . xlv .
19:45:002:1	¶ Eructauit cor meum .
19:45:001:0	VY-calon a adrodd beth da , traethaf vy-gwaithieu ir Brenhin : vy-tauot [ ys y val] pin escrivenydd buan .
19:45:002:0	Tecach ytwyt no phlant dynion : dineuwyt rrat yn dy wefusae , can i Ddew dy vendithiaw yn tragywyth .
19:45:003:0	Gwregysa dy cleðyf ar [ dy] glun , [ ha] wr cadarn [ ’sef] dy barch ath brydverthwch .
19:45:004:0	Ac ith brydverthwch llwyddych : marchoc ar ’air y gwirionedd , a gwarder [ a’] chyfiawndap , ath ðeheulaw a ðysc yty bethae terribl .
19:45:005:0	[ Ys-blaen] llymion dy saethae [ y wanu] calon gelynion y Brenhin : [ am hyny] y cwymp populoedd y danat’ .
19:45:006:0	Dy eisteddfa , Ddew , [ ys y ] byth ac yn dragyvyth : teyrnwailen dy deyrnas teyrnwialen gyfiawnder .
19:45:007:0	Cery gyfiawnder , a’ chasey enwiredd , o bleit y Ddew , [ ys ef] dy Ddew di ath enneiniawdd ac oleo llawenydd uchlaw dy gyfeillion .
19:45:008:0	[ Arogl] myrr , ac aloe , [ a’] chassia , [ ys y ar] dy oll ddillat , [ pan ddelych] o’r llysoedd prydverth , lle ith lawenesant .
19:45:009:0	Merchet Brenhinedd [ oedd] ymplith dy verchet anrydeddus : ar dy ddeheulaw y savai y Vrenhines mewn gwisc ophir .
19:45:010:0	Clyw verch , a’gwyl , a’gostwng dy glust : gad hefyt dros gof dy bopul dy vn a’ thuy dy dad .
19:45:011:0	Yno y rhydd y Brenhin ei serch ar dy brydverthwch : can ys ef yw d’ Arglwydd a’ pharcha ef .
19:45:012:0	A’ merch Tirus [ y gyd a] goludogion y bopul a arvollant ac anreg ger dy wynep ,
19:45:013:0	Merch y Brenhin ’syd ’ogoneddus oll oy mewn : o amryw weuhat aur ymae ei dillat .
19:45:014:0	Hi ddugir at y Brenhin mewn gwiscoedd o waith ede a’nodwydd : y gweryfon [ vydd ar i hol] a’ ei chyveillesae a dducir atat’ .
19:45:015:0	Mewn llawenydd a’ gorvoledd y dugir hwy , ac ydd ant y mewn y lys y Brenhin .
19:45:016:0	Yn lle dy dadae y bydd dy blant : ti y gwnai hwy yn dywysogion dros yr oll ddaiar .
19:45:017:0	[ Mi] wnaf goffáu dy Enw yn yr oll genedlaetheu y gyd : am hyny ith clodvorant y bobuloedd byth yn oesoedd .
