19:137:001:1	Psalm . cxxxvij .
19:137:002:1	Super flumina .
19:137:001:0	WRth avonedd Babèl yr eisteddesam , ac yno yr wylesam , pan veddyliem am tSijòn .
19:137:002:0	Ar yr helic yn hei chenol y crogem ein telyneu .
19:137:003:0	Yno yr ei an ducsei yn gaith , y ovynent y ni gany cerdd , gwedy yni grogy [ ein telyne] gan ddywedyt , Cenwch y ni [ vn] o ganueu tSijón .
19:137:004:0	Py wedd [ eb y ni] y canwn , ganiat yr Arglwydd yn-tir estran ?
19:137:005:0	As ith angofiaf , Caerusalem , angofiet vy-deheu law ganu .
19:137:006:0	Any chofiaf am danat , glyned vy-tavot wrth daflot vy-genae : any chodaf Gaerusalem yn benaf llewenydd ymy .
19:137:007:0	Coffa Arglwydd blant Edóm , yn-dydd Caerusalem , yr ei y ddywedynt , Dynoethwch , [ hi] dynoethwc-hi yd hei sailvan .
19:137:008:0	A verch Babél , anrheithiedic , gwynvydedic [ vydd] yr hwn a dalo ’r pwyth yty , mal y teleist y nyny .
19:137:009:0	Gwyn ei vyd ’r hwn a gymero dy rei bychein ac ei baidd wrth y main .
