19:91:001:1	Psalm . xcj .
19:91:002:1	Qui habitat .
19:91:001:0	YR hwn a drig yn-dirgelwch y Goruchaf , y dan wascawt yr Oll gyvoethawc y cartefa .
19:91:002:0	Dywedaf wrth yr Arglwydd , â vy-gobeith , am ymddeffenva : [ efe yw] vy-Dew , ynthaw y ymddiriedaf .
19:91:003:0	Can ys ef ath wared y wrth hoynyn yr heliwr , ac y wrth y cornwyt llygrawc .
19:91:004:0	Dan ei adanedd ef ath toa , ac y dan ei escyll ith ddiogelir : ei wirionedd vydd dy darian ath vwcklet .
19:91:005:0	Nith ofnir gan arynaic y nos , [ na] chan y saeth y eheta y dydd :
19:91:006:0	Na chan y cornwyt y rodia yn y tywyllwch : [ na] chan yr adwyth a ddiva am haner dydd .
19:91:007:0	Mil y gwympant wrth dy ystlys , a’ myrdd ar dy ddeheulaw , [ ac] ny ddaw yn agos atati .
19:91:008:0	Eithr ath lygait ydd edrychy , a’ gobr yr andewolion y wely .
19:91:009:0	Can ys [ dywedeist] , Yr Arglwydd yw vy-gobeith : gossodeist y Goruchel yn noddva yty .
19:91:010:0	Ny ddygwydd yty ddrwc , ac ny nesa ddim pla ith pepyll .
19:91:011:0	Can ys yw Angelion y gorchymyn ef , dy gadw yn dy oll ffyrdd .
19:91:012:0	Yn eu dwylo ith dducant , rrac yt’ vriwo dy droet wrth garec .
19:91:013:0	Ar y lleo ar asp y cerddy , ceneu y lleo a’r ddraic y sathry .
19:91:014:0	O bleit yðo vy-caru , am hyny ei gwaredaf : [ mi] ei derchafaf can yddaw adnabot vy Enw .
19:91:015:0	Ef a’ ailw arnaf , ac ei gwrandawaf , gyd ac ef y [ byðaf] yn yr ing : mi ei gwaredaf , ac ei gogoneddaf .
19:91:016:0	A hir ddyddiae ei digonaf , a ðangosaf yðo vy iechyt .
