19:8:001:1	Psalm . viij .
19:8:002:1	¶ Domine dominus noster .
19:8:001:0	ARglwydd ein Ior ni , mor vawredic yw dy Enw yn yr oll vyd , yr hwn a roddeist dy ’ogoniant uch y nefoedd .
19:8:002:0	O enae rei bychein a’r ei yn sucno y pereist nerth , achos dy elynion , val y goystegyt y gelyn a’r dialwr .
19:8:003:0	Pan edrychwyf ar y nefoedd , [ ys ef] gwaith dy vysedd , y lloer a’r ser yr ei y ordeinaist .
19:8:004:0	Py peth yw dyn [ echre] pan yw yt veddwl am dano ? a’ map y dyn pan ymwelych ac ef ?
19:8:005:0	Can ys gwneythost ef yn is o ychydic no Duw , a’choroneist ef a’ gogoniant a phrydverthwch .
19:8:006:0	Ys gwneythost ef y arglwyddiaw ar werthrededd dy ddwylaw : [ ys] gosodeist pop peth y dan ei draet .
19:8:007:0	Oll ddeueit ac ychen ys , ac aniveilieit y maes .
19:8:008:0	Ehediait yr awyr , a’ physc y mor , [ ac] y dramwyo rhyd llwybrae y moroedd .
19:8:009:0	Arglwydd ein Ior ni , mor vawredic yw dy Enw yn yr oll vyt .
