19:2:001:1	Psalm . ij .
19:2:002:1	¶ Quare fremuerunt gentes .
19:2:001:0	PAam y tervysca y cenedloedd , ac y bwriada y poploedd yn over .
19:2:002:0	Brenhinedd y ddaiar ys yn ymosot , a’r pennaethae a ymgygoresont ynghyt yn erbyn yr Arglwydd , ac yn erbyn y Christ ef .
19:2:003:0	Drylliwn ei rhwymae hwy , a’ bwriwn ei rraffeu y wrthym .
19:2:004:0	Eithyr hwn a breswilia yn y nefoedd a chwardd : yr Arglwydd y gwatwor hwy .
19:2:005:0	Yna y dywait ef wrthynt yn ei lid , ac yn ei ðig ovaint ef eu cythrubla , [ gan ddywedyt . ]
19:2:006:0	Ys mi a osodeis vy-Brenhin , ar Tsijon vy santaidd vynyth ,
19:2:007:0	Mi vynagaf y ddeðyf : [ sef]yr Arglwydd a ddyvot wrthyf , Ti yw vy map : heddyw ith cenedleis .
19:2:008:0	Arch y-my , a’mi roddaf yt’ y cenedloedd yn etifeddiaeth y-ty : a’ thervynae y ddaiar ith veddiant .
19:2:009:0	Ti vriwy hwy a theirn wialen haiarn , [ a’] megis llestr pridd y drylly wyntwy .
19:2:010:0	Yr awrhon gan hynny pwyllogwch Vrenhinedd : byddwch ddyscedic varnwyr y ddaiar .
19:2:011:0	Gwasanaethwch yr Arglwyð mewn ofn , ac ymlawenhewch gan ddechryn .
19:2:012:0	Cyssenwch y Map rac iddo ddigio , ac y-chwy gyfergolly yny fforð , pan genneuo ei lit ef y chydigyn , gwyn ei vyt pawp y ymddiriedant yntho .
