19:35:001:1	Psalm . xxxv .
19:35:002:1	¶ Iudica Domine nocentes .
19:35:001:0	DAdle Arglwydd a’m dadleuwyr : ymladd a’r ei a ymladdant a mi .
19:35:002:0	Ymafael yn y tarian a’r astalch , a’ chyfod im cymporth .
19:35:003:0	Dwc hefyt y gwaiw [ ffon] ac argaea yn erbyn y rhei n’sydd im erlid : dywait wrth v’enait , Mi yw dy iechyt .
19:35:004:0	Cywilyddier , a’ gwradwydder yr ei y geisiant vy enait : ymchweler tragefyn , a’ gwarthaer y sawl a vwriadant ddrwc ymy .
19:35:005:0	Byddant val vs garbron y gwynt , ac Angel yr Arglwydd [ ei] goyscaro .
19:35:006:0	Bid ei ffordd yn dywyllwch ac yn llithricva : ac Angel yr Arglwydd y’w hymlid .
19:35:007:0	Can ys eb achos y cuddiesont bytew a’i rhwyt ymy : eb achos y cloddiesont [ bytew] i’m enait .
19:35:008:0	Deuet arno ddestruw ny wypo , a’ei rwyt y osodes yn dirgel , ei dalio : syrthiet yn y destruw hyny .
19:35:009:0	Yno y llawená vy enait yn yr Arglwydd : e lawenycha yn ei iechyt [ ef] .
19:35:010:0	Vy oll escyrn y ddywedant , Arglwydd , pwy val tydy , yr hwn y waredy y tlawt rac y vo trech nac ef : a’r tlawt a’r truan , rac neb ei yspeilio .
19:35:011:0	Cyvodesont testion trawsion : holesont vi am betheu ny wyddwn .
19:35:012:0	Talesont ymy ddrwc dros dda , y espeilio vy enait .
19:35:013:0	A’ mineu , pan glyvychynt wy , a wiscwn [ liein] sach : gestyngwn vy eneit ac vmpryt : am gweddi a ddymchwelit im monwes .
19:35:014:0	Ymddugwn val wrth gar , neu val wrth vy brawt : ymestyngais gan gwynvan val vn yn dwyn ’alar am ei vam
19:35:015:0	A ’hwytheu yn vy=cloffter a lawenychent , ac ydd ymgasclent : ymglascawdd efryddion yn vy erbyn , eb wy bot ymy : dryllieson vi ac eb dewi .
19:35:016:0	Gyd a’r gwatworwyr ffeilson yn-gwleddau , gan escyrnygy danedd arnaf .
19:35:017:0	Arglwydd yd pa bryd ydd edrychy [ ar hyn ? ] gwared vy enaid rac ei trafferthae , [ ys] vy vnic [ enait] rac y l’ewod
19:35:018:0	[ Yno] ith clodvoraf yn-Cynnlleidfa vawr : ith voliannaf ym-plith popul liosawc .
19:35:019:0	Na bo im gelynion lawenáu im erbyn yn ancyfion , [ ac na] amneidiant a llygat , y sawl sydd im casay yn ðiachos .
19:35:020:0	Can nad ymddiddanant yn dangneddyfus : eithyr dychymygu geiriae dichellgar yn erbyn y rei llonydd [ ar] y ddaiar .
19:35:021:0	Egoresont ei geneue arnaf , gan ðywedyt , Aha , aha , [ ys] gwelawdd ein llygat .
19:35:022:0	Gweleist [ hyn yma] Arglwydd : na thaw [ dithae] : nac ymbellá y wrthyf Arglwydd .
19:35:023:0	Cyvot a’ diffro i’m barn , ’sef i’m dadl , vy-Dew , a’m Arglwydd .
19:35:024:0	Barn vi Arglwydd vy-Dew , yn ol dy gyfiawnder , ac na lawenánt am danaf .
19:35:025:0	Na ddywetant yn ei calon , Wi , ein enaid bydd lawen : ac na bo yddyn ddywedyt , [ ys] divwynesam ef .
19:35:026:0	Cywilyddier a gwradwydder y gyt , yr ei ’sy lawen am vy-drwc : gwiscer a’ gwarth a’ chywilydd , yr ei ys yd yn ymorugaw yn v’erbyn .
19:35:027:0	Bid lawen a’ hyfryd , yr ei y garant vy-cyfiawnder : a’ dywedant yn oystat , Mawryger yr Arglwydd , yr hwn a gar lwyddiant ei wasanaethwr .
19:35:028:0	A’m tavawt [ inef] a venaic dy gyfiawnder a’th voliant bop dydd .
