19:20:001:1	Psalm . xx .
19:20:002:1	¶ Exaudiat te Dominus .
19:20:001:0	GWrandawet yr Arglwydd arnat yn-dyð trallawt : noddet dydy Enw Dew Iaco .
19:20:002:0	Anvonet borth yty o’r Cyssecr , a’ nerthet dydy o Tsijón .
19:20:003:0	Coffaet dy oll offrymae , ac ymchwelet dy boeth-ebyrth yn llutw . Sélah .
19:20:004:0	Roddet yty wrth [ vodd] dy galon , a’ chyflawnet dy oll vedwl .
19:20:005:0	[ Yny] lawenhaom yn dy iechyt : a’ derchafael baner yn Enw ein Dew , [ pan] gyflanwo yr Arglwydd dy oll eirchion .
19:20:006:0	Yr owrhon y gwn y cymporth yr Arglwyð ei eneinioc , ac y gwendy arnaw oei nefoedd cyssecredic , gan gadarn borth ei ddeheulaw .
19:20:007:0	Rai [ yn rhoi ei coel] mewn cerbite , rhai ym=meirch : a’ nineu a goffawn Enw yr Arglwyðd ein Dew .
19:20:008:0	Wynt wy a ostyngwyt ac a gwympesont , a’ nineu gyfodesam , ac ŷm yn sefyll i vyny .
19:20:009:0	Cadw Arglwydd : gwrandawet ni y Brenhin yn y dydd ygalwom .
