19:86:001:1	Psalm . lxxxvj .
19:86:002:1	Inclina Domine aurem .
19:86:001:0	INclina dy glust , Arglwydd , [ a’] gwrando vi : canys tlawt wyf ac angenawc .
19:86:002:0	Cadw vy eneit can ys trugaroc ytwyf : vy Dew ymwared di dy was , rhwn aymddiriet ynot .
19:86:003:0	Trngará wrthyf , Arglwyð : canys ar nat’ y llefaf beunydd .
19:86:004:0	Llawená eneit dy was : erwydd arna-ti Arglwydd , y derchafaf vy eneit .
19:86:005:0	Can ys dy vot ti Arglwydd yn ða ac yn drugarawc , ac yn vawr o garedigrwydd ir ’ei oll , y alwant arnat .
19:86:006:0	Clustymwrando , Arglwydd , am gweði , ac ystyria wrth lef vy glochwyt .
19:86:007:0	Yn dydd] vy-trallawt y galwaf arnat : can ys clywy vyvi .
19:86:008:0	Ymplith y dewiae nid [ oes] vn mal tydi , Arglwyð , ac uid oes vn [ a wna] mal dy’ weithrodoedd [ di] .
19:86:009:0	Yr oll genedloedd y ’wneythost , a ddauant ac addolant ger dy vron , Arglwydd , ac a’ ogoneddant dy Enw .
19:86:010:0	Can ys mawr wyt’ , ac yn’ gwneythy ryveddodae : ti sy Ddew vnic .
19:86:011:0	Dysc i mi , Arglwyð dy fford , [ a’] rhodiaf yn dy wirioneð vna vy calon [ a thi] val yr ofnwyf dy Enw .
19:86:012:0	Mi ath clodvoraf , Arglwydd vy-Dew , am oll galon : ys gogoneddaf dy Enw yn tragyvyth .
19:86:013:0	Can ys mawr dy drugareð arnaf] , a’ gwaredaist vy-eneit y wrth y vedrot isaf .
19:86:014:0	A Ddew , cyvodes beilchion im erbyn , a’chymmynva y drud ðynion y geisiasant vy eniet , ac nith ðodosont di ger eu bron .
19:86:015:0	A ’thithau Arglwyð sy Ddew tosturiol a’thrugaroc , yn hwyr y ddigoveint , yn vawr o drugaredd a’ gwirioneð .
19:86:016:0	Dychywel ataf a’ thrugará wrthyf : dyro dy nerth ith was , ac iachá vap dy wasanaethwraic .
19:86:017:0	Dod arwyð o’th ðaeoni wrthyf , val y gwelo vy-caseion , ac eu gwradwydder , can y ti Arglwydd vy cynhorthwyaw am diddany .
