19:9:001:1	Psalm . ix .
19:9:002:1	Confitebor tibi Domine .
19:9:001:0	CLodvoraf yr Arglwydd a’m oll calon , datcanaf dy oll ryveddodae .
19:9:002:0	Byddaf lawen , a’ hyfryd ynot : canaf [ voliant] ith Enw , y goruchaf .
19:9:003:0	Can ymchoelyt vy gelynion drach ei cefyn : y syrthiant , ac ei collir rac dy wynep .
19:9:004:0	Can ys dadleueist gyd a’m cyfiawnder a’m cygcaws : ydd wyt yn eistedd yn gorsedd , ac yn barnu cyfiawnder .
19:9:005:0	Ceryddeist y cenedloedd , destrywieist yr andywiol : deléist ei henw byth bythawl .
19:9:006:0	Ha elyn , ys darvu am ddinistroedd yn dragywyth , a’ thi ddinistreist y dinasydd : ys darvu ei coffadurieth y gyd a hwy .
19:9:007:0	A’r Arglwydd a eistedd yn dragyvyth : ef arlwyawdd ei’orsedd i varn .
19:9:008:0	Canys ef a varn y byd yn-cyfiawnder , ac e varn y popul ac vniondep .
19:9:009:0	Yr Arglwydd hefyt vydd amddeffen ir angenawc , a nawdd yn [ gwir] amser [ sef] yn-cyfyngdra .
19:9:010:0	A’r ei adwaenant dy Enw , a ymddiriedant ynot : can na edeist , Arglwydd , erioed y [ sawl] ath ceisyent .
19:9:011:0	Can-molwch yr Arglwydd y breswyl Tsijon : manegwch ir bopuloedd ei weithredoedd .
19:9:012:0	Can ys pan ymovno ef am waed , y cofia am danei , ac nyd ebryvyga gwynvan y tlodion .
19:9:013:0	Trugará wrthyf , Arglwyð , gwyl vy-blinder y wrth vy dygaseion , yr hwn wyt im derchafel o byrth angae .
19:9:014:0	Mal y menagwyf dy oll voliant ym-pyrth merch Tsijón , [ ac] y llawenechwyf yn dy iechyt .
19:9:015:0	Y cenedloedd y soddesant yn y ffoss y wneythant : yn y rhwyt y guddiesont y daliwyt ei troed hwy [ unein . ]
19:9:016:0	Yr Arglwydd y adweinir gan wneuthnr barn : yr andewiol y veglir yn-gweithredoedd ei ddwylo ehun . Higaion . Selah .
19:9:017:0	Yr ei enwir ydd ymchwel y yffern , ar oll genetloedd yddel Duw dros gof ganthynt .
19:9:018:0	Can nad anghofir y tlawt yn tragyvyth : gobeith yr ei blinderawc ny chollir yn tragywyddol .
19:9:019:0	Cyvot Arglwydd : na ’orvyddo dyn , barner y cenedloedd yn dy ’olwc .
19:9:020:0	Dod , Arglwydd ofn arnynt , mal yð adwaeno y cenedloedd mae dynion ytynt . Selah .
