19:21:001:1	Psalm . xxj .
19:21:002:1	¶ Domine in virtute tua
19:21:001:0	ARglwydd , yn dy nerth y llawenha’r Brenhin : ac mor ddirvawr vydd ei orvoledd ith iechyt .
19:21:002:0	Dysyfiat ei galon y roddeist iddo , ac arch ei wevuseu ny ’s necéist . Sélah .
19:21:003:0	Can ys achubeist ef a bendithion daoni , a’ gosodeist ar ei ben goron o aur [ coeth . ]
19:21:004:0	Oes y ovynnawð ef yty , [ a’] hiroes a roddeist iddo [ ’sef] yn oes oesoedd .
19:21:005:0	Mawr , [ yw] ei ’ogoniant yn dy iechyt : gogoniant ac anrhydedd y osodeist arnaw .
19:21:006:0	Can ys gosodeist ef yn vendithion yn dragyvythawl : llawenycheist ef a llewenydd dy wynepryd .
19:21:007:0	Can vot y Brenhin yn ymddiriet yn yr Arglwydd , ac yn-trugaredd y Goruchaf , ny lithr .
19:21:008:0	Ys cymmedr dy law ar dy oll elynion , ath ddeheulaw a veidr ar dy ddygasogion .
19:21:009:0	Ti gwnai hwy val ffwrn danllyt yn amser dy lit : yr Arglwydd y diua hwy yn ei ddiglloneð , a’r tan ei h’ysa .
19:21:010:0	Ei ffrwyth a ddinistry y ar y ðaiar , a’ei had o blith plant dynion .
19:21:011:0	Can ys bwriedesont ðrwc ith erbyn , [ ac] y veddyliesont amcan , [ ar] ny allan ei ’orphen .
19:21:012:0	Am hyny y gosody hwy or nailltu , a’ llininae dy vwa a paratoi yn erbyn eu h’wynedae .
19:21:013:0	Yth ddyrchaver , Arglwydd , yn dy nerth : [ yno y canwn , ac y can molwn dy gedernit .
