19:119:001:1	Psalm . cxix .
19:119:002:1	ALEPH .
19:119:003:1	Beati imaculati
19:119:001:0	GWyn ei byd y divacul yn ei ffordd , [ ac] y rodiant yn Deddyf yr Arglwydd .
19:119:002:0	Gwyn ei byd yr ei y gawant ei destolaethae , [ ac] a i h’oll galon y ceisiant ef .
19:119:003:0	Diogel na’s gwnant wy enwiredd , yr ei y rodiant yn ei ffryrdd ef .
19:119:004:0	Ti orch’mynaist gadw dy ’orchymynion yn ddyval .
19:119:005:0	O am gyferio vy ffyrð , er mwyn cadw dy gynneddfae .
19:119:006:0	Yno nim gwradwyddit , pan edrychwyf ar dy oll orchymyneu .
19:119:007:0	Clodvoraf dydy a chalon vnion , pan ddyscwyf varnae dy gyfiawnder .
19:119:004:1	BETH
19:119:005:1	In quo corrigit .
19:119:008:0	Dy gynneddfeu a gadwaf : na ad vi yn dragywyth .
19:119:009:0	A’Pha beth y glaná dyn ienanc ei ffordd ? gan hi chadw wrth dy ’air di .
19:119:010:0	Am oll calon ith ceisiais : naad ymi gyfeiliorni ywrth dy ’orchymyneu .
19:119:011:0	Yn vy-calon y cuddiais dy amaðrodd , val na phechwn yn dy erbyn .
19:119:012:0	Bendiget ytwyt , Arglwydd : dysc ymy dy gynneddfae .
19:119:013:0	Am gwefulae y mynageis oll varneu dy eneu .
19:119:014:0	Bu mor hyfryd genyf ffordd dy destolaethae , a’r oll ’olud .
19:119:015:0	Yn dy orchymynion y meuyriaf , ac y edrychaf ar dy lwybrae .
19:119:006:1	GIMEL
19:119:007:1	Retibue seruo tuo .
19:119:016:0	Yn dy gynneddfae yr ymddigrifaf , [ ac] nyd ebryvygaf dy ’air .
19:119:017:0	Bydd dda wrth dy was , [ val y byddwy vyw , a’ chatw dy ’air .
19:119:018:0	Agor vy llygait , val y gwelwyf ryveddodae dy Ddeddyf .
19:119:019:0	Alltud ytwyf ar y ddaiar : na chudd rhagof dy ’orchymynion .
19:119:020:0	Drylliawd vy calon gan ddychwant ith ’orchymynion bop amser .
19:119:021:0	Destruwieist y beilchion : melltigedic yw’r ei a gyfeiliornant ywrth dy orchymynion .
19:119:022:0	Gwrthladd y wrthyf gywilydd a’ thremic : can ys dy destolaethae y gadweis .
19:119:023:0	Tywysogion hefyd y eisteddesant , [ ac] y ddywedsont im erbyn : ath was y vevyriei yn dy gynneddfae .
19:119:008:1	DALETH
19:119:009:1	Adhæsit pauimento anima mea .
19:119:024:0	Hefyt dy destolaethae , yw vy digrifwch , a’m cycorwyr .
19:119:025:0	GLynawdd vy eneit wrth y llwch : bywá vi wrth dy ’air .
19:119:026:0	Vy ffyrdd a vanegais [ y-ty] , a’ gwrandewest’ vi : dysc y my dy gynneddfae .
19:119:027:0	Par ymy ddeall ffordd dy orchymynion , a’ mevyriaf yn yn dy ryveddodae .
19:119:028:0	Toddawdd vy eneit gan dristit : cyvot vi y vyny yn ol dy ’air .
19:119:029:0	Cymer y wrthyf ffordd y celwydd , a’ chaniatá y-mi yn rradlawn dy Ddedðyf .
19:119:030:0	Fordd wirioedd y ddetholeis , [ ath varnae y osodeis [ gar vy-bron] .
19:119:031:0	Glynais wrth dy destolaethae , Arglwydd : na’m gwradwydda .
19:119:010:1	HE .
19:119:011:1	Legem pone .
19:119:032:0	Fyrdd dy ’orchmyneu y redaf , pan ehengych vy-calon . Boreu weddi .
19:119:033:0	DYsc ymy Arglwydd ffordd dy gynneddfeu , a’mi ei catwaf yd y dyweð .
19:119:034:0	Par i mi ðeall , a’ chatwaf dy Ddeddyf : ac hei catwaf a’m oll calon .
19:119:035:0	Par y-mi gerddet yn llwybr dy ’or chmyneu : can ys ynthaw y mae vy ’wyllyseis .
19:119:036:0	Inclina vy-calon ar dy destolaethae , ac nyd ar gupyðdot .
