19:105:001:1	Psalm . cv .
19:105:002:1	Confitemini Domino .
19:105:001:0	CLodvorwch yr Arglwydd , [ a’] galwch ar ei Enw : manegwch ei waithredoedd ym-plith y populoedd .
19:105:002:0	Cenwch ydd-aw , canmolwch ef , a’ chyminwyllwch am ei oll ryveddodae .
19:105:003:0	Bid eich gorvoledd yn ei Enw sanctaidd : ymlawenhaet calon y sawl y geisiant yr Arglwydd .
19:105:004:0	Caisiwch yr Arglwydd a’ ei gedernit , caisiwch y wynep ef yn oystatawl .
19:105:005:0	Coffewch ei ryveddodae , yr ei y wnaeth ef , y aruthroedd ef a’ barnae ei enae ,
19:105:006:0	Chwychwy had Abraham y was ef , [ chwithae] blant Iaco y etholedigion ef .
19:105:007:0	Ef e yw’r Arglwydd ein Dew : rhyd yr oll ddaiar y mae y varnae ef .
19:105:008:0	Meddyliawdd bop amser am ei ddygymbot [ a’] ei air , yr hwn a wnaeth e y vil o genedlaethae ,
19:105:009:0	Ys ef yr vn a wnaeth ef wrth Abraham , a ei lw wrth Isac :
19:105:010:0	Ac [ yno] ei gosododd y Iaco yn Ddeddyf , [ ac] y Israel yn ddygymbot tragyvythawl ,
19:105:011:0	Can ddywedyt , I ti y rhoddaf dir Canaan rhandir [ o] eich etiveddiaeth .
19:105:012:0	Cyd byddent ychydig o niver , [ sef] ychydigion ac estronion yn y tir ,
19:105:013:0	A’ gorymddaith o genedl y genedl , o’r [ naill] deyrnas at popul arall ,
19:105:014:0	Ac ny adawdd i nep wneythy cam a hwy , ac a gospoð Vrenhinedd erddynt , [ gan ddywedyt] ,
19:105:015:0	Na chyhurddwch am rei enneiniawc , ac na ddrygwch vy-Prophwyti .
19:105:016:0	Hefyt ef a alwodd [ am] newyn ar y tir , ac a ddinistriawdd oll gynnalieth bara .
19:105:017:0	[ Eithr] anvonawdd ef’wr rhac ei hwynep : dros was y gwerthwyt Ioseph .
19:105:018:0	Poenesont ei draet mewn hual , ac e ddodwyt mewn haiairn ,
19:105:019:0	Yd pan ddaeth y amser nod [ ef] , ac ymadrodd yr Arglwydd y lanhau ef .
19:105:020:0	Anvonawdd y Brenhin , ac ei gellyngawdd : [ sef] Llywawdr y popul ei rhyddhaodd .
19:105:021:0	Gosodawdd ef yn Arglwydd ar ei duy , ac yn llywodraethwr ar ei oll veddiant ,
19:105:022:0	Val y rwymei ef ei dywysogion yn ol ei ewyllys , a’ dyscy y’w Henyddion ddoethinep .
19:105:023:0	Yno yd aeth Israel ir Aipht , , ac Iaco oedd estran yn=tir cHam .
19:105:024:0	Ac ef a angwanegawdd ei bopul yn ddirvawr , ac ei gwnaeth yn gadarnach na ei gorthrymwyr .
19:105:025:0	Troes ef y calon hwy y gasau y bopul ef , ac ymddichellu a’ ei weision .
19:105:026:0	Yno yd anvonawod ef Voysen ei was , [ ac] Aaron yr hwn a ddywysesei .
19:105:027:0	Dangosesont yn eu plith weithredoedd ei arwyddion , a’rhyveddodae yn-tir cHam .
19:105:028:0	Anvonawdd ef dywyllwch , ac ef ei tywyllawdd : ac nid anvfyddesont y’w ’air .
19:105:029:0	Ymchwelawdd ef ei dyfredd hwy yn waed , ac a laddoð ei pyscawt .
19:105:030:0	Dygawdd ei tir hwy lyffaint , [ ac] yn ystefyll ei Brenhinedd .
19:105:031:0	Dywedawdd ef , a’ daeth pop ryw adnoc [ a’] llau yn ei h’oll dervynae .
19:105:032:0	Roddes yddwynt genllysc yn lle glaw , [ a’] fflammae tan yn ei tiredd .
19:105:033:0	Ac ef a drawodd ei gwinwydd a’r preniae fficus , ac a ddrylliawdd y prenniae [ yn] ei tervyneu .
19:105:034:0	Dywedawð , a’ daeth y ceilioc rhedyn , a’r lindys beth aneirif :
19:105:035:0	A bwytesont oll laswellt yn ei tir , ac a ysasont ffrwyth ei tudwedd .
19:105:036:0	Hefyt trawodd ef oll gyntenit yn ei tir , [ sef] dechreuait y h’ol nerth hwy .
19:105:037:0	Ac ef y Duc hwy ymaith ac arian ac aur , ac nyd oedd vn gwan yn ei llwythae ,
19:105:038:0	Llawenychoð yr Aipht pan ymadawsont : canys dygwyddesei y hofn hwy arnwynt .
19:105:039:0	Tanawdd ef wybren yn do [ yddynt] , a thán y ’oleuo y nos .
19:105:040:0	Govynesont , ac ef a dduc [ yddynt] soflieir , ac a bara nefoedd y llanwodd ef hwy .
19:105:041:0	Agorawdd ef y graic , a’ dylifodd y dyfredd , ac a gerddawdd yn avonydd rhyd y sych-leoedd .
19:105:042:0	Can ys cofiawdd ef ei air sanctaið wrth Abraham ei wasanaethwr ,
19:105:043:0	A duc ef y maith ei bopul mewn llawenydd , [ a’] ei ðetholedigion a gorvoloedd , a’ llafur y populoedd a veddianesont ,
19:105:044:0	Modd y catwent ei gyfreithieu , a’ chynnal ei Ddeðfeu . Molwch yr Arglwydd .
