19:115:001:1	Psalm . cxv .
19:115:002:1	Non nobis Domine .
19:115:001:0	NId y ni Arglwydd , nyd i ni , anyd ith Enw di dyro y gogoniant er mwyn dy drugareð a’th wirionedd .
19:115:002:0	Paam y dyweit y cenedledd , P’le ’r owrhon y mae ei Dew ’n hwy ?
19:115:003:0	A’n Dew ni ’s’yn y nefoedd : efe y wna bop peth y ewyllysia .
19:115:004:0	Y delwae hwy [ ynt] ariant ac aur , ys gwaith dwylaw dynion .
19:115:005:0	Genae ’s’yddynt ac ny lavarant : llygait sy ydd-wynt ac ny welant .
19:115:006:0	Clustiae y sy yddwynt ac ny chlywant : trwyneu y sy yddwynt ac nid aroglant .
19:115:007:0	Dwylaw sy yddwynt ac ny theimlant : traet sy yddwynt ac ny cherddant : ac ny laisiant o’ei mwnwgl .
19:115:008:0	Megis wynteu yw’r ei y gwnant wy : [ velly mae’r] sawl oll y ymddiriet ynthwynt .
19:115:009:0	Tithau Israel ymddiriet yn yr Arglwydd : [ can ys] ef yw ei porth a’ ei tarian .
19:115:010:0	Tuy Aaron ymddiriedwch yn yr Arglwydd : [ can ys] ef yw eu porth a’ ei tarian .
19:115:011:0	Yr ei y ofnoch yr Arglwydd , ymddiriedwch yn yr Arglwydd : can ys ef yw eu porth a’ ei tarian .
19:115:012:0	Yr Arglwydd a veddyliawdd am danam : ef a’n] bendithia , bendithia ef duy Israel , bendithia ef duy Aaron .
19:115:013:0	Bendithia ef y sawl y ofnant yr Arglwydd , vychein a’ mawrion .
19:115:014:0	Yr Arglwydd a angwnega [ ei ddonien] arnoch , [ ys] arno-chwi ac ar eich plant .
19:115:015:0	Bendigeit ydych gan yr Arglwydd , yr hwn a wnaeth nef a’ daiar .
19:115:016:0	Y nefoedd , [ ys] y nefoedd ys ydd ir Arglwydd : a’r ddaiar a roes e y veibion dynion .
19:115:017:0	Ny volant y meirw yr Arglwydd , na’r ei y ddescennāt i’r dystawrwydd .
19:115:018:0	A’ nyni y volwn yr Arglwydd , o’r awrhon ac yd yn tragywyth . Molwch yr Arglwydd .
