38:1:001:1	Bóhólníihii bidine'é shich'į' nináhóhkááh , yiłní
38:1:001:0	Daráíyas aláahgo naat'áanii nilį́įgo naaki náhááh góne' tseebíí nídízííd binih Ído biye' Berekáíyah , éí biye' Diyin God yá halne'ii nilíinii Zekaráíyah éí Bóhólníihii ábíłní ,
38:1:002:0	Bóhólníihii éí danihizhé'é yę́ę yich'į' t'áá íiyisí doo bił náhójǫǫh da nít'éé' .
38:1:003:0	Éí bąą kóbidiní , T'áá ałtsoní bee Bóhólníihii kóní , Shaa náhóhkááh , ní t'áá ałtsoní bee Bóhólníihii , áko nihaa nídeeshdááł , ní t'áá ałtsoní bee Bóhólníihii .
38:1:004:0	T'áadoo danihizhé'é yę́ę ádáát'įįdígi ádanoht'éhí ; éí ch'óóshdą́ą́dą́ą́' dahojilne'í dajílíinii ádazhdííniid , T'áá ałtsoní bee Bóhólníihii kónihiłní , T'áá íiyisí doo yá'áshǫ́ǫ́góó ádanoht'éii índa doo yá'áshǫ́ǫ́góó ádaaht'į́įgo deínóhkáahii bits'ą́ąjį' ninádahohkááh , nidi t'áadoo da'diizts'ą́ą' da , doo nidi dashíists'ą́ą' da , ní Bóhólníihii .
38:1:005:0	Danihizhé'é yę́ęshą' , háadi nidaakai ? Áádóó dahojilne'í dajílíinii hool'áágóósh dajiiná ?
38:1:002:1	Diyin God yá halne'ii éí łį́į́' bił ádzaa
38:1:006:0	Nidi shizaad índa bee nihoyí'áanii éí shá naal'a'í dahojilne'í dajílíinii hach'į' bee haasdzíi'ii danihizhé'é yę́ę ts'ídá bik'idiyaa násdlį́į́' . Ákohgo łahgo át'éego tsíńdadeezkéezgo ádadííniid , Bee ádaniit'éii áádóó ádeii'níłígíí bik'ehgo t'áá ałtsoní bee Bóhólníihii nihá yee nihodiní'áanii yee nihainíst'įįd .
38:1:007:0	Daráíyas aláahgo naat'áanii nilį́įgo naaki náhááh góne' Sííbat wolyéii ła'ts'áadah nídízííd binih naadiin dį́į́'góó yoołkáałgo Ído biye' Berekáíyah , éí biye' Diyin God yá halne'ii nilíinii Zekaráíyah kót'éego Bóhólníihii bizaad baa honíle' ,
38:1:008:0	Tł'ée'go shił áhoodzaago diné léi' łį́į́' łichíí' léi' bił yildloshgo yiiłtsą́ , jó'akon . Bokooh góyaa mértal naazkaadígíí bitahgi łį́į́' bił sizį́ . Bikéédę́ę́' łį́į́' daalchíí' áádóó daastł'inii índa daalgaii naazį́ .
38:1:009:0	Áko ádííniid , Shibóhólníihii , díishą' ha'át'íí ádaat'é ? Nít'éé' diyingo naal'a'í áshidííniidgo áshíłní , Díí ádaat'éhígíí hazhó'ó nił bééhodeesįįł .
38:1:010:0	Jó , mértal naazkaadígíí bitahgi diné éí łį́į́' bił sizį́įgo ání , Díí éí Bóhólníihii adabiis'a'go nahasdzáán bikáá'góó háádadiikahgo bá hada'ídées'į́į́' yiniyé ádaat'į́ .
38:1:011:0	Áko łį́į́' dabíyeehii éí Bóhólníihii bidiyingo naal'a'í mértal naazkaadígíí yitahgi łį́į́' bił sizíinii ádeidííniid , Nahasdzáán bikáá'góó háádadiikahgo hada'ísídíil'į́į́' nít'éé' , áko nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' hasht'ehodít'éego háádaalyį́į́h , jó'akon .
38:1:012:0	Ákohgo Bóhólníihii bidiyingo naal'a'í ání , T'áá ałtsoní bee Bóhólníihii nílíinii , Jerúsalem kin haal'áagi índa Júdah kéyahgi kin hadaas'áii bich'į' náháchį'go tsosts'idiin nááhai . Haa nízáagishą' doo baa a'ááh niizįįh da doo ?
38:1:013:0	Áko Bóhólníihii éí diyingo naal'a'í shich'į' yáłti'ii ajooba' saad índa saad bee ha'ahóníinii yee yich'į' haadzíí' .
