38:11:001:0	Lébanan nílíinii , nigadtsoh deíl'áhígíí dadidoodlił biniyé nidáádílkał ąą ádanile' .
38:11:002:0	Ch'ó sikaadii nílíinii , nichxa , háálá gadtsoh naazkaadii naa'adahineezkaad , háálá tsin ayóó ánóolningo naazkaadii dááchxǫ' . Béíshandóó chéch'iltsoh danohłíinii , cha nidahohłe' , háálá tsin bee hodíłch'ilii ałtso heesne' .
38:11:001:1	Na'niłkaadii doo ílíinii
38:11:003:0	Nida'niłkaadii éí cha nidahałe'go hodiists'ą́ą́' , háálá yee ayóó ádaat'éii bił ahóóyá . Náshdóí yáázh bitsiijį' daditł'ooígíí biyi' nidahodi'ni'go hodiists'ą́ą́' , háálá Jórdan tooh yee ádaa ha'niih yę́ę t'áadoo biniyéhí da silį́į́' .
38:11:004:0	Bóhólníihii shiDiyin God kóní , Dibé nidadootsiłii dah noołkałígíí ba'ołtso' .
38:11:005:0	Dibé nidayiiłniihgo t'óó nideiłtseed , áko doo ádáát'įįdí da nidahalin , áádóó baa nida'iiniihii ádaaní , Bóhólníihii baa hwii'niih , háálá bee asist'įįd . Jó , t'áá hó há nida'niłkaadígíí doo hak'édí danilį́į da .
38:11:006:0	Jó , díí kéyahgi kéédahojit'íinii doo hak'édí náádínéesdzįįł da , ní Bóhólníihii . Nidi diné t'áá ałtso bił kééhojit'íinii índa aláahgo binanit'a'í bílák'ee hodíí'ą́ą doo , jó'akon . Áko kéyah atídeidoolííł , áádóó éí bits'ą́ą́dóó doo yisdáhóshnííł át'ée da doo .
38:11:007:0	Dibé nidadootsiłii éí hojooba' ádaat'éii ba'astso' , áko tsihał naakigo dibé bá shóisíłt'e' . Ła' éí Ił Hóshóonii bee yíníshí , náánáła' éí Łá'í Ídlį́ bee yíníshí . Áko dibé ba'níłtsood .
38:11:008:0	Ła' nídízííd binih nida'niłkaadii tált'éego ásíłdįįd , háálá éí bá deeshnih nít'éé' áádóó éí ałdó' doo dashíłdin da nít'éé' .
38:11:009:0	Ákohgo ábidííniid , Doo nihaa ánááháshyą́ą da doo . Dadootsaałii éí bíni'dii daatsaah ; ádooldįįłii éí bíni'dii ábi'dildįįh índa daadziihígíí bíni'dii t'áá bí nída'ahildeeł .
38:11:010:0	Áko bee aha'deet'áanii éí dadine'é t'áá ałtso bá íishłaa nít'ée'ii k'ídeeshtih biniyé shitsihał Ił Hóshóonii bee yíníshí yę́ę k'íníti' .
38:11:011:0	Éí bijį́į́ góne' k'íníti' , áko dibé hojooba' ádaat'éii dashiníł'į́įgo Bóhólníihii bizaad át'éego bił béédahoozin .
38:11:012:0	Ákohgo ábidishní , Yá'át'éehgo nitsídaahkeesgo shich'į' nida'nohłéego shich'į' nida'nohłé , nidi , Dooda , danohsingo nílááh nidaohjaah . Áko béésh łigaii tádiin dah deidiilo'go shich'į' naalyá .
38:11:013:0	Ákohgo Bóhólníihii áshidííniid , Łeets'aa' ííł'íní bich'į' aniłkaad ; éí doozhǫǫgo ílį́įgo shą́ą́h azlį́į'ii át'é . Ákohgo béésh łigaii tádiingo nídiinilígíí Bóhólníihii bikin bii' sohodizin góne' łeets'aa' ííł'íní bich'į' ííłkaad .
38:11:014:0	Ákohgo Júdah dine'é índa Ízrel dine'é yee ałk'is nidlíinii bits'ą́ą́' k'ídeeshtih biniyé náánáła' shitsihał bee Łá'í Ídlį́ bee yíníshí yę́ę k'ínááníti' .
38:11:015:0	Ákohgo Bóhólníihii ánááshidoo'niid , Na'niłkaadii doo áhályáanii bibee na'anishí nídiinííł .
38:11:016:0	Háálá kéyahgóó na'niłkaadii léi' nábidideeshłááł , jó'akon ; éí ti'dahooníhígíí doo yaa nantáa da doo , ayázhí doo haintáa da doo , doodaii' bitah dahwiistǫ'ii doo nááyidiiłáah da doo , doodaii' t'óó naazínígíí nidi , doo ya'ółtsóód át'ée da doo , ákondi daneesk'ahii t'óó yildeeł doo índa bikéshgaan yik'i yiizǫ́ǫsgo niyiitíih doo .
38:11:017:0	Na'ni łkaadii doo ajílíinii dibé t'óó bizh'níłnii'ii doo hojooba' ájíníi da ! Diyin God bidiltłish yee hagaan k'íidookał índa hanáá' nish'náájí hayí'dooshish ; hagaan ałtso doogą́ą́ł índa hanáá' nish'náájí t'áá íiyisí bił chahodoołhił .
