38:5:001:1	Naaltsoos ałch'į' yisdisii yit'ahgo ił ádzaa
38:5:001:0	Hazhó'ó déé'į́į́' nít'éé' , naaltsoos ałch'į' yisdisii wódahgo yit'ahgo yiiłtsą́ , jó'akon .
38:5:002:0	Áko áshíłní , Ha'át'íishą' yíní'į́ ? Áko ádííniid , Naaltsoos ałch'į' yisdisii yit'ahgo yish'į́ . Tádiin ké silá áníłnééz áádóó ashdla'áadah ké silá áníłtéél .
38:5:003:0	Ákohgo áshidííniid , Díí nahasdzáán t'áá si'ą́ą́ nít'éé' bik'ijį' ts'ídá hóyée'go bá ha'oodzíi'ii át'é ; łahjí bee ak' e'ashchíinii bik'ehgo éí dazhni'įįhii ts'ídá t'áá ádzíłtso ázhdoodįįł índa łahjí bee ak'enáá'áshchíinii bik'ehgo éí dahayooch'íidgo ádee hadahizdidziihii ts'ídá t'áá ádzíłtso ádazhdoodįįł .
38:5:002:1	Bee na'akáhí yistł'ónígíí biyi' asdzání sidáago ił ádzaa
38:5:004:0	T'áá ałtsoní bee Bóhólníihii ání , Díí hak'ijį' kódeeshłíiłgo da'ni'įįhii áádóó dabiyooch'íidgo shízhi' yee ádee hadahididziihii bił yah ahodooleełgo t'áá ákwii hólǫ́ǫ doo índa bikin bik'ijį' hóyée'go bá hadeesdzihgo tsin áádóó tsé bee ádaalyaii t'áá bił ałtso íidoołdįįł .
38:5:005:0	Ákohgo diyingo naal'a'í shich'į' yáłti'ii nee'nijį' shaa níyáago áshidííniid , Dego díní'į́į́' ; wódahgo ha'át'íí hooleełgo yíní'į́ .
38:5:006:0	Áko ádíshní , Ha'át'íishą' át'é ? Nít'éé' áshidííniid , Díí bee na'akáhí yistł'ónígíí bee náás ookáłígíí át'é . Kónááshidoo'niid , Díí kéyah t'áá níłtéél nít'éé' bikáá'góó ákódajít'é .
38:5:007:0	Bee na'akáhí béésh diłhį́hí bidáádít'áhí de ályaa áádóó nít'éé' bee na'akáhí biyi' góne' asdzání léi' sidáá lá , jó'akon .
38:5:008:0	Áko diyingo naal'a'í ání , Díí ts'ídá doo yá'áshóonii át'é , áko asdzání éí bee na'akáhí biyi' góne' anáyíyoogil áádóó béésh diłhį́hí adáádít'áhí yidánéidiníłhan .
38:5:009:0	Nít'éé' déé'į́į'go asdzání nidilt'éego ch'ít'a' , jó'akon , áko bit'a'ígíí éí hoz bit'a'ígi át'éego níyol yee yit'ah áádóó bee na'akáhí néidii'ą́ągo nahasdzáán bikáá'dóó yót'ááhgóó yił eet'a' .
38:5:010:0	Ákohgo diyingo naal'a'í shich'į' yáłti'ii ábidishní , Háágóoshą' bee na'akáhí ayíí'ą́ ?
38:5:011:0	Ákohgo áshidííniid , Sháínar kéyahgóó áadi kin yá íidoolííł , áko yá hasht'ehoolaago áadi bee na'akáhí niidoo'ááł .
