38:14:001:1	Jerúsalem kin haal'áii áádóó ał'ąą dine'é
38:14:001:0	Bóhólníihii beidoołkááł baa hoolzhiizhgo nihinaalye'é nihits'ą́ą́' nídeidiinilii nihitaanídoo'nih , jó'akon .
38:14:002:0	Jó , ał'ąą dine'é áłah ádeeshłíiłgo Jerúsalem yik'ijį' anaa' dahodoołeeł , índa kin haal'áii deidoołnééł , áádóó daakin yił nidinóodah , áko asdzání danilíinii yił nidahadeeł doo índa kin haal'áhígi diné kéédahat'íinii ałníí'dóó dabidisnáágóó adínóolkał , nidi diné daadzí'ígíí doo ábidi'dooldįįł da .
38:14:003:0	Ákohgo átséédą́ą́' Bóhólníihii anaa' náháłeehígi át'éego ch'íhodooleełgo ał'ąą dine'é yich'į' naabaah doo .
38:14:004:0	Éí bijį́įdi Jerúsalemdóó ha'a'aahjígo Dził Álivz hoolyéego bighą́ą'gi dah yidoozįįł . Áko Dził Álivz ałníí'dóó náhookǫsjigo adooldohgo , ła' éí shádi'áahjigo adooldohgo ha'a'aahdę́ę́' áádóó e'e'aahjį' ayóó áhoníłtéelgo hahodiildzis hodooleeł .
38:14:005:0	Áádóó dził t'áá hahodiildzis góyaa adahizhdínóohchééł , háálá éí dził bita'góó t'áá Éízaljį' hahodiildzis . Áko Júdah dine'é aláahgo binanit'a'í Azáíyah bíyoołkááł yę́ędą́ą́' ni' nahaasnáa'go hadahinoochą́'ígi át'éego adahidínóohchééł . Ákohgo Bóhólníihii shiDiyin God honíle'go bidiyį́į́' t'áá át'é yił dookah .
38:14:006:0	Éí bijį́įdi díí baa hodoolzhish : doo náádi'nídíin da doo ; bits'áda'deezdíinii doo hózhǫ́ bee dadi'nídíin da doo .
38:14:007:0	Áko éí ła'a jį́ Bóhólníihii t'éiyá bił bééhózin doo ; doo jį́ da doo índa doo tł'éé' da doo , nidi aná'át'áahgo adinídíin doo .
38:14:008:0	Éí bijį́įdi díí baa hodoolzhish : Jerúsalemdóó tó hináanii háálį́įgo ha'a'aahjį' tónteel biih yílį́į doo áádóó ła' e'e'aahjį' ałdó' tónteel biih yílį́į doo ; éí t'áá áłahjį' háálį́įgo nináháhááh áádóó nináháshį́įh doo .
38:14:009:0	Áko Bóhólníihii éí nahasdzáán nidahonees'ą́ą́góó t'áá át'é yinant'áa doo . Éí bijį́įdi t'ááłá'í Bóhólníihii nilį́į doo índa t'ááłá'í t'éí bízhi' doo .
38:14:010:0	Gííba kin shijaa'dóó Jerúsalem shádi'áahjigo Ríman kin haal'áajį' kéyah t'áá át'é honíteelgo áhodoolnííł . Nidi Jerúsalem éí Bénjamin bich'é'étiinídóó áłtsé ch'é'étiin nít'é'íjį' áádóó nástł'ahgi ch'é'étiiníjį' , índa Hanániyel bá ya'diitł'inii íí'áhídóó níléí naat'áanii bich'il na'atł'o'ii yiljizhgo bąąh haha'níhíjį' kin hanáánáál'áa doo .
38:14:011:0	Ákwii kénáádahat'į́į doo áádóó doo atínáádoolníił da , nidi Jerúsalemgi ts'ídá hasihgo ákwii diné kéédahat'į́į doo .
38:14:012:0	Áko dadine'é t'áá ałtso Jerúsalem bich'į' anaa' nídahojiłeehii éí Bóhólníihii díí naałniih yee atíhodoolííł ; t'áá nidzizį́įgo hats'íís ałtso dadidoołdził ; hanáá' t'áá hanák'eejį' ałtso dadidoołdził ; hatsoo' ałdó' t'áá dahazée'jį' ałtso dadidoołdził .
38:14:013:0	Áko éí bijį́įdi díí baa hodoolzhish : Bóhólníihii bits'ą́ą́dę́ę́' ts'ídá ayóó át'éego bik'ee ił áhodoodįįłii bik'i hwiidooleełgo t'ááłá'í nítínígo yił kééhat'íinii deidoosiłgo yił nida'ahilbaałgo da'ahidoogą́ą́ł .
38:14:014:0	Áko Júdah dine'é danilíinii Jerúsalemgi anaa' dahodoołeeł . Áko ał'ąą dine'é dajit'íinii t'áá át'é áłah ádeidoolííł : óola ádaat'éii índa béésh łigaii áádóó éé' ayóogo da'ílíinii bee hada'dít'éii t'óó ahayóigo áłah ádeidoolííł .
38:14:015:0	Áádóó díí naałniihígíí łį́į́' ałdó' baa níłnii' doo ; dzaanéezda , ghą́ą́'ask'idiida , téliida índa ana'í dah deínéhígi naaldlooshii t'áá ałtso ałdó' baa níłnii' doo .
38:14:016:0	Ákohgo ał'ąą dine'é éí Jerúsalem kin haal'áii yik'i néijah nít'ée'ii t'áá nidahaasdzí'ígíí t'áá nináháhááh bik'eh Jerúsalemgóó ałnáádaakahgo Aláahgo Naat'áanii , éí t'áá ałtsoní bee Bóhólníihii nilíinii yich'į' nidahałáa doo áádóó chaha'ohgi hodílzingo áłah ná'ádleeh ádeił'į́į doo .
38:14:017:0	Áko nihokáá' dine'é t'áá háiida Jerúsalemgóó doo ałnáádajikahígíí áádóó áadi Aláahgo Naat'áanii , éí t'áá ałtsoní bee Bóhólníihii nilíinii doo bich'į' nidahojiłáhígíí éí doo hwee nidahałtin da doo .
38:14:018:0	Áádóó Ííjip kéyahdę́ę́' dine'é dajílíinii t'áadoo ákǫ́ǫ́ dadeeskaigóó índa t'áadoo nidadziiskaigóó doo hwee nidahałtin da doo , áádóó ał'ąą dine'é éí chaha'ohgi hodílzingo áłah ná'ádleeh doo bida'jił'ínígíí éí Bóhólníihii doo nahałtingóó yee atíhodoolííł .
38:14:019:0	Ííjip dine'é índa ał'ąą dine'é ts'ídá t'áá ałtso chaha'ohgi hodílzingo áłah ná'ádleeh bida'jił'į́į doo biniyé doo ákǫ́ǫ́ ałnáádajikahígíí díí bee atídaho'dil'į́į doo .
38:14:020:0	Éí bijį́įdi łį́į́' biyo' bizéédadéenilígíí Bóhólníihii Bich'į' Diyinii Át'é , níigo bikáá' ak'eda'ashchį́į doo , índa Bóhólníihii bikin bii' sohodizin góne' ásaa' chodao'ínígíí éí bikáá' náá'iiniihí bíighahgi łeets'aa' sinilígíí nahalin dooleeł .
38:14:021:0	Áko Jerúsalemgi índa Júdahgi ásaa' t'ááłá'í ní'ánígo t'áá ałtsoní bee Bóhólníihii bá ats'ádeet'ą́ągo dadílzin dooleeł . Ákohgo náádadi'yoołnihgo nidahakáhígíí t'áá ałtso éí yee atsį' nááhániihii nídeiłbish doo . Áádóó éí bijį́įdi t'áá ałtsoní bee Bóhólníihii bikin bii' sohodizin biyi' Kéínan dine'é doo ła' hojílǫ́ǫ da dooleeł .
