38:10:001:1	Bóhólníihii éí bidine'é yisdéidoonił
38:10:001:0	Dąąjį' anáhálzhishgo Bóhólníihii éí níłtsą́ bídayínóhkeed . T'áá áko Bóhólníihii éí k'os áyiił'įįhgo ádaho'niiłtį́į́h ; diné bee nidahałtį́įhgo t'ááłá'í nítínígo nída'niłt'į́į́h .
38:10:002:0	Háálá eda'alyaii biyooch'íidgo yádaałti' áádóó nida'ídíłkidii wooch'ííd k'ehgo bił ádahat'į́ índa t'áá áhoodzaagóó nidayiiyeełgo dahalne' . Áko t'áadoo biniyéhígóó yee ák'i dahalta' . Éí bąą dibé doo idadiziniigi át'éego t'óó yóó'adahakááh ; dibé yaa áhályáanii ádingo bąą bich'į' nidahwii'ná .
38:10:003:0	Doo yá'át'ééhgóó na'niłkaadii danilínígíí t'áá íiyisí bich'į' sháhóóchįįd índa tł'ízíchǫǫh atídeeshłííł ; jó , t'áá ałtsoní bee Bóhólníihii bidibé dah danéelkaadii éí Júdah dine'é át'éego yaa naneeztą́ą́' áádóó bilį́į́' bee na'abaahígi át'éego adiih ádaat'į́įgo áyiilaa .
38:10:004:0	Bits'ą́ą́dóó tsé bee naaná'ástł'inii hodooleeł ; bits'ą́ą́dóó níbaal bá adaaskaalii hodooleeł ; bits'ą́ą́dóó ałtį́į́' bee na'abaahii hodooleeł ; bits'ą́ą́dóó nidanit'áii t'áá ałtso t'áá łahjį' ch'íhidookah .
38:10:005:0	Diné ayóó át'éii nidahalingo kintah da'nítiingóó bida'ana'í danilíinii hashtł'ish biyi'góó anadeił'į́įgo yik'i nidookah , áko Bóhólníihii bił hólónígíí bąą anadadoot'įįł áádóó bida'ana'í łį́į́' bił nidaaldlooshii t'óó ádaa yádadínóodzįįł .
38:10:006:0	Júdah dine'é danilíinii bidziilgo ádeeshłííł , índa Jóseph dine'é danilíinii yisdádeeshnił . Baa a'ááh nisingo biniinaa t'ą́ą́' nináhideesh'ish áádóó ts'ídá t'áadoo yóó'adíí'ą́ą da nahalin doo , háálá shí éí biBóhólníihii Diyin God nishłį́ , áko bisodizin bá bi'íínísin dooleeł .
38:10:007:0	Íífreiyim dine'é éí diné ayóó át'éii nidahalin dooleeł , áko wáin bee ił hózhónígi át'éego bijéí bił dahózhǫ́ǫ doo ; bada'áłchíní ałdó' éí dayiiłtsą́ągo t'áá íiyisí yaa bił dahózhǫ́ǫ doo ; bijéí tł'ááhdę́ę́' Bóhólníihii yee bił nidahoozhǫǫh doo .
38:10:008:0	Bíká ídideesołgo áłah áńdeeshdlííł , háálá t'áá shí bik'é niná'níshdláago shíí' násdlį́į́' . K'ee'ąą deeshzhiizhígi át'éego t'áá íiyisí k'ee'ąą noot'į́įł dooleeł .
38:10:009:0	Ał'ąą dine'é bitahgóó k' ihodideeshłééł índa kéyah nízaadi t'ahdii shéédaalniihgo ha'áłchíní bił dajiináago nináhizhdookah .
38:10:010:0	Ííjip kéyahdę́ę́' nináhodiyeesh'ish , áádóó Asíriya kéyahdę́ę́' áłah ánáhodeeshdlííł . Áko kéyah Gíliyad áádóó Lébananjį' náhodeesh'ish índa kéyah doo hohóoghah da hodooleeł .
38:10:011:0	Tónteel ach'į' nahwiiłnáanii yii'dę́ę́' tó deílk'oołii hasht'eididoołt'eeł , áádóó Náil tooh daditánígóó ałtso néidoołtsih . Áko Asíriya yee ádeidzódlíii a'ohgo át'éego ádoolnííł , áádóó Ííjip dine'é binaat'á gish bighadootį́į́ł .
38:10:012:0	Bóhólníihii bee shidine'é dabidziilgo ádeeshłííł , áádóó shízhi' binahjį' shibee adziilii yee deíkáah dooleeł , ní Bóhólníihii .
