38:7:001:1	T'áá ádzaagóó hodílzingo doo adą́ ádeił'íinii bił ííshją́ą́ ádahóle'
38:7:001:0	Daráíyas aláahgo naat'áanii nilį́įgo dį́į́' náhááh góne' Kíslev wolyéii náhást'éí nídízííd binih dį́į́'góó yoołkáałgo , Bóhólníihii éí Zekaráíyah yich'į' haadzíí' .
38:7:002:0	Íídą́ą́' Béthel kin shijaa'dóó diné danilíinii éí Sharíízer áádóó Ríígem-mélek wolyéii índa diné náádaała' , Bóhólníihii bich'į' sodazdidoolzįįł biniyé Bóhólníihii bikin bii' sohodizingóó adaho'diis'a' .
38:7:003:0	Éí t'áá ałtsoní bee Bóhólníihii bikin bii' sohodizin si'ánígi nááda'iiłniihii áádóó Diyin God yá dahalne'ii kódeidííniid , Díí t'óó ahayóí nááhaijį' ásht'į́į́ nít'é'ígi át'éegoósh áts'á ádideesht'éełgo ashdla' nídízííd góne' yínííł naasháago atínídinishdleeh doo ?
38:7:004:0	Ákohgo t'áá ałtsoní bee Bóhólníihii shich'į' haadzíi'go ání ,
38:7:005:0	Éí kéyahdóó dinéhígíí t'áá ałtso áádóó nááda'iiłniihii kódabidiní , Ashdla'da áádóó tsosts'ida nínádízi'go yínííł na'adáago índa hodílzingo doo adą́ nídaoł'aahgo tsosts'idiin nááhaijį' da' shíísh shá ádaot'įįd ?
38:7:006:0	Áko da'ooyą́ą'go áádóó doodlį́įłii daohdlą́ą'go da' éísh doo t'áá nihí ádá da'ooyą́ą' da índa t'áá nihí doodlį́įłii ádá daohdlą́ą' da ?
38:7:002:1	Doo ak'eh dahół'íinii biniinaa yisnááh daazlį́į́'
38:7:007:0	Jerúsalem kin haal'áagi diné kéédahat'į́ yę́ędą́ą́' éí binaagóó kin hadaas'áhígi t'áá ałtsoní bee áda'azįįd yę́ędą́ą́' índa shádi'áahjigo áádóó dahoníteelgóó diné kéédahat'į́ yę́ędą́ą́' Bóhólníihii yá dahalne'ii chánahgo yaa dahoolne' yę́ę éí nihí ałdó' dadoohts'a' .
38:7:008:0	Áko Bóhólníihii éí Zekaráíyah yich'į' haadzíi'go ání ,
38:7:009:0	T'áá ałtsoní bee Bóhólníihii ání , T'ááłá'í nootínígo t'áá aaníígóó nihik'is t'áá ákogi át'éego bá ádaoht'į́ áádóó baa dajiinohba' índa baa a'áhí danohsin le' .
38:7:010:0	Asdzání bąąh ádahasdįįdii , doodaii' áłchíní bizhé'é ádaadinii , doodaii' dé'éyóní danilíinii , doodaii' badahojoobá'íii t'áadoo bide ádahwíínóhsiní . Índa nihijéí tł'ááhdę́ę́' t'áadoo nichxǫ́'ígo nihik'is bich'į' nitsídaohkeesí .
38:7:011:0	Nidi t'óó ák'eh dahal'į́įgo doo t'áá k'ad da'diizts'ą́ą́'góó deíkááh áádóó doo da'didoots'į́įł da biniyé jé'ádahodilkał nít'éé' .
38:7:012:0	Bee haz'áanii índa t'áá ałtsoní bee Bóhólníihii bizaadígíí biNíłch'i Diyinii yee dahalne'ii yę́ę yaa dahoolne'ígíí doo dajíists'ą́ą' da doo biniyé dahajéí tsé dildǫ́'ii nahalingo dadzííłtł'is . Éí bąą t'áá ałtsoní bee Bóhólníihii ts'ídá ayóó át'éego hashké niidzį́į́' .
38:7:013:0	Kódzaago bich'į' ádííniid , nidi doo dashíists' ą́ą' da nít'é'ígi át'éego hó ałdó' shich'į' ádazhdííniid , nidi shí ałdó' doo hwíínísts'ą́ą' da nít'éé' , ní t'áá ałtsoní bee Bóhólníihii .
38:7:014:0	Nááts'ó'oołdísii naaná'ooghasígi át'éego ał'ąą dine'é doo béédahodzísinii bitahgóó tahonooskaadgo hakéyah t'áá ádzaaí silį́į́' ; ts'ídá doo ła' ákǫ́ǫ́ ch'óoya' át'ée da silį́į́' ; kéyah hózhóní yę́ę t'áá ádzaaí ádajiilaa .
