38:3:001:1	Jéshuwa éí alą́ąjį' náá'iiłniihii ił ádzaa
38:3:001:0	Ákohgo alą́ąjį' náá'iiłniihii Jéshuwa éí Bóhólníihii bidiyingo naal'a'í bidááhdóó dzizį́įgo áádóó níłch'i bida'iiníziinii binanit'a'í Séítan éí Jéshuwa yik'i hodii'aah doo biniyé honish'náájí sizį́įgo shił ádzaa .
38:3:002:0	Áko Bóhólníihii éí Séítan ííłní , Séítan nílíinii , Bóhólníihii nideezteh . Bóhólníihii éí Jerúsalem kin haal'áii niidiní'áanii nideezteh . Dííyee' kǫ' bii'dę́ę́' hahoolghanii át'į́ !
38:3:003:0	Bóhólníihii bidiyingo naal'a'í bidááhdóó Jéshuwa bi'éé' chinii yii' sitį́įgo sizį́ .
38:3:004:0	Áko diyingo naal'a'í éí ła' ákǫ́ǫ́ bidááhdę́ę́' naazínígíí áyidííniid , Éé' chinii baa doołtsóosgo nahjį' kódaohłééh . Áko ánááhodi'ní , Doo ákwii é'ét'éii yę́ę ná yóó'adish'aahgo éé' ílínígíí bee handideeshłííł , jó'akon .
38:3:005:0	Áko ádíshní , Bíni'dii ch'ah dijoolí chin bąąh ádinii bik'i doh'aah . Ákohgo Bóhólníihii bidiyingo naal'a'í t'áá biná sézį́įgo ch'ah dijoolí chin bąąh ádinii ła' bik'i deideez'ą́ áádóó ééh deistį́ .
38:3:006:0	Áádóó Bóhólníihii bidiyingo naal'a'í éí Jéshuwa neintingo áyidííniid ,
38:3:007:0	T'áá ałtsoní bee Bóhólníihii kóní , Ádíshníinii bik'ehgo yínáałgo índa shá nanil'a'go honíyą́ągo yínááł ládą́ą́' , ákohgo shikin índa bee shíhólníihii ałdó' t'áá át'é binanít'áa doo , índa ákǫ́ǫ́ naazínígíí bitahgi ałnáánídáahgo naa dideesh'ááł .
38:3:008:0	Jéshuwa alą́ąjį' náá'iiłniihii nílíinii , ni áádóó nik'is danilíinii nidááhgóó naháaztánígíí k'ad dashidoohts'į́į́h ; jó , yá'át'éehgo diné bee éédahózinii ádaat'į́ . Shá naal'a'í Ats'áoz'a' nilíinii bił deesh'ash , jó'akon .
38:3:009:0	Jó , Jéshuwa binááł díí tsé niní'ánígíí níníł'į́ ; díí tsé niní'ánígíí bináá' tsosts'id ; tsé bik'i na'ashk'aazhgo bik'e'ashchį́įgo ádeeshłííł , jó'akon , ní t'áá ałtsoní bee Bóhólníihii , áádóó díí kéyah haz'ánígi doo ákwii é'ét'éii t'áá ła'a jį́ ałtso nahjį' kódeeshłííł .
38:3:010:0	T'áá ałtsoní bee Bóhólníihii ání , Éí bijį́įdi ch'il na'atł'o'ii áádóó fig naazkaadii biyaagi t'ááłá'í nootínígo bił kéédahoht'íinii hágo dabididoohniiłgo bił nahísóotą́ą doo .
