38:6:001:1	Tsindaabąąs bijáád naakiígíí dį́į'go ił ádzaa
38:6:001:0	Áko náás náádéésht'į́į́ nít'éé' , tsindaabąąs bijáád naakiígíí dį́į'go dził bita'dę́ę́' ch'ídaheezbą́ązgo yiiłtsą́ , jó'akon ; éí dził sinilígíí béésh łitsoii dził át'é .
38:6:002:0	Álą́ąjį' tsinaabąąs bijáád naakiígíí łį́į́' łichíi'ii bighą́ą́h dínil ; náá'ákóne' éí łį́į́shzhiin bighą́ą́h dínil ;
38:6:003:0	táá' góne' éí łį́į́łgaii bighą́ą́h dínil , índa dį́į́' góne' éí łį́į́stł'inii bidziilii bighą́ą́h dínil .
38:6:004:0	Áko diyingo naal'a'í shich'į' yáłti'ii ábidishní , Shibóhólníihii , díishą' ha'át'íí ádaat'į́ ?
38:6:005:0	Nít'éé' diyingo naal'a'í áshidííniid , Díí yá'ąąshdę́ę́' níłch'i dį́į́' ał'ąą át'éego Bóhólníihii yidááhdóó naazį́į́ nít'ée'ii ni' nidahonees'ą́ą́góó dadeeskaígíí ádaat'į́ .
38:6:006:0	Łį́į́shzhiin éí náhookǫsjigo kéyahgóó bee adeezbą́ą́z ; náábíkéé' góne' łį́į́łgaii e'e'aahjigo bee adeezbą́ą́z ; łį́į́stł'inii éí shádi'áahjigo bee adeezbą́ą́z .
38:6:007:0	Łį́į́' bidziilígíí éí nahasdzáán nidahonees'ą́ą́góó ha'ídées'į́į́' biniyé dah ahiniilchééh . Áko Bóhólníihii ání , Nihílááh , nahasdzáán hazhó'ó haahsííd . Ákohgo nahasdzáán haisííd biniyé bee adeezbą́ą́z .
38:6:002:1	Naat'á ch'ah éí Jéshuwa bik'i dí'aah , hodoo'niid
38:6:008:0	Ákohgo shich'į' hadoolghaazhgo áshidííniid , Náhookǫsjigo bee adeezbą́zígíí éí bee shiníłch'i hasht'edíít'e' , jó'akon .
38:6:009:0	Áádóó Bóhólníihii kóshidííniid ,
38:6:010:0	Héldeiyai áádóó Tobáíjah índa Jedáíyah éí yisnááh danilį́į́ nít'ée'go Bábilan kéyahdę́ę́' nidahaaskai yę́ę nidayiizhjaa'ígíí nídidíínił ; t'áá éí bijį́ Zefanáíyah biye' Josáíyah bighan góne' yah adíínááł .
38:6:011:0	Áko béésh łigaii áádóó óola ła' nídiiníiłgo naat'á ch'ah ádíílíił go éí Jásedek aláahgo náá'iiłniihii biye' Jéshuwa bik'i didíí'ááł .
38:6:012:0	Áádóó ábididííniił , T'áá ałtsoní bee Bóhólníihii kóní , Diné Ats'áoz'a' wolyéii t'áá bí bił haz'ą́ą́dóó dínóoyééł , áádóó Bóhólníihii bikin bii' sohodizin íidoolííł , jó'akon .
38:6:013:0	T'áá bí éí Bóhólníihii bikin bii' sohodizin íidoolííł áádóó t'áá íiyisí ayóó át'éego baa ha'niihgo bibikáá'dóó nahat'áii yikáá' dah sidáago nant'áa doo . Áádóó bibikáá'dóó nahat'áii yikáá' dah sidáago náá'iiłniihii nilį́į dooleeł , áko náá'iiłniihii índa aláahgo naat'áanii nilį́įgo t'áá ałhii'go bee ach'į' hózhóonii yee hoo'áał doo .
38:6:014:0	Áko Héldeiyai áádóó Tobáíjah áádóó Jedáíyah índa Zefanáíyah biye' Josáíyah éí Bóhólníihii bikin bii' sohodizin góne' naat'á ch'ah bee béédahaniih doo .
38:6:015:0	Díí doo deeghánídę́ę́' nidahidookahgo Bóhólníihii bikin bii' sohodizin atah ádeidoolííł , áko t'áá ałtsoní bee Bóhólníihii nihaa shiníł'a'go nihił béédahózin dooleeł . Bóhólníihii nihiDiyin God haleebee bik'eh dahonoł'į́įgo t'éiyá kót'éego nihá áhodoonííł .
