38:12:001:1	Náás hodeeshzhiizhgóó Jerúsalem kin haal'á doodzih
38:12:001:0	Ízrel dine'é bide áhodooníłígíí Bóhólníihii yee haadzíí' . Bóhólníihii éí yót'ááh hiníláii dah yisbaalii áádóó nahasdzáán bee niłdzilii áyiilaii índa diné níłch'i yee hináa doo biniyé yee yiih yíyolii éí Bóhólníihii ání ,
38:12:002:0	Jerúsalem kin haal'áii éí tsi'na'iiłáii bee adlání bee sikánígíí nahalingo binaagóó diné t'áá ałtso bich'į' ádeeshłííł , jó'akon . Jerúsalem yináshzhiizhgo Júdah dine'é ałdó' yináshzhiizh doo .
38:12:003:0	Éí bijį́įdi diné t'áá ałtso bá Jerúsalem tsé nidaazii nahalingo áhodeeshłíiłgo éí dah dahodii'aahii t'áá ałtso yik'ee adadidoonih , áádóó nahasdzáán nidahonees'ą́ą́dę́ę́' ał'ąą dine'é t'áá ałtso hak'ijį' danilį́įgo áłah dooleeł .
38:12:004:0	Bóhólníihii ání , Éí bijį́įdi łį́į́' bee nida'abaahii t'áá ałtso biyadahodideesxis índa łį́į́' yee deíbáhígíí tsi'habidiyeeshkah , áko ał'ąą dine'é bilį́į́' yee naabaahii bináá' ádadeeshdįįł , índa Júdah bił haz'ą́ągi t'éiyá diné bik'i díínísh'į́į' doo .
38:12:005:0	Áko Júdah dine'é bindanit'a'í t'áá biyi'ídi ádadidooniił , Jerúsalemgi kéédahat'íinii bee t'áá ałtsoní bee Bóhólníihii Diyin God nilíinii binahjį' shidziil dooleeł .
38:12:006:0	Éí bijį́įdi Júdah dine'é bindanit'a'í éí chizh bitahgi tsííd bee naakáhí bee kǫ' niiką́ nahalingo áádóó tł'oh naadą́ą́' ałch'į' bida'astł'ǫ́ǫgo bitahgi honooyééł niilt'ą́ nahalingo ádeeshłííł . Nish'náájí áádóó nishtł'ají diné kéédahojit'íinii t'áá ádzíłtso ałtso ahodidoołk'ą́ą́ł , áádóó t'áá hazhó'ó Jerúsalemgi kéédahat'ínígíí t'éiyá t'áá ákǫ́ǫ́ kéédahat'į́į dooleeł .
38:12:007:0	Áko David ba'áłchíní bee baa ha'niihii índa Jerúsalemgi kéédahat'íinii yee ayóó ádaat'éii éí doo Júdah dine'é biláahgo ayóó ádajít'ée da dooleeł biniyé Júdah dine'é átsé dabiníbaal t'áá bił Bóhólníihii yisdábidoonił .
38:12:008:0	Éí bijį́įdi Jerúsalemgi kéédahat'ínígíí Bóhólníihii bich'ą́ą́h nahale'go bitahgóó doo dabidziilígíí Davidgi át'éego adziil bee dahodooleeł áádóó David ba'áłchíní ahoolchíiłii éí Diyin Godgi ádaat'ée doo , doodaii' hanááł Bóhólníihii bidiyingo naal'a'í nidahalin doo .
38:12:009:0	Áko éí bijį́įdi ał'ąą dine'é Jerúsalem bik'ijį' dajílį́įgo nidajiikáhígíí t'áá ádzíłtso ałtso ádahodeeshdįįłgo bee hosíł' ą́ą doo .
38:12:010:0	Áko David ba'áłchíní ahoolchíiłii índa Jerúsalemgi kéédahat'íinii níłch'i jooba'ii áádóó ná'ookąąhii baa dideesh'ááł , ákohgo shaa adashiizhii dashidínóoł'įįłgo t'áá hazhó'ó t'ááłá'í aye' nilíinii baa atínáhodindleehígi át'éego yaa yínííł danilį́į doo , áádóó alą́ąjį' yizhchíinii daaztsą́ągo baa atínáhodindleehgo bizhé'é yéego baa yichaígi át'éego yéego yaa daacha doo .
38:12:011:0	Éí bijį́įdi honts'aa' Megídodi Héídad-rímangi yínííł danilį́įgo atínídadindleeh yę́ęgi át'éego Jerúsalemgi ayóó át'éego diné yínííł danilį́įgo atínídadindleeh doo .
38:12:012:0	Áko kéyahgóó atínáhodindleeh doo . T'ááłá'í dahooghanígíí t'áá da'níł'ąą atínídadindleeh doo : David bidine'é danilíinii t'áá sahdii , bida'asdzą́ą́ danilíinii t'áá sahdii , Néíthan bidine'é danilíinii t'áá sahdii , bida'asdzą́ą́ danilíinii t'áá sahdii atínídadindleeh doo .
38:12:013:0	Líívai bidine'é danilíinii t'áá sahdii , bida'asdzą́ą́ t'áá sahdii , Shímiyai bidine'é danilíinii t'áá sahdii , bida'asdzą́ą́ t'áá sahdii atínídadindleeh doo .
38:12:014:0	Áko ałk'éí danilíinii daadziihígíí t'áá ałtso t'ááłá'í nítínígo ba'áłchíní bídaóltą'go t'áá sahdii , bida'asdzą́ą́ t'áá sahdii yínííł danilį́įgo atínídadindleeh doo .
