38:4:001:1	Bee hool'iní bá yada'ii'áii áádóó áliv naazkaadii
38:4:001:0	Áko diyingo naal'a'í shich'į' yáłti'ii shaa náánádzáago diné ałhoshdę́ę́' nídiilt'e'ígi át'éego náshidiiłt'e'
38:4:002:0	áádóó , Ha'át'íísh yíní'į́ ? shidííniid . Áko ádíshní , Déé'į́į́' nít'éé' , jó'akon , áko bee hool'iní bá yadaa'áhígíí áádóó bílátahgi dah azkánígíí áádóó éí bikáá'dóó bee dahool'iní tsosts'idgo dah naaznil índa t'ááłá'í ní'ánígo óola níyizgo biih dahasdzą́ągo bidadii'áago yiiłtsą́ .
38:4:003:0	Áádóó bílátahgi dah azkánígíí binahjį' t'áá ałch'ijí áliv sikaadii naakigo ałdó' íí'á .
38:4:004:0	Ákohgo diyingo naal'a'í shich'į' yáłti'ii ábidishní , Shibóhólníihii , díishą' ha'át'íí ádaat'é ?
38:4:005:0	Áko diyingo naal'a'í shich'į' yáłti'ii áshíłní , Da' díí ádaat'éhígíísh doo nił bééhózin da ? Áko ábidishní , Dooda , shibóhólníihii .
38:4:006:0	Nít'éé' áshidííniid , Díí Bóhólníihii bizaad éí Zerábabel bee bich'į' ha'oodzíi'ii át'é . Atsxe' bee dooda , adziil bee dooda , nidi shiNíłch'i Diyinii bee , ní t'áá ałtsoní bee Bóhólníihii .
38:4:007:0	Dził ayóó ánít'éii nílíinii , háísh ánít'į́ ? Zerábabel bidáahjį' k'íhoneezlá dííleeł áádóó tsé á si'ánígíí ch'íí'aahgo , Ajooba' bee bik'ihojidlíi le' , dajiníigo chánahgo dazhdilwosh doo .
38:4:008:0	Bóhólníihii kónááshidoo'niidgo ání ,
38:4:009:0	Zerábabel t'áá bí díí kin bii' sohodizin bitł'ááh nástł'iní áyiilaa áádóó éí ałdó' t'áá bí ts'ídá ałtso íidoolííł . Ákohgo éí t'áá ałtsoní bee Bóhólníihii naa shiníł'a'go nił bééhodoozįįł .
38:4:010:0	Háishą' t'áá áłts'íísígo ádahóót'įįdígíí dayíí'įįd ? Áko díí bił dahózhǫ́ǫ doo , áádóó tł'óół bik'ehgo k'éhézdon ha'iitł'inii Zerábabel dah yooléełgo deizdoołtsééł . Díí tsosts'idígíí éí Bóhólníihii bináá' ádaat'éego nahasdzáán t'áá si'ą́ą́ nít'éé' yikáá'góó háádadiigał .
38:4:011:0	Ákohgo ábidishní , Díí áliv naakigo sikaadii éí bee hool'iní bá yadaa'áago binahjį' ałch'ijí íí'áhígíishą' ha'át'íí át'é ?
38:4:012:0	Áádóó hanáánáásdzíi'go ábidííniid , Díí áliv bits'áoz'a' naakiígíí bits'ą́ą́dóó ak'ah bii' nílíní óola bee ályaii biyi'dę́ę́' ak'ah yahiidzíidii ha'át'íísh át'é ?
38:4:013:0	Nít'éé' áshíłní , Da' díí kódaat'éégóósh doo nił bééhózin da ? Áko ádíshní , Dooda , shibóhólníihii .
38:4:014:0	Ákohgo áshidííniid , Díí nizhdilt'éego ak'ah bee alzį́įhii bee ats'áho'dee'nilgo nahasdzáán t'áá si'ą́ą́ nít'éé' bee Bóhólníihii bíighahdóó dzizíinii ájít'į́ .
