61:3:001:1	Bóhólníihii nádáhígíí beidoołkááł
61:3:001:0	Ayóó'ánihósh'níinii, díí bił k'ad naakidi nihich'į' naaltsoos áshłééh. Naaltsoos t'áá áłah biyi' nihintsékees doo bąąh chinii bee nitsídaahkees dooleełgo díí béédanihiyiishnííh. 
61:3:002:0	Diyin God yá dahalne'ii dadiyinii nee'nijį' saad yaa dahoolne'ii áádóó daal'aadii daniidlíinii nihinahjį' Bóhólníihii Yisdá'iiníiłii yee has'áanii nihaa deet'áanii béédanihiyiishnííh. 
61:3:003:0	Díidíígíí áłtsé nihił béédahodoozįįł, nihoogháahjį' yoołkáałgo á nidahałt'i'ii t'áá bí be'adádahonooni' yik'ehgo naaldeehii nidahidookah. Éí nihá nidahałt'i'go 
61:3:004:0	kódaaníi doo, Náádeeshdááł, jiníigo nihozhní'áanii háájíshą' ajííyá? Jó, danihizhé'é yę́ę ałtso dazneeznáádóó wóshdę́ę́' t'ahdii t'áá ákóhoot'é, hodeeyáádą́ą́' t'áá ałtsoní ádaalyaadóó wóshdę́ę́' ádaalyaii t'ahdii t'áá ákódaat'éego hoolzhish. 
61:3:005:0	Díí t'áá ákódaanéehgo doo t'áá k'ad yaa ákodaniizį́į' da; jó, Diyin God bizaad bik'ehgo yót'ááh hiníláii ałk'idą́ą́' hólǫ́, áádóó ni' táyi'dę́ę́' háá'á áádóó tó bee hasht'eelyaa 
61:3:006:0	áádóó bik'ijį' tó yíląądgo nihokáá' dahólóonii t'áá ałtso tó bee ábi'disdįįd. 
61:3:007:0	Áko k'ad Diyin God t'áá éí saad yee haadzíi'ii bee yót'ááh hiníláii índa nahasdzáán hólónígíí kǫ' yee íidoołdįįłjį' hasht'eyósingo hoolzhish. Baa hoolzhiizhgo diné doo Diyin God dazdísinígíí Diyin God há nihwii'aahgo hool'áágóó ti'dahojooníihgo há nihodiyoo'ááł. 
61:3:008:0	Nidi, ayóó'ánihósh'níinii, díí t'ááká baa dayoohnééh yíila', éí Bóhólníihii ła'a jį́ azlį́'ígíí t'ááłáhídi mííl nááhaígi át'éego yaa nitsíkees, áádóó t'ááłáhídi mííl nááhaígíí ałdó' ła'a jį́ azlį́'ígi át'éego yaa nitsíkees. 
61:3:009:0	Ła' ádajiní, Bóhólníihii kóhodoonííł nínę́ę doo hąh yi'doolíił da lá. Nidi yee haadzíi'ii ts'ídá yi'doolíiłgo yee has'ą́. Jó, nízaadgóó nihich'į' ha'ólní, ts'ídá doo ła' ázhdoodįįł da nízingo, nidi t'áá ádzíłtso łahgo át'éego tsíńdazdookosgo habąąhági át'éii bits'áhizhdookah hó'ní. 
61:3:010:0	Nidi ani'įįhii tł'ée'go yigháhígi át'éego Bóhólníihii nádáhígíí beidoołkááł, ákohgo yádiłhił ayóó íits'a'go bił yóó'ahodoogááł, áádóó kǫ' bits'áhonigahii bee yót'ááh hiníláii biyi'di dahólóonii ałtso ádoodįįł, áádóó nahasdzáán índa bikáa'gi dahólóonii t'áá ałtso adidook'ą́ą́ł. 
61:3:011:0	Áko t'áá ałtsoní kót'éego ádooldįįłgo, k'ad haash yit'éego da'íínółdįįh? Jó, diyin k'ehgo dahinohnáa doo, áádóó Diyin God dadíínóhsin. 
61:3:012:0	T'áadoo hodina'í Diyin God beidoołkááł lá danohsingo dahinohná. Diyin God beiníłką́ągo yót'ááh hiníláii adidook'ą́ąłgo ałtso ádoodįįł, áádóó yót'ááh hiníláii biyi'di dahólóonii ałtso dadidoołhįh. 
61:3:013:0	Nidi Diyin God yee nihoní'áanii bik'ehgo yót'ááh hiníláii ániidíii áádóó nahasdzáán ániidíii bíká dadíníit'į́į́', éí bikáá' t'áá ałtsogóó ts'ídá t'áá ákogi é'ét'é hólǫ́ǫ dooleeł.  
61:3:014:0	Éí bąą, ayóó'ánihósh'níinii, díí bíká dadínóh'į́į'go Diyin God binááł doo nihąąh daahchinígóó, áádóó t'áadoo bee nihik'ídahót'ahígóó haleebee ádaaht'į́įgo Diyin God bił k'é da'ahíínóh'níi le'. 
61:3:015:0	Áádóó nihiBóhólníihii nízaadgóó ha'ólnínígíí yisdá'iildééh át'éego baa nitsídaahkees. Nihik'is Paul ayóó'ádeíníi'níinii bee hódzáanii baa deet'ánígíí ałdó' t'áá ákót'éego yee nihich'į' ak'e'ashchį́. 
61:3:016:0	Paul binaaltsoos t'áá ałtso biyi'dóó díí yee ak'e'ashchį́įgo, t'áá éigi át'éego yee ak'e'ashchį́. Binaaltsoos biyi' bee ak'eda'ashchínígíí ła' bik'idi'dootį́łígíí ayóogo nidantł'ago doo bił éédahózinii índa bida'oodlą' doo dabidziilii hazaad nideigiz. Éí Diyin God bizaad biyi' łahgóó bee ak'eda'ashchíinii ałdó' nideigiz. Éí biniinaa hool'áágóó ti'hoo'níihii yee ák'ijį' dahodoolchįįł. 
61:3:017:0	Nidi nihí, ayóó'ánihósh'níinii, díí t'áá íídą́ą́' nihił béédahózin. Éí bąą ádaa ádahołyą́. Doo ádaa ádahołyą́ą́góó éí diné doo yá'ádaashóonii nida'iisíhígíí yóó'adanihinii'áahgo doo danihidziil da dadoohłeeł. 
61:3:018:0	Nidi nihiBóhólníihii Yisdánihiiníiłii Jesus Christ bibee ajooba' índa t'áá bí béédahonohsinígíí bee danóohséeh doo. Éí díí jį́ índa hool'áágóó baa ha'niih doo! T'áá ákót'ée doo.
