1:31:001:1	Jacob Flees from Laban
1:31:001:0	But Jacob soon learned that Laban 's sons were grumbling about him . “ Jacob has robbed our father of everything ! ” they said . “ He has gained all his wealth at our father 's expense . ”
1:31:002:0	And Jacob began to notice a change in Laban 's attitude toward him .
1:31:003:0	Then the Lord said to Jacob , “ Return to the land of your father and grandfather and to your relatives there , and I will be with you . ”
1:31:004:0	So Jacob called Rachel and Leah out to the field where he was watching his flock .
1:31:005:0	He said to them , “ I have noticed that your father 's attitude toward me has changed . But the God of my father has been with me .
1:31:006:0	You know how hard I have worked for your father ,
1:31:007:0	but he has cheated me , changing my wages ten times . But God has not allowed him to do me any harm .
1:31:008:0	For if he said , ‘ The speckled animals will be your wages , ' the whole flock began to produce speckled young . And when he changed his mind and said , ‘ The striped animals will be your wages , ' then the whole flock produced striped young .
1:31:009:0	In this way , God has taken your father 's animals and given them to me .
1:31:010:0	“ One time during the mating season , I had a dream and saw that the male goats mating with the females were streaked , speckled , and spotted .
1:31:011:0	Then in my dream , the angel of God said to me , ‘ Jacob ! ' And I replied , ‘ Yes , here I am . '
1:31:012:0	“ The angel said , ‘ Look up , and you will see that only the streaked , speckled , and spotted males are mating with the females of your flock . For I have seen how Laban has treated you .
1:31:013:0	I am the God who appeared to you at Bethel , the place where you anointed the pillar of stone and made your vow to me . Now get ready and leave this country and return to the land of your birth . ' ”
1:31:014:0	Rachel and Leah responded , “ That 's fine with us ! We wo n't inherit any of our father 's wealth anyway .
1:31:015:0	He has reduced our rights to those of foreign women . And after he sold us , he wasted the money you paid him for us .
1:31:016:0	All the wealth God has given you from our father legally belongs to us and our children . So go ahead and do whatever God has told you . ”
1:31:017:0	So Jacob put his wives and children on camels ,
1:31:018:0	and he drove all his livestock in front of him . He packed all the belongings he had acquired in Paddan-aram and set out for the land of Canaan , where his father , Isaac , lived .
1:31:019:0	At the time they left , Laban was some distance away , shearing his sheep . Rachel stole her father 's household idols and took them with her .
1:31:020:0	Jacob outwitted Laban the Aramean , for they set out secretly and never told Laban they were leaving .
1:31:002:1	Laban Pursues Jacob
1:31:021:0	So Jacob took all his possessions with him and crossed the Euphrates River , heading for the hill country of Gilead .
1:31:022:0	Three days later , Laban was told that Jacob had fled .
1:31:023:0	So he gathered a group of his relatives and set out in hot pursuit . He caught up with Jacob seven days later in the hill country of Gilead .
1:31:024:0	But the previous night God had appeared to Laban the Aramean in a dream and told him , “ I 'm warning you—leave Jacob alone ! ”
1:31:025:0	Laban caught up with Jacob as he was camped in the hill country of Gilead , and he set up his camp not far from Jacob 's .
1:31:026:0	“ What do you mean by deceiving me like this ? ” Laban demanded . “ How dare you drag my daughters away like prisoners of war ?
1:31:027:0	Why did you slip away secretly ? Why did you deceive me ? And why did n't you say you wanted to leave ? I would have given you a farewell feast , with singing and music , accompanied by tambourines and harps .
1:31:028:0	Why did n't you let me kiss my daughters and grandchildren and tell them good-bye ? You have acted very foolishly !
