1:5:001:1	The Descendants of Adam
1:5:001:0	This is the written account of the descendants of Adam . When God created human beings , he made them to be like himself .
1:5:002:0	He created them male and female , and he blessed them and called them “ human . ”
1:5:003:0	When Adam was 130 years old , he became the father of a son who was just like him—in his very image . He named his son Seth .
1:5:004:0	After the birth of Seth , Adam lived another 800 years , and he had other sons and daughters .
1:5:005:0	Adam lived 930 years , and then he died .
1:5:006:0	When Seth was 105 years old , he became the father of Enosh .
1:5:007:0	After the birth of Enosh , Seth lived another 807 years , and he had other sons and daughters .
1:5:008:0	Seth lived 912 years , and then he died .
1:5:009:0	When Enosh was 90 years old , he became the father of Kenan .
1:5:010:0	After the birth of Kenan , Enosh lived another 815 years , and he had other sons and daughters .
1:5:011:0	Enosh lived 905 years , and then he died .
1:5:012:0	When Kenan was 70 years old , he became the father of Mahalalel .
1:5:013:0	After the birth of Mahalalel , Kenan lived another 840 years , and he had other sons and daughters .
1:5:014:0	Kenan lived 910 years , and then he died .
1:5:015:0	When Mahalalel was 65 years old , he became the father of Jared .
1:5:016:0	After the birth of Jared , Mahalalel lived another 830 years , and he had other sons and daughters .
1:5:017:0	Mahalalel lived 895 years , and then he died .
1:5:018:0	When Jared was 162 years old , he became the father of Enoch .
1:5:019:0	After the birth of Enoch , Jared lived another 800 years , and he had other sons and daughters .
1:5:020:0	Jared lived 962 years , and then he died .
1:5:021:0	When Enoch was 65 years old , he became the father of Methuselah .
1:5:022:0	After the birth of Methuselah , Enoch lived in close fellowship with God for another 300 years , and he had other sons and daughters .
1:5:023:0	Enoch lived 365 years ,
1:5:024:0	walking in close fellowship with God . Then one day he disappeared , because God took him .
1:5:025:0	When Methuselah was 187 years old , he became the father of Lamech .
1:5:026:0	After the birth of Lamech , Methuselah lived another 782 years , and he had other sons and daughters .
1:5:027:0	Methuselah lived 969 years , and then he died .
1:5:028:0	When Lamech was 182 years old , he became the father of a son .
1:5:029:0	Lamech named his son Noah , for he said , “ May he bring us relief from our work and the painful labor of farming this ground that the Lord has cursed . ”
1:5:030:0	After the birth of Noah , Lamech lived another 595 years , and he had other sons and daughters .
1:5:031:0	Lamech lived 777 years , and then he died .
1:5:032:0	After Noah was 500 years old , he became the father of Shem , Ham , and Japheth .
