1:10:001:1	Descendants of Japheth
1:10:001:0	This is the account of the families of Shem , Ham , and Japheth , the three sons of Noah . Many children were born to them after the great flood .
1:10:002:0	The descendants of Japheth were Gomer , Magog , Madai , Javan , Tubal , Meshech , and Tiras .
1:10:003:0	The descendants of Gomer were Ashkenaz , Riphath , and Togarmah .
1:10:004:0	The descendants of Javan were Elishah , Tarshish , Kittim , and Rodanim .
1:10:002:1	Descendants of Ham
1:10:005:0	Their descendants became the seafaring peoples that spread out to various lands , each identified by its own language , clan , and national identity .
1:10:006:0	The descendants of Ham were Cush , Mizraim , Put , and Canaan .
1:10:007:0	The descendants of Cush were Seba , Havilah , Sabtah , Raamah , and Sabteca . The descendants of Raamah were Sheba and Dedan .
1:10:008:0	Cush was also the ancestor of Nimrod , who was the first heroic warrior on earth .
1:10:009:0	Since he was the greatest hunter in the world , his name became proverbial . People would say , “ This man is like Nimrod , the greatest hunter in the world . ”
1:10:010:0	He built his kingdom in the land of Babylonia , with the cities of Babylon , Erech , Akkad , and Calneh .
1:10:011:0	From there he expanded his territory to Assyria , building the cities of Nineveh , Rehoboth-ir , Calah ,
1:10:012:0	and Resen ( the great city located between Nineveh and Calah ) .
1:10:013:0	Mizraim was the ancestor of the Ludites , Anamites , Lehabites , Naphtuhites ,
1:10:014:0	Pathrusites , Casluhites , and the Caphtorites , from whom the Philistines came .
1:10:015:0	Canaan 's oldest son was Sidon , the ancestor of the Sidonians . Canaan was also the ancestor of the Hittites ,
1:10:016:0	Jebusites , Amorites , Girgashites ,
1:10:017:0	Hivites , Arkites , Sinites ,
1:10:018:0	Arvadites , Zemarites , and Hamathites . The Canaanite clans eventually spread out ,
1:10:019:0	and the territory of Canaan extended from Sidon in the north to Gerar and Gaza in the south , and east as far as Sodom , Gomorrah , Admah , and Zeboiim , near Lasha .
1:10:003:1	Descendants of Shem
1:10:020:0	These were the descendants of Ham , identified by clan , language , territory , and national identity .
1:10:021:0	Sons were also born to Shem , the older brother of Japheth . Shem was the ancestor of all the descendants of Eber .
1:10:022:0	The descendants of Shem were Elam , Asshur , Arphaxad , Lud , and Aram .
1:10:023:0	The descendants of Aram were Uz , Hul , Gether , and Mash .
1:10:024:0	Arphaxad was the father of Shelah , and Shelah was the father of Eber .
1:10:025:0	Eber had two sons . The first was named Peleg ( which means “ division ” ) , for during his lifetime the people of the world were divided into different language groups . His brother 's name was Joktan .
1:10:026:0	Joktan was the ancestor of Almodad , Sheleph , Hazarmaveth , Jerah ,
1:10:027:0	Hadoram , Uzal , Diklah ,
1:10:028:0	Obal , Abimael , Sheba ,
1:10:029:0	Ophir , Havilah , and Jobab . All these were descendants of Joktan .
1:10:030:0	The territory they occupied extended from Mesha all the way to Sephar in the eastern mountains .
1:10:004:1	Conclusion
1:10:031:0	These were the descendants of Shem , identified by clan , language , territory , and national identity .
1:10:032:0	These are the clans that descended from Noah 's sons , arranged by nation according to their lines of descent . All the nations of the earth descended from these clans after the great flood .
