1:36:001:1	Descendants of Esau
1:36:001:0	This is the account of the descendants of Esau ( also known as Edom ) .
1:36:002:0	Esau married two young women from Canaan : Adah , the daughter of Elon the Hittite ; and Oholibamah , the daughter of Anah and granddaughter of Zibeon the Hivite .
1:36:003:0	He also married his cousin Basemath , who was the daughter of Ishmael and the sister of Nebaioth .
1:36:004:0	Adah gave birth to a son named Eliphaz for Esau . Basemath gave birth to a son named Reuel .
1:36:005:0	Oholibamah gave birth to sons named Jeush , Jalam , and Korah . All these sons were born to Esau in the land of Canaan .
1:36:006:0	Esau took his wives , his children , and his entire household , along with his livestock and cattle — all the wealth he had acquired in the land of Canaan — and moved away from his brother , Jacob .
1:36:007:0	There was not enough land to support them both because of all the livestock and possessions they had acquired .
1:36:008:0	So Esau ( also known as Edom ) settled in the hill country of Seir .
1:36:009:0	This is the account of Esau 's descendants , the Edomites , who lived in the hill country of Seir .
1:36:010:0	These are the names of Esau 's sons : Eliphaz , the son of Esau 's wife Adah ; and Reuel , the son of Esau 's wife Basemath .
1:36:011:0	The descendants of Eliphaz were Teman , Omar , Zepho , Gatam , and Kenaz .
1:36:012:0	Timna , the concubine of Esau 's son Eliphaz , gave birth to a son named Amalek . These are the descendants of Esau 's wife Adah .
1:36:013:0	The descendants of Reuel were Nahath , Zerah , Shammah , and Mizzah . These are the descendants of Esau 's wife Basemath .
1:36:014:0	Esau also had sons through Oholibamah , the daughter of Anah and granddaughter of Zibeon . Their names were Jeush , Jalam , and Korah .
1:36:015:0	These are the descendants of Esau who became the leaders of various clans : The descendants of Esau 's oldest son , Eliphaz , became the leaders of the clans of Teman , Omar , Zepho , Kenaz ,
1:36:016:0	Korah , Gatam , and Amalek . These are the clan leaders in the land of Edom who descended from Eliphaz . All these were descendants of Esau 's wife Adah .
1:36:017:0	The descendants of Esau 's son Reuel became the leaders of the clans of Nahath , Zerah , Shammah , and Mizzah . These are the clan leaders in the land of Edom who descended from Reuel . All these were descendants of Esau 's wife Basemath .
1:36:018:0	The descendants of Esau and his wife Oholibamah became the leaders of the clans of Jeush , Jalam , and Korah . These are the clan leaders who descended from Esau 's wife Oholibamah , the daughter of Anah .
1:36:002:1	Original Peoples of Edom
1:36:019:0	These are the clans descended from Esau ( also known as Edom ) , identified by their clan leaders .
1:36:020:0	These are the names of the tribes that descended from Seir the Horite . They lived in the land of Edom : Lotan , Shobal , Zibeon , Anah ,
1:36:021:0	Dishon , Ezer , and Dishan . These were the Horite clan leaders , the descendants of Seir , who lived in the land of Edom .
1:36:022:0	The descendants of Lotan were Hori and Hemam . Lotan 's sister was named Timna .
1:36:023:0	The descendants of Shobal were Alvan , Manahath , Ebal , Shepho , and Onam .
1:36:024:0	The descendants of Zibeon were Aiah and Anah . ( This is the Anah who discovered the hot springs in the wilderness while he was grazing his father 's donkeys . )
1:36:025:0	The descendants of Anah were his son , Dishon , and his daughter , Oholibamah .
1:36:026:0	The descendants of Dishon were Hemdan , Eshban , Ithran , and Keran .
1:36:027:0	The descendants of Ezer were Bilhan , Zaavan , and Akan .
1:36:028:0	The descendants of Dishan were Uz and Aran .
1:36:029:0	So these were the leaders of the Horite clans : Lotan , Shobal , Zibeon , Anah ,
1:36:003:1	Rulers of Edom
1:36:030:0	Dishon , Ezer , and Dishan . The Horite clans are named after their clan leaders , who lived in the land of Seir .
1:36:031:0	These are the kings who ruled in the land of Edom before any king ruled over the Israelites :
1:36:032:0	Bela son of Beor , who ruled in Edom from his city of Dinhabah .
1:36:033:0	When Bela died , Jobab son of Zerah from Bozrah became king in his place .
1:36:034:0	When Jobab died , Husham from the land of the Temanites became king in his place .
1:36:035:0	When Husham died , Hadad son of Bedad became king in his place and ruled from the city of Avith . He was the one who defeated the Midianites in the land of Moab .
1:36:036:0	When Hadad died , Samlah from the city of Masrekah became king in his place .
1:36:037:0	When Samlah died , Shaul from the city of Rehoboth-on-the-River became king in his place .
1:36:038:0	When Shaul died , Baal-hanan son of Acbor became king in his place .
1:36:039:0	When Baal-hanan son of Acbor died , Hadad became king in his place and ruled from the city of Pau . His wife was Mehetabel , the daughter of Matred and granddaughter of Me-zahab .
1:36:040:0	These are the names of the leaders of the clans descended from Esau , who lived in the places named for them : Timna , Alvah , Jetheth ,
1:36:041:0	Oholibamah , Elah , Pinon ,
1:36:042:0	Kenaz , Teman , Mibzar ,
1:36:043:0	Magdiel , and Iram . These are the leaders of the clans of Edom , listed according to their settlements in the land they occupied . They all descended from Esau , the ancestor of the Edomites .
