17:6:001:1	Héíman éí Mórdiikai ts'ídá nił doolįįłí hodi'níigo hach'į' ha'oodzíí'
17:6:001:0	Áko éí bitł'éé' aláahgo naat'áanii bił bits'áníkį́įgo aláahgo nidanit'a'í baa dahane' binaaltsoos yíídóoltahgo yee haadzíí' áádóó naaltsoosígíí aláahgo naat'áanii binááł dajííłta'. 
17:6:002:0	Áko Bígthan áádóó Tííresh, díí nidilt'éhígíí aláahgo naat'áanii yá naal'a'í ch'é'étiingi nídídáhí nilį́įgo aláahgo naat'áanii Ahazawííras yidiyoołhééł hát'į́ nít'éé' yę́ę Mórdiikai haa nahasne'go bee ak'e'ashchį́įgo bééhoozin. 
17:6:003:0	Áko aláahgo naat'áanii ádííniid, Ha'át'íí ił ílį́į́ shį́į́, doodaii' ha'át'íí ádił ídlį́į́ shį́į́ Mórdiikai bá baa na'asdee'? Ákohgo aláahgo naat'áanii bá nidaal'a'í ádabidííniid, t'áadoo há baa na'asdee'í da. 
17:6:004:0	Áko aláahgo naat'áanii ánáádoo'niid, Háishą' níláhjí haz'ání góne' naaghá? Íídą́ą́' Héíman éí Mórdiikai bá tsin hasht'ejiilaago bąąh dahididoodloh, jiníigo aláahgo naat'áanii bich'į' bee hazdoodzih biniyé aláahgo naat'áanii bighandóó tł'óó'jí haz'ání góne' yah ajííyá. 
17:6:005:0	Ákohgo aláahgo naat'áanii bá nidaal'a'í ádahodííniid, Héíman éí níláhjí haz'ání góne' sizį́. Áko aláahgo naat'áanii ádííniid, Bíni' yah iighááh. 
17:6:006:0	Ákohgo Héíman yah ajííyáago aláahgo naat'áanii áhodííniid, Aláahgo naat'áanii diné yaa bił nihoozhǫǫhgo bił nilíiniishą', ha'át'íí yá íidoolííł? Áko Héíman t'áá biyi'ídi nitsíkeesgo íinízin, Háishą' aláahgo naat'áanii shiláahgo yaa bił nihoozhǫǫhgo bił nilį́į doo? 
17:6:007:0	Áko Héíman éí aláahgo naat'áanii áyidííniid, Aláahgo naat'áanii diné yaa bił nihoozhǫǫhgo bił nilíinii, 
17:6:008:0	éí háni'dii naat'á éé' nizhóníii aláahgo naat'áanii yiih nádááh nít'éé' yę́ę dazhdoojih áádóó łį́į́' nabiyéé nít'éé' yę́ę dazhdoolóós índa binaat'á ch'ah bá nídazhdoo'ááł, 
17:6:009:0	áádóó naat'á éé' nizhóníii índa łį́į́' éí aláahgo naat'áanii bikéé'dóó naat'áanii aláahgo ájít'éhígíí bílák'ee didoot'ááł, áko aláahgo naat'áanii diné yaa bił nihoozhǫǫhgo bił nilíinii éí éé' bee hadazhdidoolííł índa kintah ha'diitiingóó łį́į́' bi ł hadidoodlóosgo binááł baa hane'go ádidooniił, Aláahgo naat'áanii diné yaa bił nihoozhǫǫhgo bił nilíinii ákót'éego áhodoolííł. 
17:6:010:0	Ákohgo aláahgo naat'áanii éí Héíman áyidííniid, Nílááh tsį́įłgo, naat'á éé' nizhóníii ła' nídiinííł áádóó łį́į́' ałdó' nídiilóosgo t'áá ádínínígi át'éego ákónínééh áádóó Mórdiikai éí Jew dine'é nilį́įgo aláahgo naat'áanii bich'é'étiingi dáń'dítį́hígi dah sidáhígíí ákónílééh. Bee yáníłti'ígíí doo ła' t'áadoo bi'ohí ánílééh. 
17:6:011:0	Ákohgo Héíman éí naat'á éé' nizhóníii ła' néidiinil áádóó łį́į́' ałdó' néidiilóozgo Mórdiikai ééh jííłtį́ áádóó łį́į́' bikáá' dah bizneesdáago kintah ha'diitiingóó łį́į́' bił jinílóozgo ájíní, Aláahgo naat'áanii diné yaa bił nihoozhǫǫhgo bił nilíinii ákót'éego áhodoolííł. 
17:6:012:0	Ákohgo Mórdiikai éí aláahgo naat'áanii bich'é'étiin dáń'dítį́hígóó nídzídzá. Nidi Héíman hatsii' bik'é'ésti'go yínííł jílį́įgo tsxį́įłgo haghangóó nídzídzá. 
17:6:013:0	Áko Héíman hach'į' áhoodzaaígíí t'áá át'é hwe'asdzą́ą́ áádóó hak'is danilíinii bee bił dahojoolne'. Ákohgo hahastóí dahóyáanii áádóó hwe'asdzą́ą́ Zííresh yił ádahodííniid, Mórdiikai t'áá íídą́ą́' nik'eh didleehgo hodideeshzhiizhígíí éí Jew dine'é nilį́įgo ts'ídá doo bik'eh didíídleeł da, nidi t'áádóo nídí nik'eh hodidoodleeł. 
17:6:014:0	Áko t'ahdii baa yádajiłti'go aláahgo naat'áanii yá nidaal'a'í nidahaaskaigo Esther ída'íísįįdjį' haneetehee Héíman yił daaskai.
