17:3:001:1	Héíman éí Jew dine'é nidootsxiłgo yihodeez'ą́
17:3:001:0	Ákódahóót'įįdóó bik'ijį' aláahgo naat'áanii Ahazawííras éí Éígag dine'é Hamiidéítha biye' Héíman náás yideest'e'go índa náás joogáałgi yá'át'éehgo áhoolaa áádóó naat'áanii danilíinii hoł naakai nít'é'ígíí t'áá ałtso biląąjį' jizį́įgo áhoolaa. 
17:3:002:0	Áko aláahgo naat'áanii bá naal'a'í t'áá ałtso éí aláahgo naat'áanii bidáń'dítį́hígi nidaakaígíí hach'į' yaa áńdaat'įįhgo Héíman deidósin łeh, háálá aláahgo naat'áanii hódéét'i'ii yee haadzíí'. Nidi Mórdiikai éí doo hach'į' yaa ánát'įįh da índa doo hodósin da. 
17:3:003:0	Ákohgo aláahgo naat'áanii bá naal'a'í danilíinii aláahgo naat'áanii bidáń'dítį́hígi nidaakai nít'é'ígíí éí Mórdiikai ádeidííniid, Ha'át'éegoshą' aláahgo naat'áanii yee has'áanii hítííh? 
17:3:004:0	Áko t'áá ákwíí jį́ hach'į' yaa yádaałti', ákondi doo jíists'ą́ą' da, Mórdiikai yiniinaa át'ínígíí daats'í bá dínóodzįįł biniyé Héíman bee bił hóóne', háálá Jew dine'é nishłį́ jiníigo bee bił dahojoolne'. 
17:3:005:0	Áko Héíman éí Mórdiikai doo hach'į' yaa ánát'įįhgóó, doodaii' doo hodósingóó jiiłtsą́ągo t'áá íiyisí bik'ee háhóóchįįd. 
17:3:006:0	Nidi t'áá bí t'éiyá jidiyoołhéłígíí doo shił bíighah da doo, jiniizį́į́'. Jó, Mórdiikai bidine'é danilíinii hoł bééhózingo ádahoolaa; éí bąą Héíman éí aláahgo naat'áanii Ahazawííras bee bóhólníihgo bił nahaz'ą́ą́góó t'áá át'é Mórdiikai bidine'é kéédahat'ínígíí éí Jew dine'é t'áá ałtso ázhdoołdįįłgo bohozdeez'ą́. 
17:3:007:0	Átsé nídízídígíí, éí Níísan yiziłígíí binih Ahazawííras aláahgo naat'áanii nilį́įgo naakits'áadah náhááh góne', Héíman binááł t'áá ákwíí jį́ yá'iilt'e' Pur wolyéii yaa ninákah nít'éé', índa ts'ídá t'áá náhidizííd bik'eh naakits'áadah nídízídígíí Éídar wolyéejį' t'áá éí t'éí yaa ninákah. 
17:3:008:0	Ákohgo Héíman éí aláahgo naat'áanii Ahazawííras áyidííniid, Diné danilíinii ła' ałtso tadaoskaigo aláahgo bee nóhólníihgo bił haz'áanii t'áá át'é biyi'góó ałtso nihinéést'e'. Ał'ąą dine'é t'áá ałtso bich'į'go bibee nahaz'áanii t'áá sahdii ádaat'é, áko aláahgo naat'áanii bibee haz'áanii doo yik'eh dahół'į́į da; éí bąą t'áá dahináago baa didoot'áłígíí aláahgo naat'áanii doo bá yá'át'éeh da. 
17:3:009:0	Aláahgo naat'áanii bił yá'íít'ééh ládą́ą́', bee haz'áanii bee ak'e'ashchį́įgo ályaii bik'ehgo áhodi'dooldįįł, áko diné nidootsiłgi yaa nida'doo'ishígíí bich'į' neeznáadi mííl béésh łigaii tálent dah hidiidlohígíí nideeshłééł; éí aláahgo naat'áanii bibéeso baa áháyáanii bitah doo'nił. 
17:3:010:0	Ákohgo aláahgo naat'áanii biyoostsah bik'e'ashchį́įgo ak'i nideiyilígíí ádeidiit'ą́ągo Éígag dine'é Hamiidéítha biye' Héíman éí Jew dine'é bi'ana'í jílį́įgo yoostsah haít'ą́. 
17:3:011:0	Áko aláahgo naat'áanii éí Héíman áyidííniid, Béésh łigaii neí'nil áádóó diné danilíinii ałdó' neí'nilgo nił yá'át'éehii baa nitsíníkeesii bik'ehgo diné bich'į' ááníił doo. 
17:3:012:0	Ákohgo átsé nídízííd binih táá'ts'áadahgóó yoołkáałgo aláahgo naat'áanii yá ak'eda'ałchíhígíí bíká áhodoo'niid. Héíman yee haadzí'ígíí t'áá ałtso bik'ehgo bee ak'e'ashchį́įgo éí aláahgo naat'áanii bikéé'dóó bídahólníihii áádóó bee óhólnííh bił nahaz'ą́ą́góó t'áá át'é yindanit'áii áádóó bee óhólnííh bił nahaz'ą́ą́góó t'áá át'é dine'é t'áá ałtso bee bídahólníihii éí dabich'į' t'áá bí bizaad yee ak'eda'ałchíhígíí áádóó diné t'áá bí bizaad yee yádaałti'ii bik'ehgo aláahgo naat'áanii Ahazawííras bízhi' binahjį' bee ak'e'ashchį́įgo aláahgo naat'áanii biyoostsah bee bik'i ni'ít'ą́. 
17:3:013:0	Aláahgo naat'áanii bee bóhólnííh bił nahaz'ą́ą́góó naal'a'í danilíinii naaltsoos ádayiilaaígíí kóní, Jew dine'é t'áá ałtso nidahodi'dootsiłgo ádahodi'dooldįįł índa nabídoodįįł; ániid nidaakaii áádóó hadaastihii, asdzání áádóó áłchínída, t'áá ła'óo jį́ naakits'áadah nídízííd, éí Éídar yiziłígíí binih táá'ts'áadahgóó yoołkáałgo hwee dahólónígíí ałtso nídahidoodlah. 
17:3:014:0	Bee haz'áanii bééda'alyaago bee hach'į' hada'doodzih biniyé bee óhólnííh bił nahaz'ą́ą́góó diné danilíinii t'áá ałtso hoł dahóóne', áko éí jínígíí biniyé hasht'e'ádazdólzin doo. 
17:3:015:0	Aláahgo naat'áanii yee has'áanii binahjį' naal'a'í danilíinii haneetehee dah diikaigo Shúshan kin haal'áagi bee haz'áanii hadiilyaaígíí hatahgóó ádaalyaa. Áko aláahgo naat'áanii áádóó Héíman éí t'óó adlą́ągo siké, nidi Shúshan kin haal'áagi t'áá íiyisí nisi'íldee'.
