44:22:001:0	Shik'isóó, shahastóí danohłíinii, nihich'į' bee ák'i hadideesdzihígíí shá dadoohts'į́į́h! 
44:22:002:0	Hííbrew k'ehjí bich'į' ayázh'niiłti'go deidiizts'ą́ą'go, t'áá íiyisí dadiiłheel. Áko ájíní: 
44:22:003:0	Silíshiya kéyahdi Társas kin haal'áagi shi'dizhchį́įgo Jew dine'é nishłį́, nidi kwe'é Jerúsalem kin haal'áagi shidi'neeszą́, danihizhé'é yę́ę bibee haz'áanii t'áá yíní át'éegi Gaméíliyel bidááhdóó nibéhéstsaadgo yínashineestą́ą́', áko t'áá ánółtso díí jį́ ádanoht'éhígi át'éego Diyin God t'áá íiyisí bídin nishłį́įgo bá hinishná. 
44:22:004:0	Diné índa asdzání díí honít'i'góó dayíkáhígíí bida'ashtł'o'go awáalyaa góne' yah ahishnííł, áádóó atídaash'į́įgo naastseed nít'éé'. 
44:22:001:1	Paul oosdląądígíí yaa halne'
44:22:005:0	Díí aláahgo náá'iiłniihii áádóó diné yá aląąjį' naazíinii t'áá ałtso shá bił béédahózin. Éí Jew dine'é Damáskasdi áłah nídaadleehii bich'į' naaltsoos ádayiilaago shaa deiznil, áko áadi da'oodlánígíí bida'astł'ǫ́ǫgo Jerúsalemjį' nídeesh'ishgo atídadoolnííł biniyé Damáskasgóó dah diiyá.  
44:22:006:0	Ákót'éego yishááł nít'éé' Damáskas t'áá áhání hadziihgo, ts'ídá hanii shį́į́ ałní'ní'ą́ągo, t'áadoo hooyání yá'ąąshdę́ę́' t'áá íiyisí ayóó át'éego shinaagóó łe'díídláád. 
44:22:007:0	Áko ni'jį' íígo'go ła' shich'į' hadzoodzíi'go diséts'ą́ą́', Saul, Saul, ha'át'íishą' biniyé atíshíł'į́? 
44:22:008:0	Áko haasdzíi'go ádíshní, Bóhólníihii, háishą' ánít'į́? Áko shich'į' hanáánáádzíi'go ání, Shí Názarethdóó Jesus atíníł'ínígíí ásht'į́. 
44:22:009:0	Áko shił yikahígíí ałdó' łe'díídládígíí dayiiłtsą́ągo [nídaasdzííd], nidi shich'į' haadzí'ígíí bizaad t'áadoo deidiizts'ą́ą' da. 
44:22:010:0	Áko ádíshní, Bóhólníihii, ha'át'íishą' baa nideeshaał? Áko Bóhólníihii shich'į' haadzíí', Nídiidáahgo, Damáskasjį' dínááh, baa nidíínaałii biniyé nini'deeltínígíí t'áá ałtso áadi bee nił hodoonih. 
44:22:011:0	Áko ayóó át'éego i'díídládígíí biniinaa ch'ééh dishhaałgo, bił yishkah nít'é'ígíí shíla' dayiiłtsoodgo dashílóosgo, Damáskasgi níyá. 
44:22:012:0	Áadi ła' Ananáíyas yolyéé léi', diné hodísinii, bee haz'áanii Mózes baa deet'áanii yik'eh hół'íinii nilį́, Jew dine'é ákwe'é kéédahat'ínígíí t'áá át'é yá'át'éehgo baa ch'ídahwii'aah. 
44:22:013:0	Éí shaa níyáago shíighahgi yiizį'go shich'į' haadzíí', Paul shitsilí, ííní'į́ nánídleeh. Áko t'áá áko eesh'į́ nísísdlį́į'go hak'i níghalgo hoołtsą́. 
44:22:014:0	Áko shich'į' hadzoodzíi'go áshijiní, Danihizhé'é yę́ę biDiyin God yee íinízinii nił bééhodoozįįł, áko Ts'ídá T'áá Ákogi Ájít'éii hwiidííłtsééł, áádóó saad bee hadziidziihii diidííts'į́į́ł biniyé Diyin God nándiiłtį́, 
44:22:015:0	háálá yiniłtsáanii áádóó disíníts'ą́ą'ii, éí Diyin God bá baa nahólne'go diné t'áá ałtso bił bééhodíísįįł. 
44:22:002:1	Paul éí doo Jew dine'é danilíinii bich'į' yil'aad
44:22:016:0	Áko k'ad ha'át'íí biniyé na'áhodílziid? Nídiidáahgo tó bee ni'dólzį́įhgo Bóhólníihii bízhi' yínízhíigo Diyin God bich'į' ádił ni'iyínílzí'ígíí ałtso nąąh táídoogis, shizhdííniid. 
44:22:017:0	Ákódzaago Jerúsalemdi nánísdzáago kin bii' sohodizin bił haz'ą́ą́ góne' sodiszin, nít'éé' shił áhoodzaago 
44:22:018:0	Bóhólníihii kóshíłníigo yiiłtsą́, Doo hodíína' ánít'į́, Jerúsalemdóó tsį́įłgo ch'ínínááh, háálá shá hodíílnihígíí kwe'é doo deidínóozįįł da. 
44:22:019:0	Áko ádíshní, Bóhólníihii, t'áá kin bii' áłah nída'adleeh bił nahaz'ą́ą́góó danoodlánígíí yah ahénil áádóó nídaníłhaalígíí t'áá bí bił béédahózin. 
44:22:020:0	Áádóó Stephen naa halne'ii, bidił deezna' yę́ędą́ą́', shí ałdó' shił t'áá ákogo shíínááł, índa dahwiisxíinii bi'éé' bá dah yishjih nít'éé'. 
44:22:003:1	Paul índa Romedóó siláo binanit'a'í
44:22:021:0	Áko shich'į' haadzíi'go ání, Dah diinááh, háálá nízaadgóó doo Jew dine'é danilíinii bitahgóó nideesh'aał. 
44:22:022:0	T'óó kónízahíjį' dahółts'ą́ą́', nít'éé' hadadeeshghaazhgo ádaaní, Sołhé héii, diné ákót'éhígíí nahasdzáán bikáa'gi doo bá haz'ą́ą da! Ha'át'íísh biniyé nijigháa doo? 
44:22:023:0	Kót'éego dadilwoshgo dabi'éé' ádaa deidiyiiltł'íidgo dah nideii'adgo łeezh yáádayiighas, 
44:22:024:0	áko siláo aląąjį' binanit'a'í nilínígíí ání, Siláo bighan góne' yah oohłóosgo náhodí'nóoltsxisgo nahódídóokił, áko haniinaa dadilwoshígíí éí binahjį' bééhodoozįįł, níigo yee hooł'a'. 
44:22:025:0	Nidi akał tł'óół yee hoda'aztł'ǫ́ǫgo siláo neeznádiingo binanit'a'í nilį́įgo ákwii sizínígíí Paul ábidííniid, Da' Rome dine'é nilį́įgo doo bá nihoot'ą́ą́góósh nídínííłtsxisgo t'áá bee ná haz'ą́? 
44:22:026:0	Siláo neeznádiingo binanit'a'í éidíígíí yidiizts'ą́ą'go, siláo aląąjį' binanit'a'í yaa níyáago yił hoolne'go ání, Ha'át'íishą' baa nídinidzá? Éí diné yee' Rome dine'é nilį́į́ lá. 
44:22:027:0	Áko siláo aląąjį' binanit'a'í t'áá bí haa níyáago áháłní, Bee shił hólne', da' Rome dine'ésh nílį́? Áko, Aoo', bizhdííniid. 
44:22:028:0	Áádóó siláo aląąjį' binanit'a'í haadzíi'go ání, Rome dine'é bitahjí naaltsoos bee ádił ídlíinii t'óó ahayóí bą́ą́h ílį́įgo naháłnii'. Nít'éé' Paul ádííniid, Nidi shí t'éí t'áá Rome dine'é nishłį́įgo shi'dizhchį́. 
44:22:004:1	Jew dine'é yá naazíinii bidááhdę́ę́' Paul nihodeidlóóz
44:22:029:0	T'áá áko nidahodí'nííłkid yę́ę hats'ákai, áádóó siláo aląąjį' binanit'a'í nilíinii éí Rome dine'é ła' jílį́į́ lágo hwe'aztł'ónígíí yaa ákoniizį́į'go yiniinaa násdzííd. 
44:22:030:0	Nidi ts'ídá biniinaa Jew dine'é hak'i dahodii'ánígíí shił bééhodoozįįł nízingo, biiskání k'éé'hóó'ahgo, aláahgo nááda'iiłniihii índa diné ándaha'áii, T'áá ánółtso áłah hohłeeh, yiłníigo yee hooł'a', áko ákóyaa Paul yił ní'áazhgo áadi hadááhdóó niinílóóz.
