44:11:001:1	Peter éí da'oodlání Jerúsalemgi áłah nádleehii ádahóót'įįdii yee yił hoolne'
44:11:001:0	Ákódzaago daal'aadii índa ałk'isóó danilíinii Judíyagi kéédahat'ínígíí, doo Jew dine'é danilíinii ałdó' Diyin God bizaad yaa dadzoozlíí' ha'níigo dayíínii'. 
44:11:002:0	Áko Peter éí Jerúsalem góde nídzídzáago ąąh náhinilgishjí danilíinii haa nídaast'įįdgo, 
44:11:003:0	ádahodííniid, Diné doo bąąh nídahineeshgizhígíí baa yíníyáago bił da'ííníyą́ą́'. 
44:11:004:0	Nidi Peter ádahóót'įįdígíí hazhó'ó ałkéé' niinínilgo yaa aho'niilne'go ání: 
44:11:005:0	Jápa kin haal'áagi sodiszingo shił áhoodzaago ha'át'íí shį́į́ yádiłhił biyi'dę́ę́' níbaal ayóó áníłtélígíí nahalingo, t'áá dį́į́'dę́ę́' be'astł'ǫ́ǫgo nahííłtsooz, áko shíighahjį' hadah yilch'ąłgo yiiłtsą́. 
44:11:006:0	Hazhó'ó nísh'į́į́ nít'éé', biyi'gi nidaaldlooshii áádóó nidaaldlooshii báádahadzidii áádóó nidaa'na'ii índa nidaat'a'ii yiiłtsą́. 
44:11:007:0	Áádóó iinéé' diséts'ą́ą'go áshíłní, Nídiidááh, Peter, ła' naniłtseed áádóó ílghał. 
44:11:008:0	Nidi ádíshní, Doodayéi, Bóhólníihii, háálá t'áá bóhólníhígíí índa doo deidą́ą́góó bee nihá haz'áanii éí ła' ts'ídá t'ah doo yishą́ą da. 
44:11:009:0	Nidi yá'ąąshdę́ę́' iinéé' náádiséts'ą́ą'go ánááshidi'ní, Diyin God ha'át'íhída hasht'eyiilaii t'áadoo t'áá bóhólníhígíí át'é bidiníní. 
44:11:010:0	Díí táadi ákónádzaago índa t'áá át'é yádiłhił biyi' góne' anáálch'ą́ą́l. 
44:11:011:0	Nít'éé' t'áá áko Sesaríyadę́ę́' diné tált'éego shaa yíl'a'go hooghangi sédáhígi yíkai. 
44:11:012:0	Áko Níłch'i Diyinii áshíłní, T'áadoo síníti'í bił dah diikááh. Áko díí shik'isóó hastą́lt'éego ałdó' bił nishkaigo, Korníílyas bighangi yah iikai. 
44:11:013:0	Nít'éé' diyingo naal'a'í haghan góne' sizį́įgo jiiłtsą́ą́ láígíí bee nihił hojoolne', áko kóhodííniid lá, Jápagóó diné ła' díł'áago Sáíman, éí Peter ałdó' yolyéhígíí, áádę́ę́' yił nídookah; 
44:11:014:0	ni áádóó nighandóó danilíinii t'áá ałtso éí saad bee yisdáhidoohkahígíí yee nihił hodoolnih. 
44:11:015:0	Áko shí ayá'niiłti'go ch'óóshdą́ą́dą́ą́' Níłch'i Diyinii nihik'i dahoole' yę́ęgi át'éego bik'i dahoole'. 
44:11:016:0	Áko índa Bóhólníihii ádííniidígíí bénááshnii', John éí t'áá aaníí tó yee da'íísį́į́', nidi nihí Níłch'i Diyinii bee danihidi'doolzįh. 
44:11:017:0	Ákót'éego Bóhólníihii Jesus Christ deisiidląądgo baa da'iisiidlį́į́' yę́ędą́ą́' Níłch'i Diyinii nihaidiní'ánígi át'éego bí ałdó' t'áá ákót'éego beidiní'ą́, da' Diyin God bich'į' naasdzil dooleełgoósh bą́ą́h nishłį́? Dooda lą́ą! 
44:11:002:1	Ántiyakgi da'oodlání áłah nádleehii
44:11:018:0	Díí deidiizts'ą́ą'go t'óó dadéesxéél. Áádóó Diyin God yaa dahaniihgo ádaaní, Ákola' doo Jew dine'é danilíinii ałdó' łahgo át'éego Diyin God yich'į' tsíńdahidookosgo iináajį' yee anáhákáah dooleełii bá ashja'ósingo Diyin God beidiní'ą́ą́ lá. 
44:11:019:0	Stephen seesyį́į́dóó bik'ijį' Jesus dajoosdląądígíí biniinaa atídahodil'į́įgo bik'ee tadzooskaígíí Finííshiya áádóó Sáípras índa Ántiyakjį' dajíkááhgóó, t'áá hazhó'ó Jew dine'é t'éiyá Diyin God bizaad bee bił nidahodzisne'. 
44:11:020:0	Nidi éí bitahdóó ła' Sáíprasdę́ę́' índa Sairíiniidę́ę́' nidaakaígíí Ántiyakdi niheeskaigo Gríik dine'é ałdó' Bóhólníihii Jesus yee yił nidahasne'. 
44:11:021:0	Áko Bóhólníihii bił dahólǫ́ǫgo, t'óó ahayóí da'oosdląądgo Bóhólníihii yich'į' dah nídahidiikai. 
44:11:022:0	Jerúsalemgi da'oodlání áłah nádleehii díí dayíínii'go, Bárnabas éí Ántiyakgóó adeis'a'. 
44:11:023:0	Ákwii jiníyáago Diyin God bibee ajooba' baa ákozniizį́į'go, baa hoł hóózhǫǫd, áko, Da'iinohdlánígíí dziilí bee índa Bóhólníihii bí'ídóltą' nihíni' danilį́į le', dabijiníigo biyadahozhniiłįįd; 
44:11:024:0	Bárnabas éí diné yá'át'éehii jílį́, Níłch'i Diyinii hwii' hadeezbin índa hwe'oodlą' bee hadziil. Áko diné lą'í Bóhólníihii yihidiikai. 
44:11:025:0	Áko Bárnabas éí Saul bíkazhdínóotaał biniyé Társasgóó ajííyá. 
44:11:026:0	Bik'ízhníyáago Ántiyakjį' bił níjít'áázh. Ákódzaago ła' nááhaijį' da'oodlání áłah nádleehii bił áłah níjídleehgo diné lą'í nazneeztą́ą́'. Ántiyakgi ídahooł'aahii ts'ídá áłtsé Christian dabidoo'niid. 
44:11:027:0	Ákwe'é yoołkááł yę́ędą́ą́' Diyin God yá dahalne'ii Jerúsałemdę́ę́' Ántiyakjį' yíkai. 
44:11:028:0	Áko ła' Ágabas yolyéé léi' yiizį'go, Nahasdzáán bikáá'góó t'áá át'éé nít'éé' t'áá íiyisí dichin doołnih, níigo Níłch'i Diyinii yábiiłti'go áhodooníłígíí t'áá bítséedi yaa hoolne', áko éí Kládiyas aláahgo naat'áanii nilį́į́ nít'éé' yę́ędą́ą́' ákódzaa. 
44:11:029:0	Áko ídahojiił'aahii t'ááłá'í jinítínígo t'áá bídazhneel'ánígo hak'isóó Judíyadi kéédahat'ínígíí bíká adiijah dazniizį́į́', 
44:11:030:0	áko bee áká ajííjé'ígíí éí da'oodlání yá aląąjį' naazíinii bich'į' Bárnabas índa Saul ákǫ́ǫ́ há ayííjaa'.
