44:8:001:1	Saul éí Jesus dayoodláanii atííł'į́
44:8:001:0	Áko Stephen daaztsánígíí Saul bił t'áá áko.Éí bijį́į́dóó Jerúsalemgi da'oodlání áłah nádleehii t'áá íiyisí atídabidil'į́įgo hodeeshzhiizh. T'áá ádzíłtso Judíya índa Samériya kéyahgóó tahodi'nooskaad, t'áá hazhó'ó daal'aadii éí t'áá dooda. 
44:8:002:0	Hastói dahodísinii ła' Stephen yóó'ádayiilaago t'áá íiyisí haa yínííł danilį́įgo atínídadindleeh. 
44:8:002:1	Samériyadi hane' yá'át'éehii baa hóóne'
44:8:003:0	Nidi Saul t'áá daakinígi yah ahigháahgo, diné áádóó asdzání ch'íyiidzį́įsgo awáalyaa góne' yah ayiiníiłgo da'oodlání áłah nádleehii t'áá íiyisí atííł'į́įgo yaa naaghá.  
44:8:004:0	Áko tahodi'nooskaadígíí saad baa dahojilne'go tádazhdookai. 
44:8:005:0	Philip, éí Samériyadi kin haal'áá léi' góyaa jiníyáago, ákwe'é Christ bee bił nahodzisne'. 
44:8:006:0	Áko diné t'óó ahayóí Philip áníinii deidiizts'ą́ą'go áádóó Diyin God bibee adziilii bee béédahózinii baa nijigháhígíí dayiiłtsą́ągo, bee hadziisdzíi'ii aheełt'éego nitsídaakeesgo há deidiizts'ą́ą́'. 
44:8:007:0	Diné lą'í níłch'i danchxǫ́'ígíí biyi' dahólónígíí bii'dę́ę́' hadahidilgháashgo hadahaazhjéé'; doo bitah nidahwii'nánígíí índa nida'niłhodígíí ałdó' hadaałt'é áńdaalyaa. 
44:8:008:0	Áko ákwe'é kin haal'áhígi diné t'áá íiyisí bił dahózhǫ́. 
44:8:009:0	Nidi díí bítséedi diné léi', Sáíman joolyéego, kin haal'áagi álíleego na'adlo' bee nahojiłáago ayóó át'éego ádá yájíłti'go Samériya dine'é t'óó bił adahayóigo ádzósin nít'éé' lá. 
44:8:010:0	Áko a'oh ádaat'éédóó aláahgo ádaat'éejį' t'áá ałtso dabíists'ą́ą'go ádaaní, Díí diné éí Diyin God bibee adziilii Ayóó'át'éii yolyéhígíí át'į́į́ lá. 
44:8:011:0	Áko dabíists'ą́ą́', háálá álíleego na'adlo' yee nahałáago diné t'óó bił adahayóí áyósingo nízaadgóó nihoolzhiizh. 
44:8:012:0	Nidi Philip, éí Diyin God bee bóhólníihgo bił haz'áanii áádóó Jesus Christ bízhi' baa hojilne'go t'óó ahayóí dayoosdląąd, áádóó diné índa asdzání tó bee dabi'doolzį́į́'. 
44:8:013:0	Sáíman t'áá bí ałdó' oosdląąd, áko tó bee bi'doolzį́į'go Philip yidiiyá. Áko álílee k'ehgo ádahooníiłii índa Diyin God bibee adziilii bee béédahózinii yaa naagháago yiníł'į́įgo, bik'ee t'óó bił ahóóyóí. 
44:8:014:0	Ákohgo Jerúsalemgi daal'aadii éí Samériya dine'é Diyin God bizaad yaa dadzoozlí'ígíí dayíínii'go, ákǫ́ǫ́ Peter áádóó John adeis'a'. 
