44:7:001:1	Stephen ách'ą́ą́h yálti'
44:7:001:0	Ákohgo aláahgo náá'iiłniihii Stephen ííłní, Ádaniłnínígíísh t'áá aaníí? 
44:7:002:0	Áko Stephen haadzíi'go ání:Shik'isóó, shahastóí danohłíinii, dashíínółts'ą́ą́'. Nihizhé'é yę́ę Éíbraham, t'ah doo Héíranjį' iinééhgóó, Mesopotéímiyagi naaghá yę́ędą́ą́', Diyin God bits'ádi'nílíidii bich'į' yit'íní í'diilyaa, 
44:7:003:0	áádóó bich'į' haadzíi'go ání, Nikéyahdóó índa nik'éí bitahdóó haninééh, áádóó kéyah bii' ná'adideeshnihíjį' díínééł. 
44:7:004:0	Áko Kaldíya dine'é bikéyahdóó hajíínáago, Héírangi kénááhojit'į́į́ nít'éé'. Áádóó hazhé'é yę́ę daaztsą́ą́dóó bik'ijį', Diyin God bik'ehgo díí kéyah biyi' kéédahoht'ínígíí biih jííná, 
44:7:005:0	áádóó éí kéyahígíí bikáa'gi hóó' dooleełii doo ła' hainíláa da, hakee' bíighahgo bikáá' nizhdidool'is nidi dooda, azhą́ íídą́ą́' ha'áłchíní t'ah doo haleeh da nidi, hó áádóó ha'áłchíní náás ahoolchííłgóó daabíí' dadooleełgo haidiní'ą́. 
44:7:006:0	Díígi át'éego Diyin God haadzíí', Na'áłchíní ahoolchíłígíí náánáła' kéyahdi dé'éyóní danilį́įgo kéédahat'į́į doo, áadi kéédahat'íinii naa'nil ádahodoolííł, áádóó atídahał'į́įgo dį́įdi neeznádiin nídoohah. 
44:7:007:0	Nidi ákwe'é dine'é naa'nil ádahoolaaígíí baa nídéesht'įįł, áko éí bik'ijį' índa áádę́ę́' ch'ídahizhdoonéełgo, díí kwe'é haz'ánígi shich'į' nidahojiłáa doo, níigo Diyin God haadzíí'. 
44:7:008:0	Diyin God ąąh náhineeshgizh bee Éíbraham yił ałha'deet'ą́. Áko Éíbraham éí Áízak há yizhchį́įgo áádóó tseebíí yiską́ągo yąąh néineeshgizh, áádóó Áízak éí Jéíkab há yizhchį́, ákohgo índa danihizhé'é yę́ę éí naakits'áadah dine'é yiląąjį' naazį́į́ nít'é'ígíí Jéíkab bá niheezhchį́.  
44:7:009:0	Áko alą́ąjį' danihizhé'é yę́ę Jóseph dayoołch'į́įdgo Ííjipgóó nidahwiisnii', nidi Diyin God hoł hólǫ́ǫ́ nít'éé', 
44:7:010:0	áko bik'ee ti'hwiizhdoonihii t'áá ałtso yits'ą́ąjį' yisdáhóółtį́, índa Ííjipgi aláahgo naat'áanii nilíinii Féro yolyéhígíí bił jílį́įgo índa bee hódzáanii hwee hólǫ́ǫgo áhoolaa, áko Féro éí Ííjip kéyahgi índa bighan haz'ą́ągi t'áá ałtsoní binanit'a'í jílį́įgo áhoolaa. 
44:7:011:0	Áádóó Ííjip índa Kéínan kéyahgi t'áá át'éé nít'éé' hodííchįįd, índa ayóó át'éego ti'dahojoonííh, áko danihizhé'é yę́ę, dayíłkįįd dooleełii t'áá bá bídin hóyéé' nít'éé'. 
44:7:012:0	Nidi Jéíkab éí Ííjipgi tł'oh naadą́ą́' hólǫ́ǫgo jíínii'go danihizhé'é yę́ę éí átsé ákóyaa dajííł'aad. 
44:7:013:0	Áádóó naakidi aleeh góne' ákóyaa náájíkaigo Jóseph bił hajííjéé' nilį́įgo hach'į' ádééhooszįįd, áko Féro éí Jóseph yił háájéé' yééhoosįįd. 
44:7:014:0	Áádóó Jóseph bizhé'é Jéíkab índa bik'éí danilíinii t'áá ałtso, tsosts'idiindóó ba'aan ashdla' yilt'éego, hágo yiłníigo yíká i'ííł'a', 
