44:20:001:1	Masedóniyagóó índa Gríisgóó Paul tádííyá
44:20:001:0	Nahozhneeshghaazhígíí hasht'ehodíít'e'dóó bik'ijį' Paul éí ídahooł'aahii hágo bizhdííniid, áko biyadahozhniiłįįdgo hágoónee' bizhdííniidgo Masedóniyagóó bits'ą́ą́' dashdiiyá. 
44:20:002:0	Ákǫ́ǫ́ kédaayahígíí yikáá'góó kéédahat'íinii bitaa jiyáago, saad bee chánah ídlíinii lą'í bee bich'į' yájííłti'go Gríis hoolyéedi jiníyá. 
44:20:003:0	T'áá ákwe'é táá' hwee nídeezid, áko t'áá hahí Síriyagóó hoł dah adii'eełgo, Jew dine'é éí dahodiyiilyééł dahó'níigo Masedóniyajígo t'ą́ą́' ahéédeeshdááł jiniizį́į́'. 
44:20:004:0	Beríyadóó Sópater, Píras biye', áádóó Thesalonáíkadóó Aristárkas áádóó Siikándas, áádóó Dérbiidóó Géíyas, Timothy ałdó', índa Éízhadóó Tíkakas áádóó Trófimas Éízhajį' hoł niikai. 
44:20:005:0	Éí nihilą́ąjį' eekaigo Trówasdi nihiba' naháaztą́ą́ lá, 
44:20:002:1	Trówasdi Paul tánáádoodzá
44:20:006:0	nidi díík'ǫsh t'áágééd bááh ályaii yidą́ baa náhoolzhiizhdóó bik'ijį' Fílipaidóó nihił dah adii'éél, áádóó ashdla' yiską́ągo Trówasgi niikai, t'áá ákwii tsosts'id danihiiską́. 
44:20:007:0	Damį́įgo azlį́į́' góne' bááh ninádahiitihgo biniyé áłah siidlį́į'go Paul yiską́ągo dah diigháahgo bił ałch'į' hadadzisdzíí', áko t'áá yáłti'go tł'é'ííłníí'. 
44:20:008:0	Ná'ádeídi áłah siidlį́'í góne' bee hool'iní lą'í bee dadi'nídíín. 
44:20:009:0	Ákwe'é dinééh léi' Yútikas joolyéego tsésǫ'gi dah dzizdá, nít'éé' Paul nízaadgóó yáłti'go t'áá íiyisí bił jiniizį́į́' lá, áko bił hak'eh deesdlį́į'go bąą kin táá' ałk'i haz'ą́ą́dę́ę́' bidah i'jííłhaazhgo dadziztsą́ągo nídahozhdiiłtį́. 
44:20:010:0	Áko Paul ákóyaa hadááyá, áko yaa ádzaago yinázhchidgo ání, T'áadoo bąąh danihíni'í; t'ahdii hiná. 
44:20:011:0	Áádóó nidzíiztą́ą́ nít'é'í góde Paul hanásdzáago bááh dílzingo yidánígíí niyiizti'go dajííyą́ą́' áádóó bił ahił dahojilne'go hoos'įįd, áádóó índa hats'ą́ą́' dah diiyá. 
44:20:003:1	Trówasdóó Mailíítasjį' aní'éél
44:20:012:0	Áko dinéhígíí hináago yił anídaaskaigo t'áá íiyisí baa hoł dahóózhǫǫd. 
44:20:013:0	Nidi nihí áłtsé tsinaa'eeł bich'į' niikaigo, Ásasgóó dah adii'éél, áadi Paul iih dadiilt'eeł ílį́įgo, háálá, T'áá ni' áajį' deeshááł, níigo nihá nihoní'ą́. 
44:20:014:0	Áko Ásasdi nihéédiidzáago iih dasiilt'e', áádóó Mitilíiniidi nihił aní'éél. 
44:20:015:0	Áko áádóó nihił dah náá'dii'éelgo biiskání Káíyas binaashiijí nihił ch'íní'éél; náábiiskání Séímas hoolyéégóó nihił aní'éelgo [Trojíliyamdi danihiiską́] áádóó biiskání Mailíítas hoolyéedi nihił aní'éél. 
44:20:004:1	Paul éí Éfesasdi da'oodlání yá aląąjį' naazíinii yich'į' yáłti'
44:20:016:0	Áko Éízhagi Paul doo hwee hodidoonaałígíí biniyé, Éfesas t'óó bíighah shił ch'í'doo'oł jiniizį́į́', háálá t'áá há bohónéesdząą ládą́ą́', Péntekast aleeh bijį́į́ góne' Jerúsalemgi deeshááł jinízingo tsį́į́ł jílį́. 
44:20:017:0	Áko Mailíítasdóó Éfesasjį', da'oodlání yá aląąjį' naazíinii hágo yiłníigo yíká i'ííł'a'. 
44:20:018:0	Áko baa yíkaigo áyidííniid:Ts'ídá t'óó ch'óóshdą́ą́dą́ą́' Éízhadi níyáádóó wóshdę́ę́' t'áá áłahjį' nihił kééhasht'į́į́ nít'éé' yę́ędą́ą́' ánísht'éé nít'éé' yę́ę nihí nihił béédahózin, 
44:20:019:0	Jew dine'é binahagiz bee nashíhodi'nitaah nidi, ádaa hojoolbá'ígo nitsáhákees bee áádóó shinák'eeshto' naashnilgo, Bóhólníihii bá nisis'a', 
44:20:020:0	áádóó na'nitin nihá yá'ádaat'éehii bee nihił hodeeshnihgi t'áadoo ła'jį' ánásįįhí dahasłą́ą́góó índa danihinághangóó bee nidanihinishtin nít'éé', 
44:20:021:0	Jew dine'é índa Gríik dine'é danilíinii, Łahgo át'éego Diyin God bich'į' tsíńdahidohkeesgo bich'į' dah nídahidoohkááh áádóó nihiBóhólníihii Jesus Christ deinohdlą́ągo baa dadzíínóhłí, dishníigo bee bił dahweeshne'. 
44:20:022:0	Áko k'ad Jerúsalemjį' Níłch'i Diyinii shiyoołáałgo yishááł, jó, áadi shich'į' áhoot'ée dooleełígíí doo shił bééhózin da; 
44:20:023:0	t'áá hazhó'ó t'áá kin hadaas'áhígi, Awáalyaa índa até'él'į́ t'áá íłdįįd niba' hasht'edaat'é, shiłníigo Níłch'i Diyinii shił halne'go shił bééhózin. 
44:20:024:0	Nidi hinishnánígíí doo ílį́įgo baa nitséskees da, doo nidi shił nilį́į da, áko shá honít'i'ii bíighah adeeshłeełígíí índa Bóhólníihii Jesus naanish sheidiní'áanii ła'deeshłíłígíí baa shił hózhǫ́ǫ doo, éí t'éí laanaa nisin, éí Diyin God bee ajooba' baa hane' yá'át'éehii baa hashne'go naash'a'. 
44:20:025:0	Jó'akon, t'áá ánółtso nihitahgóó Diyin God bee bóhólníihgo bił haz'áanii baa hashne'go tádííyáhígíí doo náádashiidoołtsééłgóó k'ad shił bééhózin. 
44:20:026:0	Éí bąą díí jį́ díí ts'ídá t'áá aaníígóó ánihidishní, Diné t'áá ałtso bidił doo bee shaa náhódóot'įįł da, 
44:20:027:0	háálá Diyin God binahat'a' t'áadoo nihits'ąą nanéł'į́į' da, nidi t'áá át'é bee nihił nahosisne'. 
44:20:028:0	Ádaa ádahołyą́, áádóó dibégi át'éego Diyin God dayoodláanii t'áá ła' bizhi'ee baa ádahołyą́ągo bida'iyohsą́ą doo biniyé Níłch'i Diyinii ninihinínil, háálá Jesus t'áá bí bidił yik'é niiníláago ádá shóyoost'e'. 
44:20:029:0	Nihits'ą́ą́' dah diiyáádóó bik'ijį' mą'iitsoh báádahadzidii nidahalingo diné nihitah hidookahgo shił bééhózin, áko da'oodlání doo yaa daazid da dooleeł. 
44:20:030:0	Áádóó t'áá nihí nihitahdóó diné ła' oodlání danilíinii yóó'adeidínóo'ah biniyé saad bee yóó'i'niit'áahii yee yádaałti'go nihidadidookah. 
44:20:031:0	Éí bąą hada'ísídół'į́į́', táá' nááhaijį' t'áadoo áhodiiszéhí t'áá ákwíí jį́ índa t'áá ákwíí tł'éé', shinák'eeshto' naashnilgo t'ááłá'í nootínígo nanihinishtingo bee nihi'ayééłnii'ii béédaałniih. 
44:20:032:0	Áko k'ad Diyin God áádóó bibee ajooba' saad baa nihisįįh. Éí nihe'oodlą' dabidziilgo ánihidoolííł índa diyingo ádayiilaii t'áá ałtso bił nihíí' dadooleełii yee nihik'izhdoodliiłgo yíneel'ą́. 
44:20:033:0	Diné ła'da bibéésh łigaii, doodaii' bi'óola, doodaii' yee hadít'éii doo bidáneeshníid da. 
44:20:034:0	T'áá nihí nihił béédahózingo t'áá shí shíla' bee t'áá shí índa bił naashkaígíí ałdó' bee bik'i nidésdzá. 
44:20:035:0	T'áá ałtsojį' bee ádanoht'ée dooleełii nihá áshłaa, éí bik'ehgo naanish bidadoołkaalígíí bee ádí'oh daneel'ánígíí bíká anídaahjah doo, áádóó Bóhólníihii Jesus t'áá bí bizaad yee haadzíi'ii béédaałniih doo, T'áadoo le'é azh'níláii éí haa yílyáii bilááh át'éego baa hózhǫ́. 
44:20:036:0	Áádóó kót'éego hadzoodzíi'go, nitsizhdinígo'go t'áá ałtso bił sodazdoolzin. 
44:20:037:0	Áádóó t'áá ádzíłtso t'áá íiyisí atídazdineesdlį́į'go, Paul bizéédajizhchid áádóó dadzizts'ǫs. 
44:20:038:0	Doo náádashiidoołtséeł da, jiníigo hadzoodzí'ígíí, éí agháago yąąh dabíni'. Áko índa tsinaa'eeł si'ą́ąjį' bił dadziskai.
