49:5:001:1	Gwik'injiriighit ts'ą' Vich'eegwąhndit Zhit Gwireheendaii Gwizhrįh
49:5:001:0	Vit'eegwijyąhchy'aa vigii ǫhłįį ts'ą' gwintł'oo nakhweenjit ch'eet'igwiniindhan di'įį geh'an, vik'it dinjii hohłyaa gwizhrįh. 
49:5:002:0	Ninee'ok dinjii nąįį eenjit khit ch'eet'igwiniindhan akhwa'įį, Christ diineet'iindhan ts'ą' diineenjit niindhat gwik'it. Christ diineenjit Vit'eegwijyąhchy'aa ts'ą' gwintł'ee daachįį shoohahtsyaa geenjit, gwanzhįh chų' gwinzii vagwaatsan k'it veenjit t'iiyiinchy'aa geh'an. 
49:5:003:0	Vit'eegwijyąhchy'aa vigii ǫhłįį geh'an gwiizųų ky'aa nihłaanagǫh'aa shrǫ', ts'ą' oozhii adats'an hohtsyaa ky'aa tr'agoh'ya' shrǫ', ts'ą' gwadal lęįį zhrįh ashoo'į' nǫhkhya' shrǫ'. Jyaa dakhwa'in nakhwarahnyąą ts'ą' nakhweegarookhyaa shrǫ'. 
49:5:004:0	Datthak ts'ą' tr'agwaanduu gohkhyaa shrǫ' akwat tr'agwaanduu dloodohdlii shrǫ'. Gaa nakhwaghit haa Vit'eegwijyąhchy'aa mahsį' vohnyąą. 
49:5:005:0	Jii łyaa gaakhwandaii gwizhrįh! Dinjii juu gwiizųų ky'aa dinjii haa nigwii'ąįį akwat oozhii ts'į' nilii ts'ą' gwadal lęįį zhrįh ashoo'į' niindhan nąįį, duuyeh Christ ts'ą' Vit'eegwijyąhchy'aa haa Veegwinii'ee nihdeegijyaa ts'ą' Vit'eegwijyąhchy'aa jidii diinantł'eehee'aa nyąą kwaii duuyeh goots'an nilii. Gwadal lęįį tr'oo'i' gwiindhan t'ee nik'iteeltsį' ts'ą' kharigidiinjii haa nihk'it t'oonchy'aa. Dinjii jyaa dii'in t'ee Vit'eegwijyąhchy'aa andaa jii kwaii gwigwihił'ee t'oonchy'aa. 
49:5:006:0	Dinjii zhyaa k'ii'an ginkhii nąįį tsinteenookaii shrǫ'. Jii jidii eeginkhii kwaii t'akhwa'in ji', Vit'eegwijyąhchy'aa niighit kwaa nakhwagwahahshii t'oonchy'aa. 
49:5:007:0	Juu dinjii jyaa dii'in nąįį goovaa ǫhłį' shrǫ'. 
49:5:008:0	Gwehkįį dąį' tǫǫ gwizhit gǫhdaii geh'an, juk K'eegwaadhat vaa khaihłak ǫhłįį ts'ą' vich'eegwąhndit gwizhit nihdoojil t'oonchy'aa, ąįį geh'an vich'eegwąhndit zhit gǫhdaii ky'aa dinjii ǫhłįį. 
49:5:009:0	Jii geh'an jyaa dihnyąą t'ihnyąą, ch'eegwąhndit t'ee dinjii nąįį nihłaa goovaashroonchy'aa ąhtsii ts'ą' K'eegwaadhat k'injiighit ts'ą' k'eegwahthat, ąhtsii ts'ą' łi'didlii zhit gwagwandaii ąhtsii t'oonchy'aa. 
49:5:010:0	K'eegwaadhat jidii t'akhwa'ya' nakhoonyaa ąįį shoohohtsyaa gwik'eegǫhdaii. 
49:5:011:0	Dinjii tr'agwaanduu t'igii'in nąįį tǫǫ gwizhit gwagwandaii ąįį gook'it t'akhwa'ya' shrǫ', gaiiyiigwagwahtsii t'igii'in kwaa. Ąįį googaa ch'izhii dinjii nąįį gwiizųų t'igii'in geenjit goovaagoondak. 
49:5:012:0	Dinjii gwik'injiighit kwaa nąįį gook'eerantii kwaa dąį' gwitr'it iizųų t'agwagwah'in ąįį gooveegirinkhii geenjit gaa goo'oozhii ahłįį. 
49:5:013:0	Gaa nijin dinjii andah nats'ąą googwitr'it gwanlii googah'in dąį' jidii k'it t'inchy'aa dinjii giinlii goovaagiindaii. 
49:5:014:0	Jyąhts'ą' geh'an jii jyaa diginyąą:“Dhohchųų kwaa ts'ą' khakeekhwa'ąįį dinjii iłchįį k'it t'akhwa'in kwaa,gaa dinjii gwinzii gwandaii k'it t'akhwa'in!Ąįįts'ą' Christ vich'eegwąhndit nakhwadrii zhit haadrii t'oonchy'aa.” 
49:5:015:0	Ąįįts'ą' deekhwa'in adak'ǫǫntii, tr'agǫhjik ky'aa gwitr'it t'agoh'ya' shrǫ' gaa dinjii goonzhįį k'it t'akhwa'in. 
49:5:016:0	Nijin gwinzii t'akhwa'yaa geenjit nakhwaa nagwaanąįį ji', gwik'it t'akhwa'in. Juk gweendaa dinjii lęįį nąįį tr'agwaanduu googwitr'it gwanlii t'oonchy'aa. 
49:5:017:0	Ąįįts'ą' dinjii tr'igwinjik ky'aa gwitr'it t'agwah'in k'it t'akhwa'ya' shrǫ' gaa K'eegwaadhat deekhwa'ya' nakhoonyaa gaakhwandaii gwik'it t'akhwa'in. 
49:5:018:0	Kwanchų' jak haa iłtsąįį haa dach'anoonį' shrǫ', ch'anaroonį' dąį' gwinzii gwarandaii kwaa. Gaa Ch'anky'aa Shroodiinyąą deekhwa'ya' nakhoonyaa gwizhrįh t'akhwa'in. 
49:5:019:0	Vit'eegwijyąhchy'aa vich'ilik nihłehts'ą' ǫhłįį, vaa t'aih nihts'an hohtsyaa geenjit. K'eegwaadhat viyinjiihoh'ee geenjit nakhwadrii datthak ts'an ch'ilik ǫhłįį. 
49:5:002:1	Ch'akai' ts'ą' Goo'at Haa Deehee'yaa Goo'aii
49:5:020:0	K'eegwaadhat Jesus Christ voozhri' zhit Vit'eegwijyąhchy'aa Gwiti' jidii datthak geenjit khit mahsį' vohnyąą! 
49:5:021:0	Christ viyinjiihoh'ee geh'an, deenihłoonyąą nik'eegohdhat. 
49:5:022:0	Ch'a'at nąįį, nakhwakai' deenakhwahnyąą vik'eegohthat, K'eegwaadhat vik'eegohthat gwik'it. 
49:5:023:0	Ch'akai' nąįį t'ee daga'at eenjit khaihkwaii giinlii. Christ tr'igiinkhii zheh geenjit khaihkwaii nilii ts'ą' tr'igiinkhii zheh t'ee Christ vatthąį' t'inchy'aa ts'ą' adan t'ee neediinahshii t'inchy'aa. 
49:5:024:0	Ąįįts'ą' tr'igiinkhii zheh, Christ K'eegwaadhat k'eegwagwahthat gwik'it ch'a'at nąįį nakhwakai' deenakhwa'yaa datthak gook'eegohthat. 
49:5:025:0	Ch'akai' nąįį nakhwa'at eenjit ch'eet'igwiniindhan akhwa'įį. Christ tr'igiinkhii zheh nineedal nąįį eenjit ch'eet'igwiniindhan di'įį ts'ą' neegoohahshii geenjit gooveenjit niindhat gwik'it. 
49:5:026:0	Shroodiinyąą khohłyaa geenjit datr'igiinkhii zheh geenjit niindhat. Chųų nakhwats'an ąhtsii ts'ą' diginjik haa nakhwak'eechy'ahtryaa. 
49:5:027:0	Tr'igiinkhii zheh nineedal nąįį vindee zhit gwinzii gooyeheechy'aa ts'ą' dahaa nagooveheelyaa geenjit jyaa diizhit t'inchy'aa. Gootee gwiizųų goo'ai' shrǫ' niindhan gaa shroodiinyąą giheelyaa ts'ą' goovaa gweheezyaa zhrįh yiindhan. 
49:5:028:0	Ąįį gwik'it ch'akai' nąįį nakhwa'at eenjit ch'eet'igwiniindhan akhwa'įį, deegwahtł'oo ideet'ohthan gwik'it. Juu da'at eenjit ch'eet'igwiniindhan di'įį t'ee ideenjit ch'eet'igwiniindhan di'įį t'oonchy'aa. 
49:5:029:0	(Ch'ihłee gaa iditr'ii'ee kwaa gaa gwinzii adak'ąąntii t'oonchy'aa. Christ, ditr'igiinkhii zheh nineedal nąįį k'ąąhtii gwik'it. 
49:5:030:0	Tr'igiinkhii zheh nineedal tr'iinlii geh'an vatthąį' tr'iinlii k'it t'oonchy'aa.) 
49:5:031:0	Dęhtły'aa Choh zhit jyąhts'ą' gwadanakhwatł'oo, “Dinjii, diti' ts'ą' dahan haa ihłeeheehaa ts'ą' da'at ts'ą' nideeheehaa. Ąįįts'ą' nihłaa ch'ihłak giheelyaa.” 
49:5:032:0	Jii ginjik tee łi'didlii eech'oorahtan geegoh'it goo'aii k'it t'oonchy'aa, Christ ts'ą' tr'igiinkhii zheh haa nihłaa doonchy'aa ąįį geegihkhii t'ihnyąą. 
