49:4:001:1	Gwik'injiriighit Zhit Nats'ąą Christ Vaa Kheihłak Tr'iinlii
49:4:001:0	Jii jidii geenjit nakhwats'ą' ch'adanoihtł'oo datthak K'eegwaadhat vigwitr'it t'agwał'in geh'an zheh gwaazhrąįį dhiidii. Datthak ts'ą' gwinzii t'akhwa'yaa gwizhrįh t'akhwa'in, Vit'eegwijyąhchy'aa deekhwa'ya' nakhoonyaa gwik'it gwizhrįh t'akhwa'in. 
49:4:002:0	Deekhwa'in datthak gwizhit khazhak ǫhłįį ts'ą' nakhwanee'ok dinjii nąįį ts'ą' nakhweeshroonchy'aa. Nihłeenjit khadhoochį' kwaa ts'ą' nihłeenjit ch'eet'igwiniindhan akhwa'įį haa nijin ch'ats'ą' t'akhwa'in dąį', nihłehts'ą' zhoonts'įį kwaa. 
49:4:003:0	Ch'anky'aa Shroodiinyąą kheihłak nakhwiłtsąįį t'oonchy'aa, tsinehdan zhit nihłaa t'ahohchy'aa geenjit nakhwat'aii haa gwik'eegǫhdaii. Jyąhts'ą' gwik'iighai' ch'ihłak hohłyaa geenjit. 
49:4:004:0	Diikhwan gwik'injiriighit ts'ą' Christ zhit kheihłak tr'iinlii ts'ą' datthak Vit'eegwijyąhchy'aa vats'an Ch'anky'aa Shroodiinyąą tr'ii'įį, nijin Christ vik'injireheeghit geenjit gwiteetr'idiinaahchįį dąį', jidii nizįį kwaii diinantł'eehee'aa nyąą ąįį gwik'it t'ihee'yaa vaagwiindaii. 
49:4:005:0	Datthak ts'ą' K'eegwaadhat ch'ihłak zhrįh tr'ii'įį, gwik'injigwiighit ch'ihłak zhrįh k'injigwiighit, datthak ts'ą' nihłihk'it chųų diits'an dhidlit. 
49:4:006:0	Vit'eegwijyąhchy'aa ch'ihłak zhrįh ts'ą' nikiigwarah'ee, ąįįts'ą' datthak Diiti' nilii. Datthak ts'ą' diits'ą' K'eegwaadhat gwiizhit gwitr'it t'agwarah'in geenjit garadhan diits'an ąhtsii ts'ą' diizhit t'inchy'aa. 
49:4:007:0	Gaa Christ ąįį diitee gwagwaanchy'aa ts'ą' veenjit nihłehjuk gwitr'it gwinzii t'agwarahah'yaa diits'an gwiłtsąįį. Adan nats'ahts'ą' gwitr'it gwinzii diinantł'eegoolyaa niindhan gwik'it diiteegwaadlii. 
49:4:008:0	Dęhtły'aa Choh zhit jyaa digwinyąą,“Nijin zheezhit gwikiit'ik gwiintsii geegoo'aii gwits'eehoozhii dąį',vijyaa yiinlii kwaa gaiigooviłtsąįį ts'ą' dahaa neehaadlii.Ąįįts'ą' k'aiich'ii nizįį dijyaa nąįį ts'an iłtsąįį.” 
49:4:009:0	Dęhtły'aa Choh kat dagwanakhwatł'oo dąį', “Zheezhit gwikiit'ik gwiintsii geegoo'aii gwits'eehoozhii.” gwinyąą ąįį deegwinyąą t'igwinyąą? Ąįįt'ee ch'adąį' hee Christ dzaa nankat dhidii geh'an t'igwinyąą. 
49:4:010:0	Jii dinjii, juu zheezhit gwikiit'ik gwiintsii geegoo'aii gwats'an dzaa nankat gwats'ą' haazhii t'ee dinjii ch'ihłak t'arahnyąą. Jidii datthak łyaa gwinzii gwahahtsyaa geenjit. 
49:4:011:0	Christ t'ee dinjii nąįį gwitr'it nihłehjuk t'iichy'aa ts'an iłtsąįį ąįį haa Vit'eegwijyąhchy'aa eenjit tr'agwagwahaah'yaa geenjit. Dinjii lat Tr'ihił'e' iłtsąįį, ts'ą' dinjii lat chan Vit'eegwijyąhchy'aa Eenjit Ginkhii iłtsąįį. Dinjii lat nąįį Gwandak Nizįį eech'ǫąąhtan iłtsąįį ts'ą' gwik'injiighit nąįį k'eegahtii ts'ą' geegǫąąhtan iłtsąįį. 
49:4:012:0	Ąįįts'ą' Vit'eegwijyąhchy'aa vigii nąįį giiyeenjit gwitr'it t'agwahah'yaa geenjit shriitr'agwiin'ąįį. Ąįį tr'igiinkhii zheh t'ee Christ vigii giinlii ts'ą' ndak gwahahtth'aa geenjit t'ii'in. 
49:4:013:0	Ąįįts'ą' Vit'eegwijyąhchy'aa Vidinji' vik'injiriighit ts'ą' vaagwiindaii haa kheihłak tr'iheelyaa ts'ą' Christ deegoo'ya' diinoonyąą gwik'it t'igwii'in haa diigwik'injigwiighit heent'aii. 
49:4:014:0	Izhit ji' duuyeh tr'iinin k'it t'igwinchy'aa, dinjii oots'it haa geech'ǫąąhtan ts'ą' tsindeediinahkaii nąįį duuyeh gwiizųų t'igwii'in diigahtsii. Duuyeh chan tr'ihchoo chųų kat ahtr'aii choo haa tit neeteeyahahchik yahtsii k'it t'igwii'in. 
49:4:015:0	Vit'eegwijyąhchy'aa łi'didlii haa veegwarookhyaa, ts'ą' nihłeenjit ch'eet'igwiniindhan haa t'agǫǫ'ya', jyąhts'ą' Christ, tr'igiinkhii zheh gwats'ą' k'eegwaadhat gwandaa vaa kheihłak tr'iheelyaa ts'ą' t'aih tr'ihee'yaa. 
49:4:002:1	Christ K'iighai' Ch'ijuk Dinjii Tr'iinlii
49:4:016:0	Ch'at haa tth'an nihłoontą' k'it Christ juu yik'injiighit nąįį nihłaa nilii. Datthak gwinzii nihłaa gwitr'it t'agwagwah'in ji', gahąąhshii ts'ą' chan giheent'aii. Jyąhts'ą' t'ee tr'igiinkhii zheh t'oonchy'aa. Tr'igiinkhii zheh nineedal nąįį nihłeenjit ch'eet'igwiniindhan gii'įį zhit nihłaa tr'agwagwah'in ji', tr'igiinkhii zheh, Christ vat'aii haa ndak łagwahaatth'aa. 
49:4:017:0	Jii it'ee K'eegwaadhat voozhri' zhit deekhwa'in kwaii akhagoonyąą nakhwaihnyąą t'ihnyąą. Zhyaa k'ii'an ninjich'agadhat haa dinjii Vit'eegwijyąhchy'aa haandaii kwaa k'it gǫhdaii kwaa. 
49:4:018:0	Tr'agwaanduu ninjich'agadhat geh'an Vit'eegwijyąhchy'aa gwinzii haagiindaii kwaa. Gookii tth'an dach'at geh'an Vit'eegwijyąhchy'aa vats'an gwandaii k'eejit chan gii'įį kwaa ts'ą' Vit'eegwijyąhchy'aa vatąįį chan gaagiindaii kwaa. 
49:4:019:0	Nijin tr'agwaanduu t'igii'in dąį' geenjit łyaa oozhii giinlii kwaa, ts'ą' tr'agwaanduu zhrįh t'asho'ya' giindhan, ts'ą' nihłehjuk datthak dinjii nąįį ts'ą' tr'agwaanduu googwitr'it gwanlii ts'ą' jyaa gwizhrįh digii'in. 
49:4:020:0	Nakhwan ąįį nijin Christ vaakhwandaii dhoodlit dąį', jyąhts'ą' t'akhwa'yaa t'anakhwaihnyąą kwaa. 
49:4:021:0	Datthak ts'ą' veegohtth'ak ts'ą' Gwandak Nizįį zhit łi'didlii haa Jesus eenakhwaroołtin gaashandaii. 
49:4:022:0	Neehohshii gwehkįį dąį' nats'ąą dinjii ǫhłįį chy'aa akhagoonyąą nakhwagahnyąą. Tr'agwaanduu tr'agwaroh'ya' zhrįh nohthan ąįį tsinteenakhwahkaii ts'ą' jyaa gwizhrįh dagoo'ya' nohthan, ąįį tr'agwaanduu gwigwitr'it zhrįh t'akhwa'in nakhwahtsii. 
49:4:023:0	Nats'ąą ninjich'ǫhthat ts'ą' nakhwadrii zhit doonchy'aa datthak t'ee Vit'eegwijyąhchy'aa ch'ijuk neenakhwahahtsyaa gwizhrįh. 
49:4:024:0	Vit'eegwijyąhchy'aa ch'ijuk dinjii ǫhłįį nakhwiłtsąįį ąįį vik'it t'ohchy'aa, gwizhrįh. Ąįįts'ą' datthak ts'ą' ch'ijuk dinjii ǫhłįį zhit K'eegwaadhat k'eegohthat ts'ą' tr'agwaanduu nakhwagwitr'it neegooli' shrǫ'! 
49:4:025:0	Chan oiints'it kwaa, gwik'injiighit nąįį łi'didlii haa nihts'ą' goohohkhyaa gwizhrįh, datthak ts'ą' Christ zhit ch'ihłak tr'iinlii geh'an. 
49:4:026:0	Nakhwak'įį gwanlii ji' gwiizhit tr'agwaanduu nakhwagwitr'it gooli' shrǫ'. Drin ch'ihłak gwizhit datthak nakhwak'įį gooli' shrǫ'. 
49:4:027:0	Jyąhts'ą' t'ee Ch'anky'aa Tr'aanduu tsinteenakhwahahkaii gwits'į' gwak'ǫǫhtii t'oonchy'aa. 
49:4:028:0	Dinjii ch'an'įį chan neech'iheen'įį kwaa gwizhrįh, gaa gwitr'it t'agwahah'yaa k'iighai' dak'ahaantyaa. Jyąhts'ą' gwik'iighai' laraa tr'ooniindhat di'įį haa dinjii neeshraahchy'aa nąįį ts'iheenjyaa geenjit. 
49:4:029:0	Ginjik iizųų haa nihts'ą' gookhyaa shrǫ', gaa ginjik vaahoht'aii gahohtsyaa haa nihts'ą' gohkhii, gwit'eegwaahchy'aa dąį', juu noołk'įį nąįį goots'ahohjyaa geenjit ginjik nizįį haa goots'ą' gohkhii. 
49:4:030:0	Ąįįts'ą' Vit'eegwijyąhchy'aa vats'an Ch'anky'aa Shroodiinyąą tr'igwidii ohtsyaa shrǫ'! Vit'eegwijyąhchy'aa vats'an ǫhłįį gaahahkhwandaii geenjit jii Ch'anky'aa Shroodiinyąą nakhwats'an iłtsąįį t'inchy'aa, ts'ą' dahthee Vit'eegwijyąhchy'aa tr'agwaanduu gwats'an tr'ineenakhwaheelyaa gwats'ą' datthak, ąįį Ch'anky'aa Shroodiinyąą nakhwaa heelyaa t'inchy'aa. 
49:4:031:0	Jii kwaii datthak jyaa dahohchy'aa kwaa gwizhrįh, ch'izhii dinjii nąįį zhyaa atr'oiin'ee shrǫ', goots'ą' zhyaants'įį ts'ą' nik'įį gooli' shrǫ'. Dinjii nąįį zhyaa ch'ats'ą' t'oiinyą' shrǫ'. Dinjii nąįį ts'ą' gwiizųų goiinkhyaa shrǫ', ts'ą' goots'ą' nakhwagwitr'it oozųų shrǫ'. 
49:4:032:0	Gaa nihłehts'ą' gwinzii nakhwagwitr'it gwanlii ts'ą' nihłeeshrohthan, juu nats'ą' gwiizųų t'ii'in chan gooveenjit ganoondee, Christ zhit Vit'eegwijyąhchy'aa nakhwatr'agwaanduu nakhweenjit oo'an gwahaadlii gwik'it.
