27:8:001:1	Daniel éí deenásts'aa' áádóó tł'ízíchǫǫh bił ádzaa
27:8:001:0	Aláahgo naat'áanii Belsházar nant'áago táá' náhááh góne' shí , Daniel yinishyéii , átsé shił áhoodzaa áádóó shił ánááhoodzaa .
27:8:002:0	Áko shił áhoodzaago yiiłtsánígíí éí Íílam nahós'a'gi Shúshan kin haal'áagi naashá nisin ; shił áhoodzaago Yúlaii tooh nílínígíí bibąąhgi sézį́ nisin .
27:8:003:0	Ákohgo háighal nít'éé' , shoo , tooh nílínígíí bibąąhgóó deenásts'aa' léi' sizį́įgo yiiłtsą́ . Bidee' naakigo t'áá ałch'ijí nineezgo yaa'á ; t'ááłá'í éí atisgo yaa'á , nidi éí akée'di haníísą́ .
27:8:004:0	Deenásts'aa' éí e'e'aahjigo áádóó náhookǫsjigo índa shádi'áahjigo éí adigohgo yiiłtsą́ ; doo ła'da bidááhdę́ę́' dzoozįįh át'ée da , índa bibee adziilii bits'ą́ąjį' doo yisdájóya' át'ée da , nidi t'áá bí bíniik'ehgo ááníiłgo ts'ídá ayóó át'éii í'diilyaa .
27:8:005:0	Áko baa nitsískees nít'éé' , shoo , tł'ízíchǫǫh léi' e'e'aahdę́ę'go doo ni' nihideeltaałgóó nahashkáá' hooleeł ; t'áadoo bahat'aadí bináta'dę́ę́' bidee' deez'á .
27:8:006:0	Tooh bibąąhgi deenásts'aa' bidee' naakigo yiiłtsánígíí yaa yílwod áádóó t'óó báhádzidgo ádá hoolchįįdgo yich'į' dah diilwod .
27:8:007:0	Éí deenásts'aa' áhą́díjį' yich'į' yilwołgo yiiłtsą́ , áko t'áá íiyisí yee nahodeeshzhǫ'go atíyiilaa , áádóó bidee' naakiígíí k'íiníti'go deenásts'aa' doo bidziil da silį́į'go nihíideestsxisgo yik'i naayá , áádóó yee bidziilii bits'ą́ąjį' t'áadoo deenásts'aa' yisdáyółtéłí da .
27:8:008:0	Ákohgo tł'ízíchǫǫh ayóó át'éii í'diilyaa , nidi bidziil silį́į'go bidee' ayóó át'éii k'é'éltǫ'go íí'á yę́ęgi adee' dį́į'go t'áadoo bahat'aadí hadaneesą́ągo t'áá dį́į́'góó yádiłhił bich'į'go dadeez'á silį́į́' .
27:8:009:0	Áko bidee' hadaaz'áii ła' bąąhdóó adee' áłts'íísígo háá'á silį́į́' ; éí shádi'áahjigo áádóó ha'a'aahjigo índa kéyah hózhóní bich'į'go t'óó báhádzidgo nídiidzá .
27:8:010:0	Áko yá'ąąshdi dah da'ínéehii áádóó sǫ' yíl'áii yich'į' ayóó át'éego nídiidzá índa sǫ' yíl'á ła' ni'jį' nayííghazgo yik'i naayá .
27:8:011:0	T'áá bí ayóó át'éego ádaa ha'niihgo dah da'ínéehii binanit'a'í nilíinii yił aheełt'éego í'diilyaa , áko t'áá áłahíjį' didlidgo nááhániihii yits'áhwiistł'ííd , áádóó hodiyingo haz'áanii yiyííłchxǫ' .
27:8:012:0	Áko ádił nida'dziilzíihgo biniinaa dah da'ínéehii áádóó t'áá áłahjį' didlidgo nááhániihii baa deet'ą́ , áko t'áá aaníinii ni'jį' ayiyííłhan , áádóó t'áá bí nízinígi áát'įįdgo yee náás deeyá .
27:8:013:0	Ákohgo diyinii ła' yáłti'go diséts'ą́ą́' , nít'éé' diyinii náánáła' éí yáłti'ii yich'į' haadzíi'go ání , Haash nízáagi t'áá áłahjį' didlidgo nááhániihii ił ádzaa yę́ę éí ádił ni'iidzííh bik'e'íyée'ii ííł'į́įgo diyingo haz'ánígíí áádóó dah da'ínéehii yik'i nidooldah ?
27:8:014:0	Áko áshidííniid , Naakidi mííldóó ba'aan táadi neeznádiin i'íí'ą́ąjį' áádóó hoos'įįdjį' índa hodiyingo haz'áanii hasht'ééhodoolnííł .
27:8:015:0	Ákohgo shí , Daniel yinishyéii , díí shił áhoodzaaígíí ááhyiłníinii bik'idi'deeshtį́į́ł biniyé baa nitsískees nít'éé' , shoo , ła' diné nahojílingo shidááhdę́ę́' dziizį'go yit'íní ízh'diilyaa .
27:8:016:0	Áko Yúlaii tooh nílį́ bikáá'dóó diné biinéé' diséts'ą́ą'go ání , Géíbriyel nílíinii , díí diné bił ádzaaígíí ááhyiłníinii bee bił hólne' .
27:8:017:0	Ákohgo sízínígi shit'áahjį' niníyá , áko shaa níyáago t'áá íiyisí shił yéé' hazlį́į'go ni'jį' tsé'yaa néshjoolgo áshidííniid , Diné nílíinii , nił ádzaaígíí éí nihoolzhíshígíí át'éego bik'i'diitįįh .
27:8:018:0	Áko t'ah shich'į' yáłti'go t'áá íiyisí bił niizį́į'go naa'i'ííłhaazh lá , nidi shideelchidgo náshiisį' .
27:8:019:0	Áko áshíłní , Shoo , nihoníyáadi ayóó áhodooníłígíí bee nił hodeesh'nihgo nił bééhonisįįh , háálá nihodoogáłígíí ts'ídá baa hodoolzhish .
27:8:020:0	Deenásts'aa' bidee' naakigo yiniłtsáanii éí Míídiya índa Pérzha kéyahdóó aláahgo naat'áanii át'į́ .
27:8:021:0	Áko tł'ízíchǫǫh éí Gríis kéyahdóó aláahgo naat'áanii nilíinii át'į́ , áko bináta'dę́ę́' bidee' ayóó át'éii éí alą́ąjį' aláahgo naat'áanii nilíinii át'į́ .
27:8:022:0	Áko adee' k'é'éltǫ'ígíí bitsásk'ehgi dį́į'go hanáádaneesánígíí éí dine'é bitahdóó dį́į'go bee óhólníihii nááhodoodleeł nidi , t'áá bí bidziilígíí bee éí dooda .
27:8:023:0	Áko bee óhólníihgo bił haz'áanii bił nihoolzhíishdi ádił nida'iisííh bílátah dahashzhiizhgo aláahgo naat'áanii hashké nídzinii índa t'áá naaki nahwiiláii nídidoodááł .
27:8:024:0	Áko bibee adziilii ayóó át'ée doo , nidi t'áá bí bidziilígíí bee éí dooda áádóó t'óó ayóogo ó'oołdįįł doo índa yaa naagháii yee náás yigáałgo dine'é ayóó ádaat'éii índa diyin dine'é íidoołdįįł .
27:8:025:0	Áko anó'áahgo yee łé'áchxáazhgo náás doogááł ; t'áá bí íinízinígi ayóogo ádaa ha'niihgo nitsíkees doo , hodéezyéelgo kééhojit'íinii t'áadoo kót'é'ílíní t'óó ahojíyóí áhodoołdįįłgo naat'áanii danilíinii yinanit'a'í yich'į' nídidoodááł , nidi t'áadoo bi'deelníhí atíbidi'doolnííł .
27:8:026:0	I'íí'ą́ągo índa abínígo nił áhóót'įįdígíí éí t'áá aaníígóó bee nił hóóne' , nidi nił áhoodzaaígíí naníł'in , háálá t'óó ahayóí néidoolkááł .
27:8:027:0	Áko shí , Daniel yinishyéii , shitah doo hóóts'íídgóó t'óó sétį́įgo díkwíí shį́į́ yiską́ , ákohgo nídiish'na'go aláahgo naat'áanii hánídíshnish , nidi shił áhoodzaaígíí t'áá íiyisí bik'ee t'óó shił ahayóigo t'áadoo ła' yik'i'diitání da .
