27:11:001:1	Náhookǫsjí aláahgo naat'áanii áádóó shádi'ááhjí aláahgo naat'áanii
27:11:001:0	Áko Daráíyas éí Míídiya diné nilíinii nant'áago ła' náhááh góne' shí bíká adeeshwołgo bidziil ádeeshłíiłgo bá désdzil .
27:11:002:0	Áko k'ad t'áá aaníinii nił ííshją́ą́ áshłééh . Pérzhagi aláahgo naat'áanii táa'go náhididookahgo dį́į́' góne' ła' nínáádidoodáałgo éí ła'ígíí t'áá ałtso yiláahgo adoot'įį ł , jó'akon , áko ast'įįdígíí yee ayóó ábóodziil dooleeł ; éí t'áá ałtso yił hahodínóołchałgo Gríik dine'é bee bóhólníihgo bił haz'áanii yik'ijį' dooleeł .
27:11:003:0	Ákohgo náánáła' aláahgo naat'áanii ayóó át'éii nídidoodáałgo t'áá bí íinízinii bik'ehgo ayóó át'é óhólnííh yinant'áa dooleeł .
27:11:004:0	Áko éí bee óhólníihgo bił haz'áanii nihidoodlałgo dį́į́'góó bits'ą́ą́' ałts'ádoodzoh ; bits'ą́ą́dóó dayíchíihii éí doo baa didoot'áał da , doo nidi bidziilgo hoo'áałii bik'ehgo hoot'áał da doo , háálá bighadidoot'áałgo náánáła' baa dadidoot'ááł .
27:11:005:0	Ákohgo shádi'ááhjí aláahgo naat'áanii nilínígíí ts'ídá bidziil doo , nidi díí yił naat'áanii danilínígíí ła' haláahgo bidziil dooleełgo bee hóhólníihii haghaididoot'áałgo yee ádíhólníihgo ts'ídá ayóó át'éego bidziilgo hoo'áał doo .
27:11:006:0	Áádóó díkwíí shį́į́ nínáánááhaigo ahididoo'ash ; shádi'ááhdę́ę́' naat'áanii bitsi' éí náhookǫsjí aláahgo naat'áanii yił aha'didoot'ááł yiniyé yaa doogááł , nidi yee bidziilii doo t'áá yótą' da doo ; hó ałdó' doo bízhníłdzil da doo , nidi éí yoołkáałdi há nidaal'a'í áádóó hazhé'é índa bidziilgo áhósinii ninádabidi'doot'ááł .
27:11:007:0	Nidi t'áá hó hak'éí ła' hazhé'é bitsásk'ehgi néidoodzįįł ; éí siláo yił doonéełgo náhookǫsjí aláahgo naat'áanii bidziilgo bił haz'áanii ałdó' yich'į' nídidoodááł áádóó yił ana'ahidoolchíiłgo yik'eh didoodleeł .
27:11:008:0	Áádóó éí bi'eda'alyaii , bidiyin dabidi'níinii áádóó łeets'aa' índa béésh łigaii łeets'aa' da'ílíinii ałdó' Ííjip kéyahgóó adeidoojih áádóó náhookǫsjí aláahgo naat'áanii nilínígíí t'áadoo yeinít'íní díkwíí shį́į́ nídoohah .
27:11:009:0	Ákohgo shádi'ááhjí aláahgo naat'áanii nilínígíí bee bóhólníihgo bił haz'áanii yaatįįh doobah áádóó t'áá bí bikéyahgóó nídoo'nééł .
27:11:010:0	Áko biye'ké danilíinii anaa' dahodoohłeeł biniyé siláo t'óó ahayóí áłah ádeidoolííł ; ła' éí t'áá yilááh neel'ą́ągo náás oo'ishgo yinéełgo bidziilgo bił haz'áanii yik'ijį' anaa' ánááhodoodlííł .
27:11:011:0	Ákohgo shádi'ááhjí aláahgo naat'áanii ayóó át'éego báhodoochįįłgo náhookǫsjí aláahgo naat'áanii yich'į' anaa' áhodoolííł ; áko díí siláo ayóó ánéelą́ą́' áłah íidoolííł , nidi díí siláo ayóó ánéelą́'ígíí shádi'ááhjí aláahgo naat'áanii bílák'e didoot'ááł .
27:11:012:0	Díí siláo ayóó ánéelą́'ígíí dah yidínííłkaadgo ayóó át'éego ádaa dzódlíigo tsídookos índa diné t'óó ahayóidi míilgo neidoołtsxił ; ákondi doo t'áá ak'eshdidlį́į da doo .
27:11:013:0	Háálá náhookǫsjí aláahgo naat'áanii nídiidzáago ayóó át'éego siláo átséédą́ą́' ánéelą́ą́' yę́ę t'ah biláhídi ánéelą́ą'go áłah íidoolííł , áko díkwíí shį́į́ nínáánááhaigo siláo ayóó ánéelą́ą'go áádóó bee ana'al'íinii t'óó ahayóí yił nídidoozééł .
