27:4:001:1	Nébukadnézzar diigis silį́į́'
27:4:001:0	Aláahgo naat'áanii Nébukadnézzar éí diné danilíinii áádóó ał'ąą dine'é danilíinii índa bizaad ał'ąą ádaat'éego yee yádaałti'ii t'áá ałtso éí nahasdzáán bikáá'góó t'áá át'é kéédahat'íinii yich'į' hane' áyiilaago ání , Bee ach'į' hózhóonii nihá k'ee'ąą yilzhish le' .
27:4:002:0	Bee éédahózinii áádóó t'óó bik'eda'ayóii éí Diyin God Aláahgo Ayóó'át'éii shich'į' ííshją́ą́ áyiilaii bee nihił hashne'go shił yá'át'ééh .
27:4:003:0	Dooládó' bibee éédahózinii ayóó ádaat'ée da áádóó t'óó bik'eda'ayóii ayóó ábóodziil da ; aláahgo bee bóhólníihgo bił haz'áanii éí hool'áágóó bee bóhólníihgo bił haz'ą́ ; éí oochííłdę́ę́' áádóó oochííłgóó hólǫ́ .
27:4:004:0	Shí Nébukadnézzar shikingi shik'i hata'go hanáshyį́į́h áádóó bee shíhólníihgo haz'ą́ągi hasih hoo'a' .
27:4:005:0	Baa neiseełígíí bik'ee shił hóóyéé' ; shitsásk'eh bikáá' sétį́įgo shił áhoodzaago bik'ee shił yéé' hazlį́į́' .
27:4:006:0	Baa neisíyeelígíí ááhyiłníinii shił bééhodoozįįł biniyé Bábilandóó diné dahóyáanii shidááhdę́ę́' nihidoot'ishgo bee haasdzíí' .
27:4:007:0	Álílee k'ehgo ída'ooł'įįłii áádóó déest'į́į́' ádeił'íinii áádóó Kaldíya dine'é danilíinii índa álíleego yee nidahałáii nidahaaskaigo baa neisíyeelii bee bił dahweeshne' , nidi ááhyiłníinii yee shił dahodoolnihgo doo yídaneel'ą́ą da .
27:4:008:0	Akée'di índa Daniel shił yah ííyá ; éí shidiyin nilíinii bik'ehgo Bélteshazar bee hwííníshí ; hó t'éí diyin danilíinii biníłch'i hwii' hólǫ́ , áko baa neisíyeelígíí bee hoł hweeshne'go ádíshní ,
27:4:009:0	Bélteshazar yinílyéii , álílee k'ehgo ída'ooł'įįłii binanit'a'í nílį́ , háálá diyin danilíinii biníłch'i nii' hólǫ́ǫgo shił bééhózin , áko ts'ídá t'áadoo ná nantł'aaígóó , baa neiseełgo shił ádzaago yiiłtsánígíí áádóó ááhyiłníinii bee shił hólne' .
27:4:010:0	Tsásk'eh bikáá' sétį́įgo neiseełgo díí yiiłtsą́ , jó'akon , kéyah ałníi'gi tsin sikaad áádóó ayóó áníłnéezgo íí'á .
27:4:011:0	Tsinígíí nooséełgo bidziil silį́į́' , áko bílátahdóó yá biní'á áádóó t'áá nahasdzáán bił nidahonees'ą́ąjį' t'áadoo bahat'aadí yit'į́ .
27:4:012:0	Bit'ąą' éí nizhóní áádóó bineest'ą' t'óó ahayóí bąąh hazlį́į́' índa t'áá ałtso deiyą́ą doogo bá át'é ; dá'ák'ehgóó naaldlooshii nidaakaígíí yiyaa chaha'oh anídaakah índa tsídii wódahgo nidaat'a'ii tsin bits'ádaoz'a' bąąh bit'oh áńdayiil'įįh áádóó bitsį' dahólóonii t'áá ałtso éí tsin yąąhdóó da'ííyą́ą́' nisin .
27:4:013:0	Tsásk'eh bikáá' sétį́įgo shił áhoodzaago díí yiiłtsą́ , jó'akon , ha'ídées'į́'í léi' diyingo naal'a'í nilį́įgo yá'ąąshdę́ę́' hadahóóle'go yiiłtsą́ nisin .
27:4:014:0	Áko éí ayóó íits'a'go hadoolghaazhgo ání , Tsin sikaadii k'íníłne' índa bits' ádaoz'a' bąąh híłne' ; bit'ąą' bąąh hidíłchxįįh áádóó bineest'ą' yóó'ahíłkaad ; háni'dii naaldlooshii éí tsin sikaadii yiyaa hahajeeh áádóó tsin bits'ádaoz'a' bąąhdóó tsídii nídahidiit'ááh , ní .
27:4:015:0	Nidi tsehégod t'éí behétł'óól t'áá bił łeeh yí'áago ánílééh ; béésh nitł'izii índa béésh łitsoii bináz'áago éí haz'ą́ągi tł'oh dootł'izhgo yíl'áa le' , áko bíni' wót'ááhdę́ę́' dahtoo' nínábíłtłoh le' áádóó naaldlooshii bił da'ałchozh le' .
27:4:016:0	Bíni'dii diné bíni' łahgo óone'go naaldlooshii bíni' bił aheełt'éego tsosts'id binídoohah .
27:4:017:0	Hada'ídées'į́'í yee hadaasdzíi'ii binahjį' áádóó diyingo nidaal'a'í bizaad binahjį' yee nihoní'ą́ , áko diné dahináanii díí bił béédahózin doo : Aláahgo Ayóó'át'éii éí diné yee bóhólníihgo bił nahaz'ą́ą́góó yinant'á áádóó t'áá bí íinízinígíí bik'ehgo t'áá háiida yeididoo'ááł índa ts'ídá diné a'ohgo át'éii yeidiyii'aah .
27:4:018:0	Shí , Nébukadnézzar aláahgo naat'áanii nishłíinii , díí baa neiseełgo yiiłtsą́ . Bélteshazar yinílyéii , díí ááhyiłníinii bee shił ch'íhoní'aah , háálá aláahgo bee shíhólníihgo shił haz' ą́ą́dóó diné dahóyáanii t'áá ałtso díí ááhyiłnínígíí yee shił dahodoolnihgo doo yídaneel'ą́ą da . Nidi ni t'éí bíninil'ą́ , háálá diyin danilíinii biníłch'i nii' hólǫ́ .
