27:9:001:1	Daniel éí bidine'é yá sodilzin
27:9:001:0	Ahazawííras biye' Daráíyas naat'áanii nilį́įgo ła' náhááh góne' , hó éí Míídiya dine'é jílį́įgo Kaldíya dine'é bee óhólnííh bił haz'ą́ągi aláahgo naat'áanii áho'diilyaa .
27:9:002:0	Nazhnit'áago átsé náhááh góne' éí lą'í nááhaídą́ą́' naaltsoos bii' Bóhólníihii áníinii bik'ehgo shí Daniel éí Diyin God yá halne'ii Jeremáíyah yee ak'e'ashchíinii bik'i'diitą́ągo tsosts'idiin nááhaijį' Jerúsalem nabí'ásdee' dooleeł , níini' .
27:9:003:0	Áko hodíínísingo doo ashą́ą́góó tł'oh yishbizhii shi'ée'go łeeshch'iih ák'éhésgazgo sodiszingo ná'ooshkąąhgo Bóhólníihii Diyin God bich'į' déé'į́į́' .
27:9:004:0	Bóhólníihii shiDiyin God bich'į' sodiszingo ádił ni'iidzííh bee ádaa hashne'go ádíshní , Bóhólníihii ayóó át'éii Diyin God t'óó báhádzidii nílíinii , ayóó'ádanó'níinii índa nibee haz'áanii yik'eh dahół'íinii baa a'ááh nínízingo bee aha'deet'áanii yi'ósinii nílíinii ,
27:9:005:0	nibik'ehgo iináanii índa bee aa nánít'íinii bits' ániikaigo ádił nida'iyeelzíí' áádóó ts'ídá doo ákǫ́ǫ́ ádeiit'įįd da índa ts'ídá doo yá'áshónígi ádeidzaago ádił nidaniiltee' .
27:9:006:0	Aláahgo nihinanit'a'í áádóó nihinaat'áanii danilį́į́ nít'éé' yę́ę áádóó nihizhé'é danilíinii índa kéyahgóó diné kéédahat'į́į́ nít'éé' yę́ę t'áá ałtso éí ninaal'a'í ná dahalne'ii nízhi' yee nihił dahoolne' nidi , doo deísíníilts'ą́ą' da nít'éé' .
27:9:007:0	Bóhólníihii nílíinii , t'áá ákogi át'éii nílį́ . Nidi nihí Judíya kéyahdóó diné daniidlíinii índa Jerúsalem kin haal'áádóó diné daniidlíinii áádóó Ízrel dine'é daniidlíinii t'áá áníiltso áhą́dí áádóó nízaadi kédaayahgóó tanihinííníłkaadii díí jį́ t'óó nihaa yádahóósįįdgo nihił dahalą́ , háálá nik'ijį' dasiidlį́į'go ádił da'siilziih .
27:9:008:0	Bóhólníihii nílíinii , aláahgo nihinanit'a'í áádóó nihinaat'áanii danilíinii índa nihizhé'é dajílíinii hoł t'óó nihaa yádahasingo nihił dahalą́ , háálá bąąhági ádeiidzaago hoł nich'į' ádił da'siilziih .
27:9:009:0	Bóhólníihii nihiDiyin God aa a'ááh nízin índa ádił ni'iidzííh ats'éidii'aah , nidi bich'į' ádił nidasiiltee' ,
27:9:010:0	áádóó Bóhólníihii nihiDiyin God biinéé' doo bik'eh dahosiil'įįd da ; bá naal'a'í éí bá dahalne'ii danilíinii binahjį' bibee haz'áanii nihaidiní'áanii doo bik'ehgo daniikai da .
