27:12:001:1	Nihoníyáajį' ahodoolzhish
27:12:001:0	Éí hoolzhishdi Máíkel diyingo naal'a'í nilíinii éí naat'áanii ayóó át'éii nidine'é yaa áhályáanii yik'i dooldził . Áko ach'į' nahwii'náago hodidoolzhish ; éí hádą́ą'da ał'ąą dine'é hazlį́į́'dóó t'ah doo ákóhánéeh da nít'éé' , éí hoolzhishdi nidine'é t'ááłá'í nítínígo naaltsoos biyi' bízhi' ádaalyaii yisdádoo'nił .
27:12:002:0	Áko t'óó ahayóí nahasdzáán yii' da'ałhoshígíí nááhididoojahgo ła' hool'áágóó iiná baa dahididoot'ááł , nidi ła' t'óó ádaa yádadínóodzįįłgo hool'áágóó ti'hoo'níihjį' nááhididoojah .
27:12:003:0	Áko dahóyáanii éí yádiłhiłdę́ę́' da'diníłdíinii nahalingo da'diníłdíin doo áádóó t'óó ahayóí t'áá ákogi át'éejį' nináda'iizh'eezhii sǫ'ígi ádaat'éego bits'áda'deezlíidgo hool'áágóó ahóyéel'áa doo .
27:12:004:0	Nidi ni , Daniel yinílyéii , nihoolzhíishjį' saad ałch'į' ánánídléehgo naaltsoos bidadi'níłjeeh . T'óó ahayóí tsį́įłgo naaldeeh doo áádóó ił ééhózin k'ee'ąą yilzhish dooleeł .
27:12:005:0	Ákohgo shí , Daniel yinishyéii , déé'į́į́' nít'éé' , shoo , nizhdilt'éego dzizį́įgo yiiłtsą́ ; ła' kojí tábąąhgi sizį́ índa ła'ígíí éí łahjí tábąąhgi náánásdzį́ .
27:12:006:0	Áko diné ła' éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éego tooh yik'igi dah sizínígíí ííłní , T'óó ayóogo k'ad ádahooníiłii hahgoshą' índa bił nihodoogáá ł ?
27:12:007:0	Diné éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii yee hadít'éego tooh yikáá' dah sizíinii bíla' t'áá ałch'ijí yee yá'ąąshgóó dah didiilnii' . Áko hool'áágóó hináago ahool'áii yee ádee hadoodzíi'go ła' hahodoolzhish áádóó naakidóó náá'áłníi'jį' anááhodoolzhish . Áko diné dadiyinii bibee adziilii dayiisdláadgo ałtso bił nihoníyáa doo .
27:12:008:0	Áko diséts'ą́ą' nidi , t'áadoo bik'idiitą́ą da , ákohgo ádíshní , ShiBóhólníihii nílíinii , díishą' hait'éego nihodoogááł ?
27:12:009:0	Nidi áshidííniid , Daniel yinílyéii , nílááh yínááł . Shą́ą́' , nihodoogáałjį' saad ałch'į' ánályaago bidá'deeljée' ni' .
27:12:010:0	T'óó ahayóí éí biyi' chin bąąh ádingo áádóó daalgaigo ádahodi'doolníiłgo hodahodínóotah , nidi ts'ídá doo yá'ádaashóonii éí ts'ídá doo yá'áshónígi ádaat'į́į dooleeł áádóó ts'ídá doo yá'ádaashóonii doo ak'idadi'dootį́įł da , nidi dahóyáanii éí ááhyiłníinii yik'idadi'dootį́į́ł .
27:12:011:0	Áko t'áá áłahíjį' didlidgo nááhániihii nahjį' nideet'ą́ą́dóó índa doo yildingóó ni'iiłchǫǫhii dayiisį'dóó bik'ijį' t'ááłáhídi mííldóó ba'aan naakidi neeznádiindóó ba'aan náhást'édiin yidoołkááł .
27:12:012:0	Áko t'ááłáhídi mííldóó ba'aan táadi neeznádiindóó ba'aan tádiindóó ba'aan ashdla' yidoołkáałjį' yiba' ádaat'éii éí bik'idahojidlíi doo .
27:12:013:0	Nidi nihoníyáajį' nílááh yínááł , háánílyį́įh doo ; níí' dooleełii nihoolzhiizhdi naa didoot'ááł .
