27:3:001:1	Déédíljah góne' kǫ' bit'ááh dahalchxíí'dóó hwéédadeeshchid
27:3:001:0	Aláahgo naat'áanii Nébukadnézzar éí Bábilan nahós'a'gi honíteel Dúra hoolyéegi óola e'elyaago áyiilaa ; náhást'édiin ké silá áníłnééz índa náhást'éí ké silá áníldíilgo áyiilaa .
27:3:002:0	Ákohgo aláahgo naat'áanii Nébukadnézzar éí aláahgo bídahólníihii , aląąjį' naazíinii , naat'áanii danilíinii , ándahwii'aahii , yódí yaa ádahalyáanii , kót'éego daaníinii , yah ada'iiníiłii índa Bábilan kéyahdóó bídahólníihii nináneel'ą́ąjį' ts'ídá t'áá ałtso nidahidookahgo e'elyaii áyiilaago yiyiisį'ígíí doolzįhgi yaa áłah dooleeł biniyé bich'į' hane' ájiilaa .
27:3:003:0	Ákohgo aláahgo bídahólníihii , aląąjį' naazíinii , naat'áanii danilíinii , ándahwii'aahii , yódí yaa ádahalyáanii , kót'éego daaníinii , yah ada'iiníiłii índa bídahólníihii nináneel'ą́ąjį' ts'ídá t'áá ałtso nidahaaskaigo aláahgo naat'áanii Nébukadnézzar e'elyaii áyiilaago yiyiisį'ígíí doolzįh biniyé hoo'a'ígíí yidááhdę́ę́' deizį' .
27:3:004:0	Baa nida'dooldahii yaa ch'ídahwii'aahii yéego ádadííniid , Nihí diné danohłíinii , ał'ąą dine'é danohłíinii áádóó nihizaad ał'ąą át'éego bee yádaałti'ii , díí bee nihá ha'oodzíí' :
27:3:005:0	Béésh dilní bee í'dílzoołí áádóó tsin bee í'dílzoołí áádóó tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii áádóó tsin tł'óół bąąh daaltązhígíí áádóó tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii áádóó azis bii' ná'álzołii bee nida'a'néii índa sįįł ał'ąą íits'a'go bee hááhodidla'ii t'áá ałtso dasidoots'ą́ą'go nitsidadidoohgohgo aláahgo naat'áanii Nébukadnézzar éí óola e'elyaii yiyiisį'ígíí bich'į' nidahodoohłaał .
27:3:006:0	Áko t'áá háiida e'elyaii doo bich'į' nitsizhdinígo'ígíí índa doo bich'į' nahojisáhígíí éí déédíljah góne' kǫ' bit'ááh dahalchxíí' góne' ahodi'yooltł'ił .
27:3:007:0	Éí bąą diné t'áá ałtso éí béésh dilní bee í'dílzoołí , tsin bee í'dílzoołí , tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii , tsin tł'óół bąąh daaltązhígíí , tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii índa sįįł ał'ąą íits'a'ii t'áá ałtso bee hahodíídláadgo deidiizts'ą́ą'go diné t'áá ałtso , ał'ąą dine'é índa bizaad ał'ąą át'éego yee yádaałti'ii t'áá ałtso yaa ádaadzaago óola e'elyaii aláahgo naat'áanii Nébukadnézzar yiyiisį'ígíí yich'į' nidahasá .
27:3:008:0	Éí bąą t'áá ákwii hoolzhishgo Kaldíya dine'é ła' daaskaigo Jew dine'é yik'ídahaz'ah .
27:3:009:0	Áko aláahgo naat'áanii Nébukadnézzar ádeidííniid , Aláahgo naat'áanii nílíinii , hool'áágóó hinínáa le' .
27:3:010:0	Aláahgo naat'áanii nílíinii , bee haz'áanii íinilaii bik'ehgo béésh dilní bee í'dílzoołí , tsin bee í'dílzoołí , tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii , tsin tł'óół bąąh daaltązhígíí , tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii , azis bii' ná'álzołii bee nida'a'néii índa sįįł ał'ąą íits'a'go t'áá ałtso bee hááhodidla'go éí diné t'áá ałtso deidiits'į́įhgo nitsidadidoogohgo óola e'elyaii yich'į' nidahodoołaał .
