33:7:001:1	Ízrel dine'é ádił nida'iilzíihgo yee ádadoolchxǫ'
33:7:001:0	Dooládó' hojooba' ádíshníi da! Shį́įgo neest'áanii áádóó ch'il na'atł'o'ii bineest'ą' ahandayiijáahii nahonishłin; aneest'ą' doodį́įłii, doodaii' shii' sizíinii átsé neest'áanii yídin nilíinii ádin. 
33:7:002:0	Nahasdzáán bikáa'gi Diyin God k'ehgo hináanii ásdįįd, áko diné bitahgi t'áá ákogi át'éii doo ła' naagháa da; t'áá ałtso diné diyoolyéełgo bidił bits'ádoonah biniyé ahéeshjéé'; t'ááłá'í nítínígo bik'is danilíinii yee deidoolohii t'éí hádaat'į́. 
33:7:003:0	Bíla' t'áá ałch'ijí yee t'áá bizááká t'áá íiyisí doo yá'áshóonii ádayoolííł; naat'áanii áádóó ánihwii'aahii éí nályééh yókeed índa diné ayóó át'éii t'áá íiyisí doo yá'áshǫ́ǫ́góó nitsíkeesii yee yáłti', áko doo yá'áshǫ́ǫ́góó nidaha'áii ahiih dayiiníiłgo yistł'ǫ́ nahalingo yaa naakai łeh. 
33:7:004:0	Atisdi yá'át'ééh nahalinii éí ch'il adishahiigi át'é; aláahgo t'áá ákogi át'é nahalinii éí ch'il hooshahiigi át'é; nihá hada'asíidii baa hodoolzhishii yee nihił dahoolne' yę́ę éí atínihi'di'doolníłígíí beiníłką́. 
33:7:005:0	Nik'is t'áadoo ba'íínílíhí áádóó hánígo nik'is nidi t'áadoo baa dzíínílíhí; asdzání bił nániiłkáahii bits'ąą nizaad baa áhólyą́. 
33:7:002:1	Bóhólníihii éí adinídíín áádóó yisdá'doonił yił níyá
33:7:006:0	Háálá aye' nilíinii bizhé'é doo bił nilį́į da áádóó ach'é'é nilíinii bimá yik'ijį' nilį́ índa azháá'áád nilíinii éí yizháá'áád nilíinii yik'ijį' nilį́; diné éí t'áá bighandóó bi'ana'í hólǫ́.  
33:7:007:0	Éí bąą shí éí Bóhólníihii bich'į'go dídéesh'įįł; Diyin God yisdáshiiłteehii biba' ánísht'ée doo; shiDiyin God éí shididoots'į́į́ł. 
33:7:008:0	T'áadoo shik'ijį' nílį́įgo nił nihoozhǫǫhí, shi'ana'í nílíinii, naa'íígo'go náádideesh'nah; chahałheeł sédáago Bóhólníihii shá adiníłdíin doo. 
33:7:009:0	Bóhólníihii bich'į' ádił asisziihígíí biniinaa yee hashkéii yee atíshiilaajį' ha'ííníshníi doo, índa shá na'ak'íyáłti'go bee ádąąh dahosist'ánígíí shá yá'át'ééh neheleeh; adinídíinjį' shił nidoo'ashgo bit'áá ákogi át'éii yideestsééł. 
33:7:010:0	Áko shi'ana'í jílíinii éí yizdoołtsééł áádóó, Háadish Bóhólníihii niDiyin God? shizhdííniidii t'áá íiyisí yázdínóozįįł. Shoo, hodínéesh'įįł; k' ad kintahgóó atiingi hashtł'ish bik'i na'aldeehígi át'éego hak'i ni'dooldah. 
33:7:011:0	Nihikin hadaas'á binaa ahééda'astł'inii éí bijį́ áńdoolnííł índa hoodzooígíí bilááh nídoodzoh. 
33:7:012:0	Éí bijį́ Asíriya kéyahdóó Ííjip kéyahgi kin hadaas'áajį' índa Ííjip kéyahdóó Yofréítiiz tooh nílį́įjį', tónteel dahiníyį́į́dóó náánáła' náádahiníyį́įjį' índa dził daní'áádóó náánáła' dził náádaní'áajį' áádę́ę́' nihaa hidookah. 
33:7:003:1	Bóhólníihii éí Ízrel dine'é yaa a'ááh niizį́į́'
33:7:013:0	Áádóó kéyahgi kéédahat'íinii yaa nidaakaígíí biniinaa kéyah doo siláhí da hodooleeł. 
33:7:014:0	Nidine'é níí' danilínígíí, éí Dził Kármel bąąh tsin yíl'á ałníi'gi kééhat'íinii dibé nahalingo nitsihał binahjį' bi'iyísą́ągo íínísin; bíni'dii ałk'idą́ą́' át'éé nít'éé' yę́ęgi át'éego Béíshan kéyahgi índa Gíliyad kéyahgi da'ayą́ą doo. 
33:7:015:0	Ííjip kéyahdę́ę́' ch'ínóhnééh yę́ędą́ą́' t'áá í'iishłaii bik'ehgo álílee ayóó ádaat'éii hach'į' yit'íní ádeeshłííł. 
33:7:016:0	Ał'ąą dine'é da'iidoołtséełgo dabidziilii yaa yádadínóozįįł, áko bizéé' dádadidoolnih, índa bijééhkał dadooleeł. 
33:7:017:0	Tł'iish nahalingo łeezh deildeeł doo, nihokáá'dóó ch'osh nahalingo bił nahaz'ą́ą́dóó ch'ídaha'néeh doo; Bóhólníihii nihiDiyin God yéédaaldzid doo índa nik'ee bił daayée' doo. 
33:7:018:0	Háísh Diyin God nílínígi át'é? Éí bíí' danilíinii yidziihígíí doo ákwii ádáát'įįdii yá yóó'iidii'aah índa bee haz'áanii dayiitíihii yitis hidighááh. Doo hool'áágóó báháchį' da dooleeł, háálá aa a'ááh hasin bił hóshǫ́. 
33:7:019:0	Nihaa a'ááh náádínóodzįįł; doo ákwii ádeiit'įįdii yik'eh didoodleeł áádóó yee ádił nida'iisíi'ii tónteel ditą́ą́ góyaa ahidííłtł'ił. 
33:7:020:0	Ałk'idą́ą́' danihizhé'é yę́ę bich'į' ádee hadíínídzíi'ii bik'ehgo Éíbraham baa a'ááh díníízįįł, índa Jéíkab a'ahódlí baa didíí'ááł.
