60:5:001:1	Diyin God bidibé baa ádahołyą́
60:5:001:0	Áko nihitahgi nihá aląąjį' naazíinii biyahoniishłįįh, háálá shí ałdó' aląąjį' á sézį́. Shinááł Christ ti'hooznii'go éí baa hashne', áádóó bee bi'oh adidilyéehii yit'íní dooleełígíí bił ałts'ą́ą́' anisk'iiz doo. Ánihidishní, 
60:5:002:0	Diyin God bidibé nihainínilígíí bídanoohdlį́įgo baa ádahołyą́ą doo. T'áadoo bínihidi'nilkadí, nidi Diyin God íinízinii bik'ehgo bik'i dadíínóh'į́į́'. Bik'é shich'į' azláago t'éiyá t'áadoo danohsiní, nidi bídanoohdlį́įgo baa nidaahkai. 
60:5:003:0	Diyin God nihainínilígíí t'áadoo nihinaalte' ádeínóhsiní, nidi binááł yá'át'éehgo ádaahníiłgo nihida'ał'į́į doo. 
60:5:004:0	Áko aląąjį' dibé yaa áhályáanii yit'íní í'diilyaago naat'á ch'ah ayóó ánóolninii doo łahgo ánáo'nééh át'éii nihitaidoonih. 
60:5:005:0	T'áá ákót'éego, nihí ániid nidaahkaígíí, náás daazlį́'ígíí nihá aląąjį' naazíinii bídahwíínółnííh. T'áá ánółtso a'ohgo ádaa nitsídaahkeesgo ahá chodaoh'į́, háálá Diyin God éí ádaa daha'niihii yik'ijį' nilį́, nidi bibee ajooba' éí a'ohgo ádaa nitsídaakeesii yee yaa jooba'.  
60:5:006:0	Áko a'ohgo ádaa nitsídaahkeesgo Diyin God bíla' ayóó ábóodziilii biyaa oohkááh, áko t'áá bí íiniizį́į'go t'éiyá aghádahidoozį́įgo ánihidoolííł. 
60:5:007:0	Nihida'diił'áhígíí t'áá ałtso baa dahidoh'aah, háálá nihíneedlį́įgo nihaa áhályą́. 
60:5:008:0	Hazhó'ó nitsídaahkees áádóó hada'ísídół'į́į́'. Náshdóítsoh bitsiijį' ditł'ooígíí biyi' nahodi'ni'go yidoolghałii hainitáago naagháhígi át'éego níłch'i bida'iiníziinii binanit'a'í, nihi'ana'í nilíinii, nantá. 
60:5:009:0	Nihe'oodlą' bee éí bich'į' haleebee nidaałdzil. Jó, nahasdzáán bikáa'gi t'áá níłtéél nít'éé' Christ bee nihik'isóó danilíinii t'áá ákót'éego ti'dahooníihgo nihił béédahózin. 
60:5:010:0	Nidi t'óó kónígháníjį' ti'dahwiisoonii'dóó bik'ijį' Diyin God, t'áá ałtsojį' jooba'ii, hool'áágóó yee ayóó át'éii bił ałts'ą́ą́' da'nołk'iiz doo biniyé Christ Jesus yee nihíká ádííniid, t'áá bí t'áá ákogi ádanoht'éego, áádóó danołdzilgo, áádóó danihidziilgo índa nihee dahółdzilgo ánihidoolííł. 
60:5:002:1	K'é ha'níigo bee naaltsoos niilt'i'ii
60:5:011:0	Éí hool'áágóó ahóyéel'áágóó bóhólníih doo. T'áá ákót'ée doo. 
60:5:012:0	Silvéínas chooz'įįdgo áłts'íísígo nihich'į' ak'e'shéłchį́. Éí ba'ahódlíigo Christ bee nihik'is nilį́įgo shił bééhózin. Díí bee nihich'į' ak'e'shéłchínígíí t'áá aaníí Diyin God bibee ajooba' bee nihił hashne'go bee chánah danohłį́įgo ádanihishłe'. Áko yéego bee nidasoozį́. 
60:5:013:0	Bábilandi da'oodlání áłah nádleehii, nihił bitah haasdláa'ii, k'é danihiłní, shiye' Mark ałdó' ákónihiłní. 
60:5:014:0	Ahíláłk'e dadołniihgo k'é béé'ahohjih.T'áá ánółtso Christ bíí' danohłínígíí nihich'į' hózhǫ́ náhásdlį́į́'. T'áá ákót'ée doo.
