53:3:001:1	Nihá sodadołzin
53:3:001:0	Áádóó nihik'isóó , nihá sodadołzin , t'áá nihitahgóó ádzaaígi át'éego Bóhólníihii bizaad náás yit'ihgo baa ha'niih doo .
53:3:002:0	Áádóó diné doo yá'ádaashóonii índa bąąhági ádaat'éii bits'ąą nanihidi'nil doogo nihá sodadołzin . Háálá diné doo t'áá ałtso bi'oodlą' hólǫ́ǫ da .
53:3:003:0	Nidi Bóhólníihii ba'ahódlí . Áko nihidahoníłdzilgo ánihidoolííł , áádóó bąąhági át'éii nilíinii yits'ąą nihaa áhályą́ą doo .
53:3:004:0	Índa bee nihich'į' hadahaadzíi'ii baa nidaahkai áádóó baa nidadoohkahgi Bóhólníihii bee nihaa dadzííníidlí .
53:3:002:1	Nidajilnishgo yá'át'ééh
53:3:005:0	Bóhólníihii nihá hoo'į́įgo Diyin God bibee ayóó'ó'ó'ni' índa Christ bibee ha'ahóníinii nihijéí bii' baa ákodanohsingo ádanihóle' .
53:3:006:0	Nihik'isóó , nihiBóhólníihii Jesus Christ bízhi' bee ádanihidii'ní , Nihik'is t'áá háiida ák'eh dahal'ínígíí índa bee nidanihineetą́ą'ii doo yik'ehgo át'éhígíí t'áadoo bił naałdeehí .
53:3:007:0	Nihida'oł'į́į dooleełgi t'áá nihí nihił béédahózin . Aají nihitahgi nideiikai yę́ędą́ą́' doo ák'eh dahoniil'į́į da nít'éé' .
53:3:008:0	Diné ła' t'áá jíík'e t'áadoo bits'ą́ą́' da'iidą́ą' da , nidi doo nihaa naanish hasin da doo biniyé jį́įgo áádóó tł'ée'go nidi yéego nidashiilnish .
53:3:009:0	Nihaa ádahołyą́ą doogo bee nihá haz'ą́ą nidi , t'áadoo nihídadí'níikeed da , nidi nihinááł ádeiit'įįdígíí bida'oł'į́į doo biniyé ákódeiidzaa .
53:3:010:0	Háálá t'ahdii nihitahgi nideiikai yę́ędą́ą́' , díí bee nihich'į' hadahaadzíí' : diné ła'da doo t'áá k'ad naashnishgóogo éí t'áadoo ajiyání doo .
53:3:011:0	Háálá nihitahgi ła' ádadahodeeláago dahiná , t'óó aseezį́ ádeił'į́įgo baa nidahontł'ago , doo nidi nidaalnishgóó baa dahodiits'a' .
53:3:012:0	Áko diné ákódaat'éhígíí , Hazhó'ó nidaałnishgo ák'inidadohkai , dabidii'níigo Bóhólníihii Jesus Christ bá yádeiilti'go bich'į' deiil'áago baa nídeiikąąh .
53:3:013:0	Áádóó nihik'isóó danohłíinii , yá'át'éehgo ádaahníiłii t'áadoo ádadadoohłáhí .
53:3:014:0	Díí naaltsoos biyi'dóó bee nihił dahwiilne'ígíí éí diné ła'da doo yik'eh hół'į́į́góogo éí baa ákodanohsin , áádóó éí dinéhígíí t'áadoo bił ahéédadoohkahí doo , áko ádaa yádínóodzįįł .
53:3:003:1	K'é ha'níigo bee naaltsoos niilt'i'ii
53:3:015:0	Ákondi ana'í nilį́įgo éí t'áadoo baa nitsídaahkeesí , nidi ak'is nilį́įgo baa nitsídaahkeesgo hazhó'ó nidanohtin .
53:3:016:0	K'ad Bóhólníihii , bee ach'į' hózhǫ́ náhásdlį́į'ii , t'áá áłahjį' áádóó t'áá ałtsojį' bee ach'į' hózhóonii nihaididoo'ááł . T'áá ánółtso Bóhólníihii nihił hólǫ́ǫ doo .
53:3:017:0	Shí Paul , k'é nihidishníigo t'áá shí ak'e'ashchí . Díí shí shinaaltsoosígíí t'áá ałtso kót'éego bikáá' daasdzoh ; éigi át'éego é'ésh'į́ .
53:3:018:0	T'áá ánółtso nihiBóhólníihii Jesus Christ bibee ajooba' nihił hólǫ́ǫ doo . [ T'áá ákót'ée doo . ]
