53:2:001:1	Diné bąąhági át'éii yee sizíinii
53:2:001:0	K'ad nihik'isóó danohłíinii , nihiBóhólníihii Jesus Christ náánádáhígíí áádóó bidááhdóó áłah diidleełígíí beiníit'į́įgo díí baa nídanihiikąąh :
53:2:002:0	Bóhólníihii beidoołkáłígíí t'áá íídą́ą́' nádzá , daaníigo t'áá ádzaagóó nihił dahalne'ígíí t'áadoo bik'ee ch'į́į́góó nitsídanohkeesí , t'áadoo bik'ee ádił nídahodoołchiłí . Jó , diné ła' , Shich'į' yit'íní ályaa , doodaii' , Kót'éego shił hóóne' , doodaii' , Paul áádóó yił naakaígíí naaltsoos ádayiilaii kóní , nínígíí éí t'áadoo t'áá aaníí ání danohsiní .
53:2:003:0	Diné ła' ts'ídá t'ááká ha'át'éegoda nihi'dóleeh lágo . Háálá diné bi'oodlą' yits'ą́ąjį' dínóojahígíí átsé ádoonííł , áádóó diné bąąhági át'éii yee sizíinii , í'doodįįłjį' bá nihoot'áanii yit'íní ádoolnííł , áadi índa Bóhólníihii nídoodáłígíí beidoołkááł .
53:2:004:0	Diné bąąhági át'éii yee sizíinii , éí diyin dabidi'níinii áádóó bich'į' nidahadláii t'áá ałtso yik'ijį' nilį́įgo yiláahgo na'ádiiltée doo . Áko , Diyin God nishłį́ , níigo , ádaa halne'go Diyin God bikin bii' sohodizin yii' dah dínóodaał !
53:2:005:0	Shą́ą́' , t'ah nihitah naashá yę́ędą́ą́' díí bee nihił dahweeshne' ni' , t'áásh béédaałniih ?
53:2:006:0	Bąąhági át'éii yee sizíinii yit'íní ádoolníiłgo baa hodoolzhishígíí biná k'ad t'ą́ą́' ábósinii nihił béédahózin .
53:2:007:0	Bee nahaz'áanii doo yik'ehgo át'éii doo bééhózin da yę́ę t'áá íídą́ą́' naalnish , k'ad t'ą́ą́' ábósinii t'áá nahjį' kóbi'diilyaaíjį' yilnish doo .
53:2:008:0	Áko índa bąąhági át'éii yee sizíinii yit'íní ádoolnííł , áádóó Bóhólníihii Jesus nádzáago bits'ádi'nílíidii yee yit'íní ályaago , bizéé'dę́ę́' biyol yee bąąhági át'éii yee sizíinii yidiyoołhéełgo íidoołdįįł .
53:2:009:0	Bąąhági át'éii yee sizíinii éí níłch'i bida'iiníziinii binanit'a'í Séítan wolyéii bibee adziilii yee ááníiłgo doogáałgo , wooch'íidgo bee éédahózinii índa bik'ee t'óó ił adahayóigo ádahooníiłii t'áá ałtso áyoolíił doo .
53:2:010:0	Áádóó ádabidi'dooldįįłígíí doo t'áá ákogi át'éii ałtah ádaat'éii yee yina'alo'go doogááł . Háálá t'áá aaníinii ayóó'ádayó'níi dooleeł yę́ę doo deiniizį́į́'góó biniinaa doo yisdáhidookah da .
53:2:011:0	Éí biniinaa Diyin God éí wooch'ííd dajoodlą́ą doo biniyé na'nitin yóó'ahodoo'ishii hach'į' yi'iiłnííh .
53:2:002:1	Yisdánihidi'doo'nił biniyé nídanihi'diisdláá'
53:2:012:0	Áko t'áá aaníinii t'áadoo dadzoosdląądii , nidi doo ákwii ádaat'éii bąą hoł dahózhóonii hool'áágóó há nidahodiyoot'ááł .
53:2:013:0	Nidi nihik'isóó danohłíinii , Bóhólníihii ayóó'ánihó'níinii , t'áá áłahjį' Diyin God bich'į' nihaa ahééh daniidzin dooleełgo yá'át'ééh . Háálá Níłch'i Diyinii bee diyingo ádanihidi'doolnííł índa t'áá aaníinii deidoohdląąłgo bee yisdáhidoohkah biniyé hodeeyáádę́ę́' Diyin God nánihiizláá' .
53:2:014:0	Éidí biniyé hane' yá'át'éehii bee nihił dahwiilne'ígíí yee nihíká ádííniid , áko nihiBóhólníihii Jesus Christ yee ayóó át'éii ałts'ą́ą́' da'nołk'iiz doo .
53:2:015:0	Áko nihik'isóó danohłíinii , bee nihich'į' hadahaadzí'ígíí índa nihich'į' naaltsoos ádeiilyaaígíí bee nidanihineetą́'ígíí yéego deínóhtą'go bee nisoozį́ .
53:2:016:0	NihiBóhólníihii Jesus Christ t'áá bí , índa Diyin God nihiTaa' ayóó'ánihó'níigo nihaa jooba'go bee ha'ahóní doo nídínéeshii índa ił chohoo'į́ niłdzilii nihaidiní'áanii ,
53:2:017:0	éí nihijéí hada'ólníigo áyóle' , áádóó yá'át'ééh ádaahníiłgo índa saad yá'ádaat'éehii bee yádaałti'go nihidahoníłdzilgo ádanihóle' .
