	language	language_tag	local_name	iso_639_3	iso_639_1	family/subfamily/genus	version_index	version_tag	version	default_version
0	English	eng	English	eng	en	Indo-European//Germanic	12	ASV	American Standard Version	No
1	English	eng	English	eng	en	Indo-European//Germanic	1588	AMP	Amplified Bible	No
2	English	eng	English	eng	en	Indo-European//Germanic	8	AMPC	Amplified Bible, Classic Edition	No
3	English	eng	English	eng	en	Indo-European//Germanic	42	CPDV	Catholic Public Domain Version	No
4	English	eng	English	eng	en	Indo-European//Germanic	1713	CSB	Christian Standard Bible	No
5	English	eng	English	eng	en	Indo-European//Germanic	37	CEB	Common English Bible	No
6	English	eng	English	eng	en	Indo-European//Germanic	1275	CJB	Complete Jewish Bible	No
7	English	eng	English	eng	en	Indo-European//Germanic	392	CEV	Contemporary English Version	No
8	English	eng	English	eng	en	Indo-European//Germanic	294	CEVUK	Contemporary English Version (Anglicised) 2012	No
9	English	eng	English	eng	en	Indo-European//Germanic	303	CEVDCI	Contemporary English Version Interconfessional Edition	No
10	English	eng	English	eng	en	Indo-European//Germanic	478	DARBY	Darby's Translation 1890	No
11	English	eng	English	eng	en	Indo-European//Germanic	55	DRC1752	Douay-Rheims Challoner Revision 1752	No
12	English	eng	English	eng	en	Indo-European//Germanic	2079	EASY	EasyEnglish Bible 2018	No
13	English	eng	English	eng	en	Indo-European//Germanic	59	ESV	English Standard Version 2016	Yes
14	English	eng	English	eng	en	Indo-European//Germanic	1932	FBVNTPSALMS	Free Bible Version New Testament with Psalms	No
15	English	eng	English	eng	en	Indo-European//Germanic	70	GW	GOD'S WORD Translation	No
16	English	eng	English	eng	en	Indo-European//Germanic	2163	GNV	Geneva Bible	No
17	English	eng	English	eng	en	Indo-European//Germanic	296	GNB	Good News Bible	No
18	English	eng	English	eng	en	Indo-European//Germanic	416	GNBDC	Good News Bible (Anglicised)	No
19	English	eng	English	eng	en	Indo-European//Germanic	431	GNBDK	Good News Bible (Catholic edition in Septuagint order)	No
20	English	eng	English	eng	en	Indo-European//Germanic	68	GNT	Good News Translation	No
21	English	eng	English	eng	en	Indo-European//Germanic	69	GNTD	Good News Translation (US Version)	No
22	English	eng	English	eng	en	Indo-European//Germanic	72	HCSB	Holman Christian Standard Bible	No
23	English	eng	English	eng	en	Indo-European//Germanic	406	ERV	Holy Bible: Easy-to-Read Version	No
24	English	eng	English	eng	en	Indo-European//Germanic	1359	ICB	International Children’s Bible	No
25	English	eng	English	eng	en	Indo-European//Germanic	1077	JUB	Jubilee Bible	No
26	English	eng	English	eng	en	Indo-European//Germanic	1	KJV	King James Version	No
27	English	eng	English	eng	en	Indo-European//Germanic	546	KJVA	King James Version with Apocrypha, American Edition	No
28	English	eng	English	eng	en	Indo-European//Germanic	547	KJVA	King James Version, American Edition	No
29	English	eng	English	eng	en	Indo-European//Germanic	90	LEB	Lexham English Bible	No
30	English	eng	English	eng	en	Indo-European//Germanic	1365	MP1650	Metrical Psalms 1650	No
31	English	eng	English	eng	en	Indo-European//Germanic	1171	MEV	Modern English Version	No
32	English	eng	English	eng	en	Indo-European//Germanic	463	NABRE	New American Bible, revised edition	No
33	English	eng	English	eng	en	Indo-European//Germanic	100	NASB	New American Standard Bible	No
34	English	eng	English	eng	en	Indo-European//Germanic	105	NCV	New Century Version	No
35	English	eng	English	eng	en	Indo-European//Germanic	107	NET	New English Translation	No
36	English	eng	English	eng	en	Indo-European//Germanic	110	NIRV	New International Reader’s Version	No
37	English	eng	English	eng	en	Indo-European//Germanic	111	NIV	New International Version	No
38	English	eng	English	eng	en	Indo-European//Germanic	113	NIVUK	New International Version (Anglicised)	No
39	English	eng	English	eng	en	Indo-European//Germanic	114	NKJV	New King James Version	No
40	English	eng	English	eng	en	Indo-European//Germanic	116	NLT	New Living Translation	No
41	English	eng	English	eng	en	Indo-European//Germanic	2135	NMV	New Messianic Version Bible	No
42	English	eng	English	eng	en	Indo-European//Germanic	2016	NRSV	New Revised Standard Version	No
43	English	eng	English	eng	en	Indo-European//Germanic	2015	NRSV-CI	New Revised Standard Version Catholic Interconfessional	No
44	English	eng	English	eng	en	Indo-European//Germanic	130	OJB	Orthodox Jewish Bible	No
45	English	eng	English	eng	en	Indo-European//Germanic	2020	RSV	Revised Standard Version	No
46	English	eng	English	eng	en	Indo-European//Germanic	2017	RSV-CI	Revised Standard Version	No
47	English	eng	English	eng	en	Indo-European//Germanic	477	RV1885	Revised Version 1885	No
