OOTECH OOCHU TAKEHNIYATINKLES ST. MASK.
41:001:000:1  Tghaehyestla Ehlaiti.
41:001:001:0  HATSETO mawotich oocliu Jesus Christ, Tikeaootli ma chue ;
41:001:002:0  Takeh nichatinkles akehe koonachatya kehe, Oosooasi sakewotihehe nachatyea atghuni oochu naaootle.
41:001:003:0  Hligi otyesta tike kemweh toowe ooli, Atghuni oochu ahasoonesun, aghahati tsiwoeseh kwetooyakehe.
41:001:004:0  John tane tukeghingklit kemweh, hatse tane tatilon tunaghakeooskliti ahtilon 6tlwechi keochehlalon kehe aghametseli oneochetolel asilon.
41:001:005:0  Kalichu yinkhadeshalon tike okehe otsi Judaea, kahchu aghatane yateh otsi Jerusalem, kuihe sahke Jordan aghanetye tukukeghinklilon, koometselihi kooatuoochatihi.
41:001:006:0  John ghatai manatsunne ghigheze gha eghayulon natun atyetlalon atazi syeh kahchu atazi syeh ihe nanihklulon: oohchu yaskesi yu achahnoo yu ayilai yetsetlon;
41:001:007:0  Oochu toowe ooli yehtilon, yetsi ootelon, Hligi sooniya sataihchi anati, nakyeklule aghoo  atu enasoo machi chunoostyeli mamakeoosut.
41:001:008:0  Suni la tu ihe naghakyeihklit: ahwole atai tu ihe naghakyeihlili Atsinde Oochu ihe.
41:001:009:0  Oochu gheise wazeluh ayi dzine, Jesus otsidesha Ion Nazareth Galilee otsi, John tuyakeghinklilon Jesus Jordan otsi.
41:001:010:0  Kwete tu tsi tgliatyeza tsiwohzon, wailon yake kwa matahatsataghiolon, yakeotine yetsi natezalon oietli etye:
41:001:011:0  Oochu otech yake otsi atitsuklon, toowela ooli oti ihe; Nila otaihchi nwasti Sachue.
41:001:012:0  Kwete atsinde achu tike tsi yatehalon kemwehchi.
41:001:013:0  Koochi kemwehchi atu tane nuklechi tioketi dzineke kooali, yakaotehun Metseli aghaghatai; kahchu ghatai metseli ihkyateslon; kahchu oochu woei oochu yetsinatilon.
41:001:014:0  Kootoo John kwechaghinhtyilon tane kwechaghinhtyinti, Jesus yuhchidesha Galilee, koohootyeh otech oochu Nagha Tgha makaoonadzutti otsi,
41:001:015:0  Kahchu toowela ooli, Tyeneti Nagha Tgha kyeyi: naghametselihi kyechahli, oochu otech oochu aha kootahti.
41:001:016:0  Ihtyezon tu chok Galilee tghamweh klontyesha, yailon Simon yu Andrew yu mekye yu tyemil tayesklu tu chok: atai tane taesklu tane eli.
41:001:017:0  Oochu Jesus toowela ooli yehti, Sakyetahtyel, kooh hanahooslihi oohchu hluge kehchi enahooslihi tane niyutooleli chon otsi.
41:001:018:0  Kwete taghatyemile echaghanelelon kikyehtyeshalon.
41:001:019:0  Oohchu oontsutli tontye tyesha, yaih James Zebedee machue, kahchu John mekye, atilon tachin ela ehkye atyi tyemil keyatinklulon.
41:001:020:0  Kwete tyechi yehtilon: kwa taghata echughanelilon tachin ela ehkye atyi Zebedee oochu keotihche yu, oohchu kikyetyesklit.
41:001:021:0  Oohchu kochi ghatyestyetl Capernaum; kahchu kwete taneghaotatyech kwa kwiya menejitti dzineneh tane chehotyeh.
41:001:022:0  Oneghanintyellon yaotihche: kooatinti yaotatihch otech oochu tatihi natsuti kehchi ayihoo mawoochuli, atu adeskles tane kehchi.
41:001:023:0  Oohchu iehti kweh atiih hligi teze ta kwa taneghaotatyech yaghati metseli ayiih; kahchu ootyestalon,
41:001:024:0  Toowe ooli, Atu aghaititaniah; atu ooli nagha assitli iyo aoohti, nuni Jesus Nazareth otsi ?. yuhchitiyala aghayaonila ? Atanasti nelesi Nagha Tgha Maatsinde Oochu ooih.
41:001:025:0  Jesus toowela ooli yehti, yachioote, Atu oonatih yehti, setseghatiyah yetsun tsi.
41:001:026:0  Kootoo aghaghatai tsunale too yayaghinchil, oohtye ootyestalo, yetsi hadesha.
41:001:027:0  Aghanetye ooghatesta, aghanetye chu koohtaghoati, tiyeohtye, yetike aloontye ? ye tane tsi oochatihi koonte ? aha kootesti otech oocliu glia saghatai mayis atu natset.
41:001:028:0  Koohchu oonthe atyeh meglioyuh yito kwa Galilee.
