24:46:001:0	The word of the which came to Jeremiah the prophet against the Gentiles ;
24:46:002:0	Against Egypt , against the army of Pharaoh–neco king of Egypt , which was by the river Euphrates in Carchemish , which Nebuchadrezzar king of Babylon smote in the fourth year of Jehoiakim the son of Josiah king of Judah .
24:46:003:0	Order ye the buckler and shield , and draw near to battle .
24:46:004:0	Harness the horses ; and get up , ye horsemen , and stand forth with your helmets ; furbish the spears , and put on the brigandines .
24:46:005:0	Wherefore have I seen them dismayed and turned away back ? and their mighty ones are beaten down , and are fled apace , and look not back : for fear was round about , saith the .
24:46:006:0	Let not the swift flee away , nor the mighty man escape ; they shall stumble , and fall toward the north by the river Euphrates .
24:46:007:0	Who is this that cometh up as a flood , whose waters are moved as the rivers ?
24:46:008:0	Egypt riseth up like a flood , and his waters are moved like the rivers ; and he saith , I will go up , and will cover the earth ; I will destroy the city and the inhabitants thereof .
24:46:009:0	Come up , ye horses ; and rage , ye chariots ; and let the mighty men come forth ; the Ethiopians and the Libyans , that handle the shield ; and the Ludim , that handle and bend the bow .
24:46:010:0	For this is the day of the Lord of hosts , a day of vengeance , that he may avenge him of his adversaries : and the sword shall devour , and it shall be satiate and made drunk with their blood : for the Lord of hosts hath a sacrifice in the north country by the river Euphrates .
24:46:011:0	Go up into Gilead , and take balm , O virgin , the daughter of Egypt : in vain shalt thou use many medicines ; for thou shalt not be cured .
24:46:012:0	The nations have heard of thy shame , and thy cry hath filled the land : for the mighty man hath stumbled against the mighty , and they are fallen both together .
24:46:013:0	The word that the spake to Jeremiah the prophet , how Nebuchadrezzar king of Babylon should come and smite the land of Egypt .
24:46:014:0	Declare ye in Egypt , and publish in Migdol , and publish in Memphis and in Tahpanhes : say ye , Stand fast , and prepare thee ; for the sword shall devour round about thee .
24:46:015:0	Why are thy valiant men swept away ? they stood not , because the did drive them .
24:46:016:0	He made many to fall , yea , one fell upon another : and they said , Arise , and let us go again to our own people , and to the land of our nativity , from the oppressing sword .
24:46:017:0	They did cry there , Pharaoh king of Egypt is but a noise ; he hath passed the time appointed .
24:46:018:0	As I live , saith the King , whose name is the of hosts , Surely as Tabor is among the mountains , and as Carmel by the sea , so shall he come .
24:46:019:0	O thou daughter dwelling in Egypt , furnish thyself to go into captivity : for Memphis shall be waste and desolate without an inhabitant .
24:46:020:0	Egypt is like a very fair heifer , but destruction cometh ; it cometh out of the north .
24:46:021:0	Also her hired men are in the midst of her like fatted bullocks ; for they also are turned back , and are fled away together : they did not stand , because the day of their calamity was come upon them , and the time of their visitation .
24:46:022:0	The voice thereof shall go like a serpent ; for they shall march with an army , and come against her with axes , as hewers of wood .
24:46:023:0	They shall cut down her forest , saith the , though it can not be searched ; because they are more than the grasshoppers , and are innumerable .
24:46:024:0	The daughter of Egypt shall be confounded ; she shall be delivered into the hand of the people of the north .
24:46:025:0	The of hosts , the God of Israel , saith ; Behold , I will punish the multitude of No , and Pharaoh , and Egypt , with their gods , and their kings ; even Pharaoh , and all them that trust in him :
24:46:026:0	And I will deliver them into the hand of those that seek their lives , and into the hand of Nebuchadrezzar king of Babylon , and into the hand of his servants : and afterward it shall be inhabited , as in the days of old , saith the .
24:46:027:0	But fear not thou , O my servant Jacob , and be not dismayed , O Israel : for , behold , I will save thee from afar off , and thy seed from the land of their captivity ; and Jacob shall return , and be in rest and at ease , and none shall make him afraid .
24:46:028:0	Fear thou not , O Jacob my servant , saith the : for I am with thee ; for I will make a full end of all the nations whither I have driven thee : but I will not make a full end of thee , but correct thee in measure ; yet will I not leave thee wholly unpunished .
