26:20:001:1	God’s Dealings with Israel Rehearsed
26:20:001:0	Now in the seventh year , in the fifth month , on the tenth of the month , certain of the elders of Israel came to inquire of the Lord , and sat before me .
26:20:002:0	And the word of the Lord came to me saying ,
26:20:003:0	“ Son of man , speak to the elders of Israel and say to them , ‘Thus says the Lord God , “ Do you come to inquire of Me ? As I live , ” declares the Lord God , “ I will not be inquired of by you . ” ’
26:20:004:0	Will you judge them , will you judge them , son of man ? Make them know the abominations of their fathers ;
26:20:005:0	and say to them , ‘Thus says the Lord God , “ On the day when I chose Israel and swore to the descendants of the house of Jacob and made Myself known to them in the land of Egypt , when I swore to them , saying , I am the Lord your God ,
26:20:006:0	on that day I swore to them , to bring them out from the land of Egypt into a land that I had selected for them , flowing with milk and honey , which is the glory of all lands .
26:20:007:0	I said to them , ‘Cast away , each of you , the detestable things of his eyes , and do not defile yourselves with the idols of Egypt ; I am the Lord your God . ’
26:20:008:0	But they rebelled against Me and were not willing to listen to Me ; they did not cast away the detestable things of their eyes , nor did they forsake the idols of Egypt . Then I resolved to pour out My wrath on them , to accomplish My anger against them in the midst of the land of Egypt .
26:20:009:0	But I acted for the sake of My name , that it should not be profaned in the sight of the nations among whom they lived , in whose sight I made Myself known to them by bringing them out of the land of Egypt .
26:20:010:0	So I took them out of the land of Egypt and brought them into the wilderness .
26:20:011:0	I gave them My statutes and informed them of My ordinances , by which , if a man observes them , he will live .
26:20:012:0	Also I gave them My sabbaths to be a sign between Me and them , that they might know that I am the Lord who sanctifies them .
26:20:013:0	But the house of Israel rebelled against Me in the wilderness . They did not walk in My statutes and they rejected My ordinances , by which , if a man observes them , he will live ; and My sabbaths they greatly profaned . Then I resolved to pour out My wrath on them in the wilderness , to annihilate them .
26:20:014:0	But I acted for the sake of My name , that it should not be profaned in the sight of the nations , before whose sight I had brought them out .
26:20:015:0	Also I swore to them in the wilderness that I would not bring them into the land which I had given them , flowing with milk and honey , which is the glory of all lands ,
26:20:016:0	because they rejected My ordinances , and as for My statutes , they did not walk in them ; they even profaned My sabbaths , for their heart continually went after their idols .
26:20:017:0	Yet My eye spared them rather than destroying them , and I did not cause their annihilation in the wilderness .
26:20:018:0	“ I said to their children in the wilderness , ‘Do not walk in the statutes of your fathers or keep their ordinances or defile yourselves with their idols .
26:20:019:0	I am the Lord your God ; walk in My statutes and keep My ordinances and observe them .
26:20:020:0	Sanctify My sabbaths ; and they shall be a sign between Me and you , that you may know that I am the Lord your God . ’
26:20:021:0	But the children rebelled against Me ; they did not walk in My statutes , nor were they careful to observe My ordinances , by which , if a man observes them , he will live ; they profaned My sabbaths . So I resolved to pour out My wrath on them , to accomplish My anger against them in the wilderness .
26:20:022:0	But I withdrew My hand and acted for the sake of My name , that it should not be profaned in the sight of the nations in whose sight I had brought them out .
26:20:023:0	Also I swore to them in the wilderness that I would scatter them among the nations and disperse them among the lands ,
