49:6:001:1	Family Relationships
49:6:001:0	Children , obey your parents in the Lord , for this is right .
49:6:002:0	Honor your father and mother ( which is the first commandment with a promise ) ,
49:6:003:0	so that it may be well with you , and that you may live long on the earth .
49:6:004:0	Fathers , do not provoke your children to anger , but bring them up in the discipline and instruction of the Lord .
49:6:005:0	Slaves , be obedient to those who are your masters according to the flesh , with fear and trembling , in the sincerity of your heart , as to Christ ;
49:6:006:0	not by way of eyeservice , as men-pleasers , but as slaves of Christ , doing the will of God from the heart .
49:6:007:0	With good will render service , as to the Lord , and not to men ,
49:6:008:0	knowing that whatever good thing each one does , this he will receive back from the Lord , whether slave or free .
49:6:002:1	The Armor of God
49:6:009:0	And masters , do the same things to them , and give up threatening , knowing that both their Master and yours is in heaven , and there is no partiality with Him .
49:6:010:0	Finally , be strong in the Lord and in the strength of His might .
49:6:011:0	Put on the full armor of God , so that you will be able to stand firm against the schemes of the devil .
49:6:012:0	For our struggle is not against flesh and blood , but against the rulers , against the powers , against the world forces of this darkness , against the spiritual forces of wickedness in the heavenly places .
49:6:013:0	Therefore , take up the full armor of God , so that you will be able to resist in the evil day , and having done everything , to stand firm .
49:6:014:0	Stand firm therefore , having girded your loins with truth , and having put on the breastplate of righteousness ,
49:6:015:0	and having shod your feet with the preparation of the gospel of peace ;
49:6:016:0	in addition to all , taking up the shield of faith with which you will be able to extinguish all the flaming arrows of the evil one .
49:6:017:0	And take the helmet of salvation , and the sword of the Spirit , which is the word of God .
49:6:018:0	With all prayer and petition pray at all times in the Spirit , and with this in view , be on the alert with all perseverance and petition for all the saints ,
49:6:019:0	and pray on my behalf , that utterance may be given to me in the opening of my mouth , to make known with boldness the mystery of the gospel ,
49:6:020:0	for which I am an ambassador in chains ; that in proclaiming it I may speak boldly , as I ought to speak .
49:6:021:0	But that you also may know about my circumstances , how I am doing , Tychicus , the beloved brother and faithful minister in the Lord , will make everything known to you .
49:6:022:0	I have sent him to you for this very purpose , so that you may know about us , and that he may comfort your hearts .
49:6:023:0	Peace be to the brethren , and love with faith , from God the Father and the Lord Jesus Christ .
49:6:024:0	Grace be with all those who love our Lord Jesus Christ with incorruptible love .
