6:2:001:1	Jérikogóó naalchi'í eel'a'
6:2:001:0	Áádóó Nan biye' Jáshowa éí Shíttim hoolyéédóó diné naalchi'í nidilt'éego dashdiił'a'go ábijiní , Nihílááh , nahont'in nahaz'ą́ą́dóó Jériko kéyah hazhó'ó hadoohsiłgóó doh'aash . Áádóó ákǫ́ǫ́ jiní'áazhgo ałjiłnii asdzání léi' Réíhab wolyéii bighan góne' yah ajíí'áazhgo ákwii dzizkéé nít'éé' .
6:2:002:0	Áádóó Jérikodóó aláahgo naat'áanii yił dahoolne'go ádaaní , Shoo , tł'éédą́ą́' diné ła' Ízrel dine'é nilį́įgo kéyah haidoohsił yiniyé kwe'é ní'áázh lá .
6:2:003:0	Áádóó Jérikodóó aláahgo naat'áanii éí Réíhab yich'į' i'ííł'a'go ání , Diné naa ní'ázhígíí shaa ní'éésh ; jó , nighan góne' yah íí'áázh , háálá éí kéyah t'áá át'é haidoosił yiniyé ní'áázh .
6:2:004:0	Áádóó asdzání éí diné t'áá áłah dah yidii'eezh áádóó néidees'į́į'go ání , T'áá lá aaníí diné shaa ní'áazh ni , nidi naa'aashdę́'ígíí éí doo shił bééhózin da .
6:2:005:0	Áádóó tł'ée'go ch'é'étiingi dá'deelkaalgo éí diné ch'íní'áázh lá . Háajigo ahi'noolchą́'ígíí doo shił bééhózin da . Tsxį́įłgo , bikéé' dohjeehgo bik'ídanohtááh .
6:2:006:0	Nidi asdzání éí kin bighą́ą́'góó diné hajizh'eezhgo nidik'ą' dits'idígíí éí biyaagi nízdees'į́į́' .
6:2:007:0	Áko diné akéé' ííjé'ígíí Jórdan tooh áłt'ą́'ą́jį' tsé'naa nideetiiníjį' akéé' niníjéé' , áádóó éí diné t'óó ch'íníjé'égo t'áá áko dání'deetą́ .
6:2:008:0	Áko diné nídees'į́'ígíí t'ah doo niteeshgóó , asdzání éí kin bighą́ą́'góó diné yich'į' hanáánásdzá .
6:2:009:0	Áádóó diné ábijiní , Díí shił bééhózin : Bóhólníihii éí kéyah nihaididoo'ááł áádóó nihik'eda'íyée'go bik'ee nisiniikai , áádóó kéyah bikáa'gi diné kéédahat'ínígíí t'áá át'é nihik'ee bitah doo dahwiina' da .
6:2:010:0	Háálá nihaa dahosidiits'ą́ą'go haash yit'éego Bóhólníihii éí Tónteel Łichíí' tsé'naa nihilą́ąjį' nihá nihoníłtseii éí Ííjip kéyahdę́ę́' náoh'nééł yę́ędą́ą́' áhóót'įįdígíí áádóó Ámor dine'é aláahgo binanit'a'í nidilt'éego Jórdan tooh wónaanídi bich'į' ádaot'įįdígíí éí Sáíhan índa Ag wolyéii nidasoołtseedii baa dahosidiits'ą́ą́' .
6:2:011:0	Áádóó t'óó baa dahodisiits'ą́ą́' yę́ędą́ą́' t'óó nihił ádahasdįįd ; t'áadoo yee diné hada'óolní'ígóó nihiniinaa ákódeiidzaa , háálá Bóhólníihii éí nihí aají nihiDiyin God éí Diyin God nilį́įgo wódahdi yá'ąąshdi índa wóyahdi nihokáa'gi hólǫ́ .
6:2:012:0	Éí bąą k'ad nánihooshkąąh , Bóhólníihii bee shich'į' ádee hadidoohdzih ; jó , shí nihaa jooshba'ígi át'éego nihí ałdó' shizhé'é bighandóó dah ooldahígíí baa jiinohba' dooleeł , áádóó t'áá aaníinii bee ééhózinii shich'į' bééhózingo ádoohłííł ,
6:2:013:0	shizhé'é áádóó shimá áádóó ashiiké áádóó at'ééké bił háájéé' danilíinii , índa bada'áłchíní t'áá ałtso t'áá bił dahinii'náa doo biniyé aniné bits'ą́ąjį' yisdánihidoohnił .
6:2:014:0	Áko diné nidilt'é ní'ázhígíí áháłní , Yisdánihíínínilígi át'éego nihí ałdó' yisdánihidii'nił ; nihinaanish nilíinii t'áadoo baa hwíínílne'góogo ákót'é . Áko ákót'ée doo : Bóhólníihii éí kéyah nihaidiní'ą́ągo naa dajiiniiba' doo , índa t'áá aaníí nich'į' ákódaniit'ée doo .
6:2:015:0	Áko tł'óół bee tsésǫ' góyaa hadahóólo' , háálá kin haal'áii binaa ahéénátł'inígíí bikáa'di bighan .
6:2:016:0	Áko asdzání áháłní , Nílááh , dziłgóó doh'aash , áko nihikéé' nidahaakaígíí doo nihik'ídookah da ; áadi na'ádinoł'ingo táá' yidoołkááł ; nihikéé' nidahaakaígíí t'ą́ą́' nináhaaskaijį' , áádóó bik'ijį' índa nikéédooht'ash .
6:2:017:0	Diné nidilt'é ní'ázhígíí áháłní , Jó , ts'ídá t'áadoo bee nihik'íhodoot'ahígóó díí bee ádee hadidiidzihgo bee nihich'į' háínídzí'ígíí t'áá ákódii'nííł .
