6:7:001:1	Éíkan ádił asiih
6:7:001:0	Nidi Bóhólníihii bich'į' nideet'ánígíí Ízrel dine'é doo ákǫ́ǫ́ ádayííł'įįd da ; jó , Éíkan éí Kármii biye' éí Zábdai biye' éí Zíírah biye' éí Júdah dine'é jílį́įgo , díí Bóhólníihii bich'į' nideet'ánígíí ła' nízhdiinilgo Bóhólníihii ts'ídá doo hasht'é'égóó Ízrel dine'é yich' į' báhóóchįįd .
6:7:002:0	Áko Jáshowa éí Jériko kin haal'áádóó Éí'ai kin haal'áajį' diné ła' dah dahizhdiił'a' ; Éí'ai éí Beth'éíven kin shijaa' bíighahgi Béthel ha'a'aahjígo kin haal'áhígóó dazdees'a'go ábizhdííniid , Nihílááh , kéyah hadaahsííd . Áko éí diné naalchi'í danilį́įgo Éí'aigóó eekaigo hada'íísid .
6:7:003:0	Áko Jáshowa yaa nákaigo ádeidííniid , Háni'dii diné doo t'áá át'é ákǫ́ǫ́ dookah da , nidi diné naakidi mííl , doodaii' táadi míilgoda ákǫ́ǫ́ dookahgo Éí'ai hoolyéhígíí yaa tiih dookah . Diné doo t'áá át'é naanish biih doo'nił da , háálá t'áá díkwíí ákwii kéédahat'į́ .
6:7:004:0	Ákohgo diné táadi mííl yilt'éego daats'í ákǫ́ǫ́ dah diikai ; nít'éé' Ízrel dine'é éí Éí'ai dine'é bits'ą́ąjį' dazhdínéezhchą́ą́' .
6:7:005:0	Áko Éí'aidóó dine'é tádiindóó ba'aan hastą́ą́h daats'í Ízrel dine'é nideistseed , háálá kin haal'áhígíí bidáń'dítį́į́hdóó Shébarim hoolyéegi t'áá yaa náá'áhíjį' baa deíjeehgo deiníłtseed . Áko diné baa nidahwiiskaadgo t'áá íiyisí niseekai .
6:7:006:0	Ákohgo Jáshowa ha'éé' ák'inijooldláadgo Bóhólníihii bitsits'aa' dílzinii bidáahjį' tsé'yaa jishjoolgo hwee i'íí'ą́ ; hó áádóó Ízrel dine'é aląąjį' naazíinii bił łeezh dibahí ák'ídajiilkaad .
6:7:007:0	Áko Jáshowa ázhdííniid , Bóhólníihii Diyin God nílíinii , dooládó' yówéé át'ée da . Ha'át'íí biniyé díí dine'é éí Jórdan tooh ha'naa nííní'eezhígíí Ámor dine'é ádanihidoołdįįłgo baa nihidííní'ą́ ? Háni'dii t'áá Jórdan biláahdi kéédahoniit'į́į dooleeł nít'éé' .
6:7:008:0	Bóhólníihii nílíinii , Ízrel dine'é bida'ana'í yits'ą́ąjį' nídadíníchéehgo ha'át'íí lá dishníi doo !
6:7:009:0	Háálá Kéínan dine'é áádóó éí kéyahgi kéédahat'íinii t'áá ałtso díí yaa dahodidoots'į́įłgo nihinídoot'ihgo nihízhi' baa hodiyoo'nah , áko nishą' , éí hait'éego nízhi' ayóó át'éii íínísin doo ?
6:7:010:0	Bóhólníihii éí Jáshowa áyidííniid , Nídiidááh , ha'át'íishą' biniyé tsé'yaa shíníjool ?
6:7:011:0	Ízrel dine'é ádił da'asiih áádóó shibee aha'deet'áanii bich'į' bee haasdzíi'go bee haz'ánígíí k'ídeizti' , áádóó ałdó' Bóhólníinii bich'į' nideet'áanii ła' deineez'į́į́' , áádóó ch'aadeishchį́ , índa dabiyooch'íidgo dabinaalye'é bitahdi nideiznil .
6:7:012:0	Éí bąą Ízrel dine'é bida'ana'í doo yídaníłdzil da , nidi bida'ana'í t'óó yits'ą́ąjį' nídadíníchééh , háálá ádooldįįłii dadzizlį́į́' . Áko doo nihił nááhonishdlǫ́ǫ da doo ; t'áá hazhó'ó ádadooldįįłgo nideet'áanii nihitahdóó ádasoołdįįdgo t'éiyá .
6:7:013:0	Nídii'nééh , díí diné diyingo ánílééh áádóó ábididííniił , Yiską́ągo biniyé t'áá nihí doo nihąąh daachingóó diyingo ádadi'doołnííł , háálá Ízrel dine'é biBóhólníihii Diyin God ání , Ízrel dine'é danohłíinii , nihiníi'gi Bóhólníihii bich'į' nideet'áanii ła' hólǫ́ ; éí bąą nihida'ana'í doo bídanółdzilgo nidasoozį́į le' át'ée da ; Bóhólníihii bich'į' nideet'áanii nihitahdóó nahgóó kódaahłaago t'éiyá .
6:7:014:0	Éí bąą t'ah abínídą́ą́' t'ááłá'í dine'é danohłíinii bik'ehgo ahidahidoohkaigo nidahidoohkah , áko Bóhólníihii éí dine'é néidiinilígíí bitahdóó diné hada'áłchíní dah dají'éeshii bik'ehgo t'áá hoł nidahidookah , áádóó t'áá éí náábítahdóó ła' Bóhólníihii néidiinilígíí éí dabighandóóígíí bik'ehgo nihidookah , áko ła' hooghandóó Bóhólníihii néidiinilígíí éí diné t'ááłá'í nítínígo nidahidookah .
6:7:015:0	Áko kót'ée doo : Bóhólníihii bich'į' nideet'áanii nízhdiinilii ahodi'doolk'ą́ą́ł áádóó hanaalye'é t'áá ałtso bił hwiih hodidoo'nił , háálá Bóhólníihii bibee aha'deet'áanii bee haz'ánígíí k'ízhníti' áádóó Ízrel dine'é bitahgi doo hóshkał baa nijiyá .
6:7:016:0	Ákohgo t'ah abínídą́ą́' Jáshowa nídii'na'go Ízrel dabidine'é bik'ehgo nijiizh'eezh ; nít'éé' Júdah dine'é nídii'nil .
