6:23:001:1	Jáshowa éí Ízrel dine'é yik'ehgo ádaat'ée dooleełígíí hazhó'ó yee áyidííniid
6:23:001:0	Áádóó nízaad nihoolzhiizhgo Ízrel dine'é binaagóó bida'ana'í ásdįįdgo Bóhólníihii hasht'ehodít'é beidiní'ą́ągo Jáshowa bi'niitih áádóó t'óó ahayóí binááhai ,
6:23:002:0	áko Jáshowa éí Ízrel dine'é t'áá ałtso áádóó hastóí danilíinii áádóó aląąjį' naazíinii áádóó ándahodii'aahii índa á dah naazdáii hágo yidííniidgo áyidííniid , K'ad t'áá íiyisí hasistih áádóó t'óó ahayóí shinááhai ,
6:23:003:0	áádóó díí hazhó'ó baa ákódanoozį́į́' : Bóhólníihii nihiDiyin God éí díí ał'ąą dine'é t'áá ałtso nihiniinaa atíyííł'įįd , háálá Bóhólníihii nihiDiyin God nihá anaa' áyiilaa .
6:23:004:0	Jó , yáá'iilt'e' bik'ehgo díí ał'ąą ana'í ał'ąą dah naazhjaa'go áshłaii t'ah nihił kéédahat'ínígíí , éí Jórdan toohdóó e'e'aahjí ayóó át'é tónteel siyíníjį' ał'ąą ana'í t'áá ałtso t'áá íídą́ą́' áséłdįįdígíí bikédaayah nít'é'ígíí t'áá bił nihíí' dooleeł .
6:23:005:0	Bóhólníihii nihiDiyin God éí nihilą́ąjį' yinoołkałgo doo nídeidoołtsééłgóó baa ch'íhidoojah ; bikédaayah t'áá át'é nihíí' dadooleeł ; jó , ákót'éego Bóhólníihii nihiDiyin God nihá yee nihoní'ą́ .
6:23:006:0	Éí bąą yéego chánah danohłį́įgo naaltsoos bii' Mózes bibee haz'áanii bee ak'e'ashchínígíí t'áá ałtso bik'eh dahonoł'į́įgo bik'eh ádanoht'ée doo , áko nish'náajigo , doodaii' nishtł'ajigo ts'ídá doo bits'ą́ąjį' kódadoohníił da ,
6:23:007:0	áádóó díí ał'ąą ana'í nihił kéédahat'ínígíí doo bitahgóó dahohjah da doo , áádóó bidiyin dabidi'níinii doo baa yádaałti' da doo , áádóó doo bee ádee hadahidohdziih da doo , áádóó doo bá nidaał'a' da doo , índa doo bich'į' yaa áńdaaht'įįh da doo ,
6:23:008:0	nidi Bóhólníihii nihiDiyin God bí'ádadíínółtą' ; ákónóht'éego díí jį́į́góó hoolzhish .
6:23:009:0	Háálá Bóhólníihii éí ał'ąą ana'í ayóó ádaat'éii índa ayóó ádabóodziilii nihinááł baa ch'íheezhjéé' , nidi nihí éí ts'ídá t'áadoo nihéébóodziilígóó díí jį́į́góó hoolzhish .
6:23:010:0	T'áá łah dinołt'éhígo diné t'ááłáhídi mííl nihaa nídidoojah , háálá Bóhólníihii nihiDiyin God éí nihá anaa' ííł'į́ ; jó , ákót'éego nihá yee nihoní'ą́ .
6:23:011:0	Éí bąą hazhó'ó t'áá nihí ádaa ádahołyą́ągo , Bóhólníihii nihiDiyin God ayóó'ádeínóh'ní .
6:23:012:0	Háálá t'ą́ą́' dah nídahidoohkaigo díí ał'ąą ana'í nihitahgi daadzí'ígíí t'áá éí nihił kéédahat'ínígíí bił ahółdahgo bił ahánda'ohgehgo ídadi'doołnííł , áádóó bił ahółdahgo , índa nihił ahíldahgo ,
6:23:013:0	díí t'áá yíní át'éegi baa ákodanohsin : Bóhólníihii nihiDiyin God éí díí ał'ąą ana'í doo nihilą́ąjį' baa ch'ínááhájeehgóó , nidi t'óó biloh áádóó bibee ódleehí biih wohkáah doo , áádóó nihooshk'iizh nídanilsxis doo índa ch'il dadeeníinii nihinák'ee nídaajił doo . Bóhólníihii nihiDiyin God kéyah yá'át'éehii nihaidiní'áanii bąąh ásoohdįįdjį' ákónóht'ée doo .
6:23:014:0	Áko nihokáá' dine'é t'áá ałtso bá nidahwiit'ééhjí bikáá'góó dah diishááh , éí nihijéí índa nihii' sizíinii t'áá át'é bee nihił béédahózin ; t'ááłá'í nidi doo ła' ch'ééh áál'įįdgóó ts'ídá yá'ádaat'éehii t'áá ałtso Bóhólníihii nihiDiyin God nihídéét'i'go nihich'į' yee hahadziih ; ts'ídá t'áá ałtso nihá bidahoolyaa ; t'ááłá'í nidi t'áadoo ła' ch'ééh áál'įįd da .
6:23:015:0	Éí bąą kót'ée dooleeł : t'áá ałtso yá'át'éehgo áhooníiłii nihá bidahoolnííł ; éí Bóhólníihii nihiDiyin God nihá yee nihoní'ą́ ; t'áá ákót'éego ałdó' t'áá ałtsoní doo yá'ádaat'éehii Bóhólníihii nihik'ijį' kwíidoolííł ; Bóhólníihii nihiDiyin God díí kéyah yá'át'éehii nihaidiní'áanii yąąh ánihisdįįdjį' ákónihidoolííł .
6:23:016:0	Bóhólníihii nihiDiyin God bibee aha'deet'áanii nihich'į' yee haadzíi'ii bilááh ni'ádinooh'nilgo áádóó diyin dabidi'níinii bá nidaał'a'go índa éí bich'į' yaa áńdaaht'įįhgo Bóhólníihii t'áá íiyisí nihich'į' báhodoochįįł , áádóó kéyah yá'át'éehii nihaidiní'áanii ałtso tsį́įłgo bąąh ánihidi'dooldįįł .
