6:8:001:1	Éí'ai kin haal'áii yisnáago ábi'disdįįd
6:8:001:0	Bóhólníihii éí Jáshowa áyidííniid , T'áadoo nił yé'í ; t'áadoo ádił nisindáhí ; nídiidáahgo diné nidaabaahii t'áá ałtso dah dii'éeshgo nihílááh , Éí'ai kin haal'áágóó dohkááh ; jó , Éí'ai dine'é áádóó aláahgo binanit'a'í áádóó bidine'é áádóó bikin haal'áhígíí índa bikéyah nihílák'eidíí'ą́ .
6:8:002:0	Áko t'áá Jériko kin haal'áii áádóó aláahgo naat'áanii ííníł'įįdígi át'éego Éí'ai kin haal'áii áádóó aláahgo naat'áanii ákónáádíídlííł . Nidi Éí'ai dine'é bindaalye'é áádóó dabilį́į́' deidoołbįįłígíí t'áá nihí ádá nídadidoohnił . Kin haal'áhígíí bine'dę́ę'go baa nidahidoohkah .
6:8:003:0	Áko Jáshowa dah diiyáago diné nidaabaahii t'áá ałtso bił Éí'ai kin haal'áágóó dashdiikai , áko Jáshowa éí diné ayóó át'éego nidaabaahii tádiindi míilgo nízhdiinilgo tł'ée'go adziis'a' .
6:8:004:0	Áko bich'į' hadzoodzíi'go ájíní , Jó , kin haal'áhígíí bine'dę́ę'go baa nihidoohkah . Kin haal'áhídóó t'áadoo nízaadgóó anáhjahí , nidi t'áá ánółtso hasht'e'ádadíínółzin dooleeł .
6:8:005:0	Áko shí áádóó diné t'áá ałtso shił naakaígíí bił díí kin haal'áhígíí bit'ááh diijah . Áko átséédą́ą́' ádzaa yę́ęgi át'éego éí nihich'į' ch'íníjée'go bits'ą́ąjį' dadíníichééł .
6:8:006:0	Áko nihikéé' nídidoojahgo kin haal'áhídóó nízaadgóó bá iijée'go ádadidooniił , Áłtséédą́ą́' yę́ęgi át'éego nihik'ee yóó'adahizhneezhchą́ą́' . Éí bąą bik'ee yóó'adiijah .
6:8:007:0	Áko baa nihinoohkaídóó nídidoohjahgo kin haal'áhígíí dadoołnééł , háálá Bóhólníihii nihiDiyin God éí nihaididoo'ááł .
6:8:008:0	Áko kót'ée doo : kin haal'áhígíí dasoołnáago biih dahodidoohnił ; Bóhólníihii nihich'į' yee haadzíi'ii bik'ehgo ída'doohłííł . Jó , ákót'éego nihich'į' bee haasdzíi' ni' .
6:8:009:0	Áko Jáshowa éí adahwiis'a'go aa nihizhdookahgóó ajookai ; éí Béthel kin shijaa'ígíí áádóó Éí'ai kin haal'áhígíí bita'gi Éí'ai e'e'aahjígo aa nijiyeekai . Nidi t'áá éí bitł'éé' Jáshowa éí Ízrel dine'é bitahdi biiską́ .
6:8:010:0	Áko t'ah abínídą́ą́' Jáshowa nízhdii'na'go diné dadeezbaa'ígíí hadzíísid áádóó Ízrel dine'é yiląąjį' naazíinii bił alą́ąjį' Éí'ai kin haal'áágóó dashdiikai .
6:8:011:0	Áko diné nidaabaahii t'áá ałtso hoł naakai nít'é'ígíí hoł dah diikaigo kin haal'áhígíí bich'į' t'áá áyídíjį' nijíkai índa Éí'ai náhookǫsjígo nizhníná , áko Éí'ai kin haal'áii bił hata'gi bokooh lá .
6:8:012:0	Áko ashdladi mííl diné nízhdiinilgo Béthel kin shijaa'ígíí áádóó Éí'ai kin haal'áhígíí bita'gi Éí'ai e'e'aahjígo aa héeshjée'go ájiilaa .
6:8:013:0	Áko kin haal'áhígíí náhookǫsjígo diné nidaabaahii t'áá ałtso áádóó e'e'aahjígo diné aa héeshjé'ígíí ninínáago Jáshowa t'áá éí bitł'éé' yíldzisdi biiską́ .
6:8:014:0	Áko Éí'ai dine'é aláahgo binanit'a'í díí yiyiiłtsą́ągo kin haal'áhídóó dine'é t'áá a łtso t'ah abínídą́ą́' tsį́įłgo nídiijéé' ; bí índa bidine'é t'áá bee nihoot'ą́ą́ góne' honíteelgi Ízrel dine'é bidááshníjée'go anaa' dahodzisłį́į́' , nidi kin haal'áhígíí bine'dę́ę'go baa neheekaígíí doo bił bééhózin da .
