6:24:001:1	Jáshowa hágoónee' níigo haadzíí'
6:24:001:0	Áko Jáshowa éí Ízrel dine'é t'áá át'é Shííkem kin haal'áagi áłah áyiilaago Ízrel dine'é hastóí danilíinii áádóó aląąjį' naazíinii áádóó ándahodii'aahii índa á dah naazdáii hágo yidííniidgo Diyin God hólǫ́ǫjį' niikai .
6:24:002:0	Áádóó Jáshowa éí diné t'áá ałtso áyidííniid , Ízrel dine'é biBóhólníihii Diyin God kóní , Danihizhé'é yę́ę ałk'idą́ą́' tooh nílínígíí wónaanídi kéédahat'į́į́ nít'éé' ; ła' éí Tíírah wolyé , éí Éíbraham áádóó Néíhor bizhé'é nít'éé' , áádóó éí diyin dabidi'níinii yá nidaal'a' nít'éé' .
6:24:003:0	Ákohgo nihizhé'é yę́ę Éíbraham tooh wónaanídi náhodiiłtį́įgo Kéínan kéyah biyi' t'áá át'é hoł tádíí'áázh , áádóó ha'áłchíní k'ee'ąą noot'į́įłgo áshłaa . Áko Áizak haye' dooleełgo haa níłtį́ ,
6:24:004:0	áádóó Áízak éí Jéíkab índa Íísa haye' dooleełgo haa nínil . Áádóó Íísa éí Dził Síyer haz'ánígíí bíí' dooleełgo baa diní'ą́ , nidi Jéíkab áádóó ba'áłchíní éí Ííjip kéyah góyaa ííná .
6:24:005:0	Áádóó Mózes índa Éran ákǫ́ǫ́ ííł'a' , áádóó bee até'ésh'íinii bee Ííjip dine'é atíishłaa , áádóó éí bik'ijį' áádę́ę́' ch'ínihiní'eezh .
6:24:006:0	Áko danihizhé'é yę́ę Ííjip kéyahdę́ę́' ch'íhoní'eezhgo tónteel siyíníjį' nooná , áko nít'éé' Tónteel Łichíí' siyínígíí bibąąhjį' danihizhé'é yę́ę Ííjip dine'é tsindaabąąs bijáád naakiígíí áádóó łį́į́' yee nidaabaahii yee hakéé' nahaakai yę́ę hóníłná .
6:24:007:0	Áádóó Ízrel dine'é éí Bóhólníihii yich'į' hadadeeshghaazhgo , nihí áádóó Ííjip dine'é nihita'gi chahałheełgo áyiilaa , áko Ííjip dine'é tónteel bik'i diilkǫ' índa Ííjip kéyahgi atí'iishłaa yę́ę t'áá nihí danóoł'į́į́' , áko honoojíidi kéédahoht'į́įgo nízaadgóó nihoolzhiizh .
6:24:008:0	Áádóó Ámor dine'é bikéyah biih nihíí'eezhgo éí Jórdan tooh wónaanídi kéédahat'į́įgo nihił da'ahigą́ągo nihílák'ee bidíí'ą́ , áko éí bikéyah ádíí' ádadoohłííł biniyé nihilą́ąjį' áséłdįįd .
6:24:009:0	Áko Zípor biye' Béílak wolyéii éí Mó'ab kéyahdóó aláahgo naat'áanii nídiidzáago Ízrel dine'é yich'į' anaa' hasłį́į́' índa Bíyor biye' Béílam wolyéii hóyée'go nihá hadoodzih biniyé nihich'į' yiyííł'aad ,
6:24:010:0	nidi Béílam doo hwíínísts'ą́ą' da ; éí bąą t'óó nihik'idzisdli'go bílák'eedóó hanihíínil .
6:24:011:0	Áko Jórdan tooh ha'naa ninoonáago Jériko kin haal'áajį' nooná , áádóó Jériko dine'é nihik' iijéé' , áko Ámor dine'é , Píírez dine'é , Kéínan dine'é , Het dine'é , Gírgas dine'é , Háíva dine'é índa Jííbas dine'é éí t'áá ájít'é nihílák'ee hodíí'ą́ .
6:24:012:0	Áádóó tsés'náłtsooí bi'níłnii'go nihilą́ąjį' Ámor dine'é éí aláahgo naat'áanii nidilt'éego t'áá bił baa ch'ídahaazhjéé' , áko éí nihidiltłish áádóó nihik'aa' doo bee ch'ídahisinoołkaad da .
