6:5:001:1	Gílgalgi ąąh náhineeshgizhígíí áádóó atis adeesdzá bee bééhániihii
6:5:001:0	Ákódzaago Ámor dine'é aláahgo bindanit'a'í t'áá ałtso Jórdan tooh biláahdi e'e'aahjigo kéédahat'ínígíí índa Kéínan dine'é aláahgo bindanit'a'í t'áá ałtso tónteel bíighahgóó kéédahat'ínígíí Bóhólníihii éí Jórdan tooh ha'naa niiníłtseiigo Ízrel dine'é binááł tsé'naa ałtso ninii'nánígíí yaa dahodiizts'ą́ą'go éí yik'ee bijéí nitsidaastłah índa doo bił chodahóó'įįd da , háálá Ízrel dine'é biniinaa ákódadziidzaa .
6:5:002:0	Ákwii nahalzhiish yę́ędą́ą́' Bóhólníihii éí Jáshowa áyidííniid , Tsé deeníinii ádadííliiłgo naakidi aleeh góne' Ízrel dine'é bąąh nídahidínííłgish .
6:5:003:0	Ákohgo Jáshowa éí tsé deeníinii ádajiilaa , áko ąąh hadaalgizh dah yisk'id hoolyéegi ákwe'é Ízrel dine'é bąąh nídahizhneeshgizh .
6:5:004:0	Díí bąą Jáshowa ąąh nídahizhneeshgizh : éí diné danilínígíí t'áá ałtso Ííjip kéyahdę́ę́' ch'íná'nánígíí diné anaa' da'ał'íinii t'áá ałtso honoojíigi oonéełgo daneeznánígíí éí Ííjip kéyahdę́ę́' ch'íná'náádóó bik'ijį' bikéé' ádahasdįįd .
6:5:005:0	Diné t'áá ałtso Ííjipdę́ę́' ch'ídahaaznánígíí éí bąąh nídahineeshgizh , nidi diné t'áá ałtso Ííjip kéyahdę́ę́' ch'ídahaaznáádóó bik'ijį' honoojíigi oonéełgo nidabi'diizhchínígíí éí t'ah doo bąąh nídahinilgish da nít'éé' .
6:5:006:0	Háálá Ízrel dine'é éí honoojíidi naaldeehgo dízdiin nááhai ; éí diné anada'ał'íinii t'áá ałtso Ííjip kéyahdę́ę́' ch' ídahaaznánígíí t'áá ałtso ádadzisdįįdjį' tádííná , háálá Bóhólníihii bizaad doo bik'eh dahojíł'į́į da nít'éé' . Bóhólníihii éí kéyah doo deizdoołtsééłgóó yich'į' yee ádee hadoodzíí' ; t'áá éí kéyahígíí dahazhé'é yę́ę yich'į' yee ádee hadoodzíi'go nihaididoo'áłígíí bikáá' abe' índa tsés'ná bitł'izh bee áda'azįįd .
6:5:007:0	Áko hada'áłchíní dahatsásk'ehgi Bóhólníihii hainínilígíí éí Jáshowa t'áá bí yąąh nídeineeshgizh , háálá oonééłdę́ę́' t'ah doo bąąh nídahinilgish da nít'éé' .
6:5:008:0	Ałtso diné t'áá át'é bąąh nídahineeshgizhgo , éí nídadzoodzíi'jį' dahaghangi t'óó nidadzíiztą́ą́ nít'éé' .
6:5:009:0	Áko Bóhólníihii éí Jáshowa áyidííniid , Díí jį́ Ííjip kéyahgi bee i'déédzíi'go baa yáhóósįįdígíí nihits'ą́ąjį' yóó'ííłmááz . Díí jį́įjį' éí haz'ą́ągi yízhí bee wójíigo Gílgal hoolyé .
6:5:010:0	Ízrel dine'é éí Gílgalgi ninínáago éí átsé nídízídígíí binih , dį́į́'ts'áadahgóó yoołkáałgo i'íí'ą́ągo Jériko honíteelgi atis'adeesdzá bee bééhániihii bee nidahojisá .
6:5:011:0	Áádóó atis'adeesdzá baa na'asdee'dóó biiskání kéyahgi nínádant'į́hígíí ła' dayííyą́ą́' ; t'áá éí bijį́ díík'ǫsh t'áágééd bááh ályaii índa tł'oh naadą́ą́' sit'éhígíí dayííyą́ą́' .
6:5:002:1	Jáshowa áádóó diné léi' bidiltłish hayíítą́ągo dah yootį́į́ł
6:5:012:0	T'áá éí kéyahdóó nínádant'į́įhii dajííyą́ą́'dóó biiskání mána ánászįįd , áádóó Ízrel dine'é éí mána baa ánászįįd , nidi éí náháhígíí biyi' Kéínan kéyahgi nínádant'į́hígíí dajiyą́ą́ nít'éé' .
6:5:013:0	Ákódaadzaadóó Jáshowa éí Jériko kin haal'áii bíighahgi nijigháago , hajííghalgo jidéé'į́į́' nít'éé' ; jó , diné léi' sizį́įgo bidiltłish hayíítą́ągo dah yootį́įłgo jiiłtsą́ , áko Jáshowa éí bich'į' nizhníyáago ábizhdííniid , Da' nihich'ijíísh nílį́ , doodaii' nihi'ana'í daats'í bich'ijí nílį́ ?
6:5:014:0	Áko éí diné ání , Dooda , nidi k'ad Bóhólníihii bisiláo dah deínéehii binanit'a'í nishłį́įgo níyá . Áádóó Jáshowa ni'jį' yaa ádziidzaago nahodzisá , áko ábijiní , Shinanit'a'í binaal'a'í nishłį́įgo ha'át'íí lá shiłní ?
6:5:015:0	Áádóó Bóhólníihii bisiláo dah deínéehii binanit'a'í éí Jáshowa áyidííniid , Nikee' hadiidlé , háálá sínízínígi hodiyingo haz'ą́ . Áko Jáshowa t'áá ákódziidzaa .
