6:3:001:1	Ízrel dine'é éí Jórdan tooh ha'naa niníná
6:3:001:0	T'ah abíínídą́ą́' Jáshowa nídii'na'go Shíttimdóó dah náádadii'ná , áko Jórdan toohjį' Ízrel dine'é t'áá ałtso bił jiníná , índa t'ah doo ha'naa niinééhgóó t'áá ákwii dabiiską́ .
6:3:002:0	Áádóó ákódzaago táá' yiską́ą́dóó bik'ijį' diné naat'áanii danilíinii dah da'ínéhígíí yitahgóó tádookaigo
6:3:003:0	diné yich'į' hadaasdzíi'go ádaaní , Bóhólníihii nihiDiyin God bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii Líívai dine'é nááda'iiłniihii éí deí'aahgo deidoołtsééł índa bikéé' dah didoohkahgo bikéé' wohkah doo .
6:3:004:0	Ákót'ée nidi nihita' ahonízahgi bídadí'nóoł'aał go táadi mííl ké silá ánízahdę́ę́' bikéé' wohkah doo . Tsits'aa' dílzinii éí t'áadoo bit'áahjį' nidaahkaí , áko disoohkaigóó nihił béédahózin doo , háálá t'ah doo kojį' dohkáah da nít'éé' .
6:3:005:0	Áádóó Jáshowa éí diné áyidííniid , T'áá nihí diyingo áda'didoołnííł , háálá yiską́ągo nihitahgi Bóhólníihii álílee ayóó ádaat'éii íidoolííł .
6:3:006:0	Áádóó Jáshowa éí nááda'iiłniihii áyidííniid , Tsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii nídadooh'aahgo diné bilą́ąjį' deínóh'aah doo . Áko tsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii nídeidii'ą́ągo diné yilą́ąjį' dah diikai .
6:3:007:0	Áko Bóhólníihii éí Jáshowa áyidííniid , Díí jį́ Ízrel dine'é t'áá ałtso dabinááł ayóó át'éii nílį́įgo ándeeshłííł , áko díí bił béédahózin doo : Mózes bił honishłǫ́ yę́ęgi át'éego nił honishłǫ́ǫ doo .
6:3:008:0	Áádóó bich'į' bee handziihgo nááda'iiłniihii éí tsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii deí'aahígíí ábidiní , Jórdan tooh bibąąhjį' oohkaigo Jórdan tooh ałníi'gi hazhó'ó deidoosįįł .
6:3:009:0	Áko Jáshowa éí Ízrel dine'é áyidííniid , Wóshdę́ę́' hidohkááh , Bóhólníihii nihiDiyin God bizaad dadidoohts'į́į́ł .
6:3:010:0	Áko Jáshowa ání , Díí nihił béédahodoozįįł : Diyin God hináanii nihitahgi hólǫ́ ; éí t'áadoo ch'ééh ííł'íní nihilą́ąjį' Kéínan dine'é , Het dine'é , Háíva dine'é , Píírez dine'é , Gírgas dine'é , Ámor dine'é índa Jííbas dine'é ałtso baa ch'íhidoojah .
6:3:011:0	Jó , nahasdzáán t'áá át'é bee Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii nihilą́ąjį' Jórdan tooh ha'naa nidoot'ááł .
6:3:012:0	Éí bąą k'ad Ízrel dine'é bitahdóó diné naakits'áadahgo nídiinííł ; diné t'ááł á'í nítínígo ał'ąą dóone'é danilį́įgo nídidíínił .
6:3:013:0	Áádóó kót'ée doo : nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii deí'aah dooígíí taah dadeestáalgo , éí nahasdzáán t'áá át'é bee Bóhólníihii bitsits'aa' dílzinii éí bee Jórdan tooh áhodidoolzih , áko Jórdan tooh wódahdę́ę́' nílínígíí áhodiilzee'go doo nílį́į da dooleeł índa nihidii'áa dooleeł .
6:3:014:0	Ákódzaago diné dabiníbaaldóó Jórdan tooh ha'naagóó dah dadiináago tsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii diné yilą́ąjį' deí'aahgo yikah .
6:3:015:0	Áádóó tsits'aa' dílzinii deí'aahígíí Jórdan toohjį' yíkaigo áádóó nááda'iiłniihii tsits'aa' dílzinii deí'aahígíí tábąąhgi táyi' deizį'go , ( Jórdan tooh éí t'áá nída'nt'į́į́h bik'eh nádląąhgo ałtso wó'anídadziiłhał , )
6:3:016:0	áko íídą́ą́' tooh wódahdę́ę́' nílínígíí Záretan t'áá áyídígi Ádam kin haal'áhídóó nízaadi i'nool'ąądgo áhodiilzee'go doo nílį́į da índa nihidii'á silį́į́' ; dzígaigi tónteel siyínígíí , éí Tónteel Dók'ǫ́ǫzhii hoolyéii , bich'į'go tó nílínígíí íígo' , índída Ízrel dine'é éí Jériko bich'ijigo tsé'naa niníná .
6:3:017:0	Áádóó nááda'iiłniihii éí Bóhólníihii bitsits'aa' dílzinii éí bee aha'deet'áanii bii' sinilii deí'aahgo ni' hóółtseigi Jórdan tooh ałníi'gi naazį́į́ nít'éé' ; Ízrel dine'é t'áá ałtso ni' hóółtseigóó tsé'naa yikahgo diné ałtso Jórdan tooh ha'naa niikai .
