6:14:001:1	Kéínan ałts'ádaasdzo
6:14:001:0	Áádóó Kéínan kéyah biyi' díí kédaayah Ízrel dine'é bíí' daazlį́į́' ; Eliyéízar náá'iiłniihii nilíinii áádóó Nan biye' Jáshowa índa Ízrel dadine'é yá aląąjį' naazíinii éí kéyah bíí' dadooleełígíí baa dahideest'ą́ .
6:14:002:0	Yáá'iilt'e' bik'ehgo íí' dooleełii bíí' daazlį́į́' ; Bóhólníihii éí Mózes binahjį' yee haadzíi'ii bik'ehgo ádzaa ; jó , Ízrel dine'é náhást'éídóó náá'áłníi'goígíí kéyah baa dahideest'ą́ .
6:14:003:0	Háálá Ízrel dine'é naakigo dah yikahígíí áádóó Manáseh náá'áłníi'goígíí éí Jórdan tooh wónaanídi kéyah íí' dooleełii Mózes beidiní'ą́ , nidi éí bitahgi Líívai dine'é éí kéyah íí' dooleełii t'áadoo ła' yeidiní'ą́ą da .
6:14:004:0	Háálá Jóseph dine'é naakigo dah yikahígíí éí Manáseh áádóó Íífreiyim dine'é ádaat'į́ ; éí bąą Líívai dine'é éí kéyah íí' dooleełígíí t'áadoo ła' yaa deideez'ą́ą da , nidi kin hadaas'áii yii' kéédahat'į́į dooígíí t'éiyá ; ákwii kéyah dahootsooígíí t'áá bił éí dabilį́į́' bá índa ákwii bee dahólónígíí bá nahaz'ą́ .
6:14:002:1	Hííbran kéyah éí Kéíleb baa deet'ą́
6:14:005:0	Bóhólníihii éí Mózes yich'į' haadzí'ígi át'éego Ízrel dine'é ákóda'iilaago kéyah bíí' dadooleełii ałts'áda'deesdzo .
6:14:006:0	Áko Júdah dine'é éí Gílgalgi Jáshowa yaa yíkai áádóó Jiifáneh éí Kíínez dine'é nilínígíí biye' Kéíleb éí Jáshowa áyidííniid , Nił bééhózingo , Bóhólníihii Diyin God bits'ą́ą́dóó diné jílíinii Mózes áyidííniidígíí , éí shí índa ni ałdó' ádínihídéélt'i'go Kéídesh-barníyadi kódííniid ni' .
6:14:007:0	Dízdiin shinááhaigo Mózes éí Bóhólníihii yá naal'a'í nilíinii Kéídesh-barníyadóó naalchi'í nishłį́įgo kéyah hadeesił biniyé ch'íshiníł'a' yę́ędą́ą́' , saadígíí shijéí biyi'di baa ákoniizį́'ígíí bee bił náhweeshne' .
6:14:008:0	Nidi shik'isóó danilíinii shił naaskaígíí éí diné bijéí nitsideistłahgo t'óó yił dahóółhéé' , nidi shí éí t'áá sézį́į́ nít'éé' Bóhólníihii shiDiyin God bikéé' yishááł nít'éé' .
6:14:009:0	Áádóó éí bijį́į́dą́ą́' Mózes ádee hadoodzíi'go ání , T'áá aaníí kéyah bikáá' nisíníyáhígíí ni áádóó na'áłchíní bi ł éí kéyah íí' dooleełii danihíi'go ahool'áa doo , háálá t'áá sínízį́į́ nít'éé' Bóhólníihii shiDiyin God bikéé' yínááł nít'éé' .
6:14:010:0	Áko k'ad , shoo , Bóhólníihii hinishnáago áshósin , t'áá ádííniidígi át'éego , dízdiindóó ba'aan ashdla' nááhaijį' Bóhólníihii díí saad yee Mózes yich'į' haadzíi'ii bee Ízrel dine'é honoojíidi naaldeeh yę́ędą́ą́' hinishnáago áshósingo hoolzhiizh , áko k'ad , shoo , díí jį́ tseebídiindóó ba'aan ashdla' shinááhai .
6:14:011:0	Azhą́ ákót'ée nidi díí jį́į́góó t'ahdii ayóó ásóodziil ; Mózes dah shidiił'a'go shíyoołkááł yę́ędą́ą́' ásóodziil yę́ę t'ahdii t'áá ákót'é ; anaa' bich'į' áádóó t'áá shí hinishnánígíí t'ahdii bidziilgo hidishááh índa nináháshdááh .
6:14:012:0	Éí bąą k'ad díí dziłgo haz'ánígíí shaa diní'aah ; jó , łah Bóhólníihii t'áá ákót'éego yee haadzíi' ni' ; jó , éí bijį́į́dą́ą́' ákwii Éínak dine'é kéédahat'į́į́ nít'éé' áádóó ayóó át'é kin hadaas'á ditą́ągo binaa ahééda'astł'ingo baa dahodisíníts'ą́ą́' , áko Bóhólníihii shił hólǫ́ǫgo éí ałtso shaa ch'íhidoojah ; jó , Bóhólníihii ákódííniid ni' .
6:14:013:0	Ákohgo Jáshowa hak'ijisdli'go Jiifáneh biye' Kéíleb éí Hííbran dine'é bikéyah hóó' dooleeł biniyé haidiní'ą́ .
6:14:014:0	Éí bąą Hííbran kéyah éí Jiifáneh éí Kíínez dine'é nilínígíí biye' Kéíleb bí dooleełígíí yeidiní'ą́ , háálá t'áá dzizį́į́ nít'éé' Ízrel dine'é biBóhólníihii Diyin God bikéé' joogááł nít'éé' .
6:14:015:0	Éí bítséédą́ą́' Hííbran hoolyéhígi Kírjath-árba hoolyéé nít'éé' . Éínak dine'é bitahgi díí diné Árba wolyéii ayóó át'éii nilį́į́ nít'éé' . Ákohgo éí kéyahgi anaa' doo hólǫ́ǫ́góó hasht'ehodít'éé nít'éé' .
