6:11:001:1	Dadine'é éí Jéíbin yił nidaabaahígíí bik'eh dahodeesdlį́į́'
6:11:001:0	Ákódaadzaago Héízor kin haal'áádóó aláahgo naat'áanii Jéíbin wolyéii díí yaa hodiizts'ą́ą'go éí Méídan kin haal'áádóó aláahgo naat'áanii Jóbab wolyéii áádóó Shímran kin haal'áádóó aláahgo naat'áanii índa Ákshaf kin haal'áádóó aláahgo naat'áanii bich'į' i'dziis'a' ,
6:11:002:0	áádóó aláahgo naat'áanii danilíinii náhookǫsjígo dziłgo nahaz'ánígóó kéédahat'ínígíí áádóó Kíniirath kin haal'áádóó shádi'ááhjígo Áraba dzígaigóó kéédahat'ínígíí áádóó yíldzisgóó kéédahat'ínígíí índa e'e'aahjígo dah yisk'id bighą́ą'di Dóor kin haal'áagi kéédahat'ínígíí ałdó' bich'į' i'dziis'a' ,
6:11:003:0	áádóó Kéínan dine'é ha'a'aahjígo índa e'e'aahjígo kéédahat'ínígíí áádóó Ámor dine'é áádóó Het dine'é áádóó Píírez dine'é índa Jííbas dine'é dziłgo nahaz'ánígóó kéédahat'ínígíí áádóó Mízpeh nahós'a'gi Dził Hérman bitsį́įdi Háíva dine'é kéédahat'ínígíí díí t'áá ałtso bich'į' i'dziis'a' .
6:11:004:0	Áádóó éí áádę́ę́' bisiláo t'áá ałtso yił diné ts'ídá t'óó ahayóigo yił ch'íníná ; éí tónteel bibąąhgóó séígi ánéelą́ą́' nahalingo łį́į́' áádóó tsindaabąąs bijáád naakiígíí t'óó ahayóí yee ch'íníná .
6:11:005:0	Áko díí aláahgo naat'áanii danilíinii t'áá ałtso bisiláo áłah ádayiilaago Ízrel dine'é yił ałk'iidoojah biniyé be'ek'id Mííram hoolyéegi tábąąhgóó niníná .
6:11:006:0	Áádóó Bóhólníihii éí Jáshowa áyidííniid , Éí t'áadoo bééníldzidí , háálá yiską́ągo kóhoodzaago éí t'áá ałtso naa dideesh'áałgo Ízrel dine'é dabinááł nidííłtsił áádóó dabilį́į́' dabijáts'id k'íhidííłniił índa dabitsindaabąąs bijáád naakiígíí adahididííłk'ą́ą́ł .
6:11:007:0	Áko Jáshowa éí hodine'é anaa' da'ał'íinii t'áá ałtso bił t'áadoo kót'é'ílíní bik'ijį' hajizhjée'go be'ek'id Mííram hoolyéhí bíighahgi bik'i jiijéé' .
6:11:008:0	Áko Bóhólníihii éí Ízrel dine'é yeidiní'ą́ągo ayóó át'é Sáídan kin haal'áágóó áádóó Mísriifath-méíyim kin shijaa'góó índa ha'a'aahjígo Mízpeh yíldzisgóó baa deíjeehgo deiníłtseed , áko t'áadoo ła' áádeisįįd da .
6:11:009:0	Áko Bóhólníihii éí Jáshowa áyidííniidígi át'éego dabilį́į́' bijáts'id yiyiisne' áádóó dabitsindaabąąs bijáád naakiígíí ałtso iidiyiisk'ą́ą́' .
6:11:010:0	Áádóó ákwii hoolzhish yę́ędą́ą́' Jáshowa hadine'é bił t'ą́ą́' níjíkaigo Héízor kin haal'áii dadzisnáago éí aláahgo binanit'a'í diltłish bee dadziisxį́ , háálá Héízor kin haal'áii éí bítséédą́ą́' díí aláahgo bee ídahólníihgo bił nahaz'áanii t'áá ałtso yee bídahólnííh nít'éé' .
6:11:011:0	Áko ákwii kéédahat'íinii diltłish bee ałtso ádadzisdįįd ; dahináanii t'áadoo ła' yidzíi' da , índa Héízor kin haal'áii iidííłk'ą́ą́' .
6:11:012:0	Áádóó aláahgo naat'áanii danilíinii bikin hadaas'áii t'áá ałtso índa aláahgo binanit'a'í danilíinii t'áá ałtso dadzisnáago éí Jáshowa hadine'é bił diltłish bee nidadzistseedgo ts'ídá ałtso ádadzisdįįd ; Mózes éí Bóhólníihii binaal'a'í nilį́įgo hach'į' yee haadzíi'ii bik'eh hojííł'įįd .
6:11:013:0	Nidi dah daask'idgóó kin hadaas'áii éí Ízrel dine'é t'áadoo adeideesk'ą́ą' da ; t'áá hazhó'ó Héízor kin haal'áii t'éiyá éí Jáshowa iidííłk'ą́ą́' .
6:11:014:0	Áádóó díí kin hadaas'áágóó ana'í binaalye'é bąąh da'oogą́ą'ii áádóó alį́į'da éí Ízrel dine'é t'áá bí ádá áádeisįįd , nidi diné t'ááłá'í nítínígo diltłish bee nidadziłtseedgo ts'ídá ałtso ádadzisdįįd , áko dahináanii t'áadoo ła' áádadzisįįd da .
6:11:002:1	Jáshowa éí kéyah t'áá át'é yisná
6:11:015:0	Bóhólníihii éí Mózes há naal'a'í nilį́įgo bich'į' bee hadzoodzí'ígi át'éego Mózes ałdó' t'áá ákót'éego Jáshowa yich'į' yee haadzíí' , áko Jáshowa éí t'áá ákódzaa ; Bóhólníihii éí Mózes yich'į' yee haadzíi'ii bik'ehgo Jáshowa í'jiilaaígíí ałtso ła' dajiilaa .
6:11:016:0	Áko Jáshowa éí kéyah t'áá át'éé nít'éé' yisná ; dah daask'idgóó áádóó kéyah shádi'áahjigo t'áá át'é áádóó kéyah Góshen hoolyéhígíí t'áá át'é áádóó Áraba dzígaigóó áádóó Ízrel dine'é bikéyah dah daask'idgóó índa dadzígaigóó
6:11:017:0	Dził Héílak si'ánídóó Dził Síyer bich'į'go t'áá Béíyal-géedjį' , éí Dził Hérman si'ání bitsį́įdi Lébanan yíldzisgóó ak'eh dadeesdlį́į́' . Áko aláahgo binanit'a'í danilíinii t'áá ałtso dzisnáago atíjiilaago nidzistseed .
