6:22:001:1	Jórdan tooh nílíní bibąąhgi bikáá' náá'iiniihí ályaa
6:22:001:0	Áko Jáshowa éí Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí hágo bizhdííniidgo
6:22:002:0	ábizhdííniid , Bóhólníihii yá naal'a'í Mózes nihich'į' yee haadzíi'ii t'áá ałtso bida'íínóhsin nít'éé' , índa nihich'į' bee hahásdzíi'ii shizaad t'áá ałtso bik'eh dahonoł'į́į́ nít'éé' ;
6:22:003:0	nihik'isóó danilíinii t'áadoo bits'ą́ą́' dadínóhchéhí t'óó ahayóí yiską́ díí jį́į́góó ákódaaht'į́ , nidi Bóhólníihii nihiDiyin God nihich'į' yee haadzíi'ii bik'eh ádanoht'éé nít'éé' .
6:22:004:0	Áko k'ad Bóhólníihii nihiDiyin God éí nihik'isóó háá'áyį́į́h yeidiní'ą́ ; jó , t'áá ákót'éego yich'į' yee ádee hadoodzíí' ; éí bąą k'ad nihéédahohkááh ; danihighangóó áádóó kéyah nihíí' daazlį́'ígóó , éí Bóhólníihii yá naal'a'í Mózes wolyéii Jórdan tooh wónaanídi nihaa hodiní'ánígóó nihéédahohkááh .
6:22:005:0	Haleebee hazhó'ó ádaa ádahołyą́ągo bik'eh ó'oo'níiłii áádóó bee haz'áanii bik'eh dahonoł'į́ ; éí Bóhólníihii yá naal'a'í Mózes hazhó'ó yee ánihidííniid , áko Bóhólníihii nihiDiyin God ayóó'ádeínóh'ní , áádóó bihonít'i'ii t'áá ałtso bik'ehgo dayínóhkááh , áádóó bibik'eh ó'oo'níiłii bik'eh dahonoł'į́ , áádóó t'áá bí t'éí bí'ádadíínółtą' , índa nihijéí t'áá át'é bee áádóó nihii' sizíinii t'áá át'é bee bá nidaał'a' .
6:22:006:0	Áko Jáshowa hak'ijisdli'go hwéé'níłnii' áádóó dahaghangóó anídadziiskai .
6:22:007:0	Áko Mózes éí Manáseh dine'é ałníí'dóóígíí Béíshan kéyah biyi' bíí' dooígíí yeidiní'ą́ , nidi Manáseh dine'é łahjį' ałníí'dóóígíí éí dabik'is bikédaayah bitahgi Jórdan tooh e'e'aahjígo bíí' dooígíí Jáshowa beidiní'ą́ . Áádóó dahaghangóó Jáshowa hwéé'iisnii'go hak'ijisdli' ,
6:22:008:0	áádóó áhodííniid , Da'oht'į́įgo nihighangóó nídeínóhkááh ; nihilį́į́' t'óó adahayóigo áádóó béésh łigaii áádóó óola áádóó béésh łitsoii áádóó béésh nitł'izii índa éé' t'óó ahayóí nihee dahólǫ́ǫgo nihi'ana'í bindaalye'é bąąh nida'soołtseedígíí nihik'isóó bił ałts'ádadi'doohnił .
6:22:009:0	Áko Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí dabighangóó anídahaaskai ; Ízrel dine'é áłah nilínídóó , éí Sháíloh haz'ánígi Kéínan kéyah biyi'dóó Gíliyad kéyahgóó dah nídahidiikai ; kéyah bíí' daazlį́į'go bíí' ádayiilaaígíí yich'į' anáhaaskai ; éí Mózes biniit'aa Bóhólníihii yee haadzíi'ii bik'ehgo hóó' ádajiilaa .
6:22:010:0	Áádóó Kéínan kéyahgi Jórdan tooh bibąąhgóó hoodzoíjį' yíkaigo Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí ákwe'é Jórdan tooh bibąąhgi bikáá' náá'iiniihí nitsxaago ádayiilaa .
6:22:011:0	Áádóó Ízrel dine'é éí kóhá'níigo deidiizts'ą́ą́' , Jó , Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí Kéínan kéyahgi Jórdan tooh bibąąhgóó Ízrel dine'é ninínánígi bikáá' náá'iiniihí ádayiilaa .
6:22:012:0	Áko Ízrel dine'é díí yaa dahodiizts'ą́ą'go yich'į' anaa' ádahodoolííł biniyé Sháíloh haz'ánígi Ízrel dine'é áłah silį́į́' .
6:22:013:0	Áko Ízrel dine'é éí Gíliyad kéyahgóó Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí bich'į' náá'iiłniihii Eliyéízar biye' Fíniyas adeis'a' ,
6:22:014:0	áádóó bídahólníhígíí neeznált' éego aláahgo hwee ádídahólníihgo Ízrel dine'é dah deínéehii yik'eh nízíinii hoł adeis'a' ; dahazhé'é yę́ę ba'áłchíní dajílį́įgo hódahólníhígíí Ízrel dine'é miil daalt'éii bá aląąjį' nidzizį́ .
6:22:015:0	Áádóó Gíliyad kéyahdi Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí yaa yíkaigo ádeidííniid ,
6:22:016:0	Bóhólníihii bidine'é áłah silį́'ígíí t'áá ałtso ádaaní , Ha'át'íí lá bee Ízrel dine'é biDiyin God bich'į' doo ákǫ́ǫ́ ádaot'įįdgóó Bóhólníihii bikéé' deínóhkááh nít'éé' yę́ę díí jį́ bits'áhisoohkaigo bikáá' náá'iiniihí ádá ádaahłaa ? Jó , éí bee díí jį́ Bóhólníihii bich'į' nidasoołtee' .
6:22:017:0	Da' Píyor kin shijaa'diísh t'įįhdígo doo ákwii ádeiit'įįd da ? Jó , t'áá nihí nidi doo nihida'dódééh át'ée da . Azhą́ Bóhólníihii bidine'é dah yinéłígíí bee atí'él'íinii yee atíyiilaa nidi ákóniit'é .
6:22:018:0	Ákoósh díí jį́ Bóhólníihii bikéé' deínóhkááh nít'éé' yę́ę bits'ánóhkááh lá ? Áko kót'ée doo : díí jį́ Bóhólníihii t'áá bich'į' nidasoołtee'go yiską́ągo Ízrel dine'é dah yinéłígíí t'áá ałtso yich'į' báhodoochįįł .
6:22:019:0	Nidi k'ad nihikéyah doo yá'áhoot'ééhgóogo , Bóhólníihii bikéyah biyi'jį' ha'naa ninádooh'néełgo Bóhólníihii biníbaal bii' hodílzinii si'ánígóó nihitahgi kéyah nídahodidooh'ááł . Bóhólníihii bich'į' áádóó nihí nihich'į' t'ááká ádił nidaołteeł lágo , Bóhólníihii nihiDiyin God bibikáá' náá'iiniihí t'ah biláhídi át'éii t'ááká bikáá' náá'iiniihí náánáła' ánáádaohdlééh lágo .
6:22:020:0	Zíírah biye' Éíkan wolyéii Bóhólníihii bich'į' nideet'áanii yee doo ákǫ́ǫ́ áátįįdígíí biniinaa doósh Bóhólníihii yee hashké nídzinii yee Ízrel dine'é dah yinéłígíí t'áá ałtso atíyiilaa da ? Áádóó éí doo ákwii áát'įįdígíí t'éiyá biniinaa diné náánáła' ałdó' ádabi'disdįįd .
6:22:021:0	Áko Rúben dine'é áádóó Géed dine'é índa Manáseh dine'é ałníí'dóóígíí áńdahodoo'niidgo Ízrel dine'é mííl daalt'éego yiląąjį' naazíinii ádeidííniid ,
6:22:022:0	Diyin God , Diyin God , éí Bóhólníihii nilíinii , Diyin God , Diyin God , éí Bóhólníihii nilíinii , éí díí bił bééhózin , índa Ízrel dine'é t'áá bí bił béédahodoozįįł ! Nideiilteehgo , doodaii' Bóhólníihii bich'į' doo ákǫ́ǫ́ ádeiit'į́į́góó , áko díí jį́ yisdánihóónííł lágo ,
