6:21:001:1	Líívai dine'é bá kin hadaas'áii
6:21:001:0	Áko Líívai dine'é bizhé'é danilíinii bada'áłchíní yá aląąjį' naazíinii éí náá'iiłniihii Eliyéízer áádóó Nan biye' Jáshowa índa Ízrel dine'é bizhé'é danilíinii bada'áłchíní yá aląąjį' naazíinii yaa yíkai ,
6:21:002:0	áko Sháíloh hoolyéedi Kéínan kéyahgi ádahodííniidgo ádaaní , Bóhólníihii éí Mózes biniit'aa kóníigo yee haadzíi'ii , kin hadaas'áii bii' kéédahwiit'į́į dooígíí , dahootso dooígíí t'áá bił nihilį́į́' bá nihaa hodidoot'ááł .
6:21:003:0	Áko Ízrel dine'é bikin hadaas'áii bíí' daazlį́'ígíí łahjį' , índa dahootsooígíí Líívai dine'é yaa deideez'ą́ ; éí Bóhólníihii yee haadzíi'ii bik'ehgo ádzaa .
6:21:004:0	Yáá'iilt'e' bik'ehgo Kóhath dine'é bíí' dooleełii bá bééhoozin . Áko náá'iiłniihii Éran joolyéii ha'áłchíní náás ahoolchíiłii , Líívai dine'é danilį́įgo , yáá'iilt'e' bik'ehgo Júdah áádóó Símiyan índa Bénjamin dine'é táá'ts'áadahgo bikin hadaas'áhígíí Líívai dine'é bíí' daazlį́į́' .
6:21:005:0	Áádóó Kóhath dine'é łahjį'ígíí yáá'iilt'e' bik'ehgo Íífreiyim dine'é áádóó Dan dine'é índa Manáseh dine'é ałníí'dóóígíí éí bada'áłchíní ahii' háá'ahiyoolchíiłii bikin hadaas'áii neeznáá kin haal'á bíighahgo bíí' daazlį́į́' .
6:21:006:0	Áádóó Gérshan dine'é yáá'iilt'e' bik'ehgo Ísakar dine'é áádóó Ásher dine'é áádóó Náftalai dine'é índa Manáseh dine'é ałníí'dóóígíí Béíshan kéyahgi kéédahat'ínígíí bada'áłchíní ahii' háá'ahiyoolchíiłii bikin hadaas'áii táá'ts'áadahgo bíí' daazlį́į́' .
6:21:007:0	Áádóó Miirárai dine'é ba'áłchíní ahii' háá'ahiyoolchíiłii bik'ehgo Rúben dine'é áádóó Géed dine'é índa Zébyulan dine'é bikin hadaas'áii naakits'áadahgo bíí' daazlį́į́' .
6:21:008:0	Áko Ízrel dine'é éí yáá'iilt'e' bik'ehgo Líívai dine'é díí kin hadaas'áii áádóó binaagóó dahootsooígíí yaa deideez'ą́ ; Bóhólníihii éí Mózes biniit'aa yee haadzíi'ii yik'eh ádaadzaa .
6:21:009:0	Áádóó Júdah dine'é índa Símiyan dine'é dabikéyahgi díí kin hadaas'áii bitaa'ééji'ígíí yaa deideez'ą́ ,
6:21:010:0	éí Éran ba'áłchíní náás ahoolchíiłii ła' Kóhath dine'é ahii' háá'ahiyoolchíiłii , éí Líívai dine'é danilį́įgo yáá'iilt'e' bik'ehgo alą́ąjį' bá bééhoozinígíí bíí' daazlį́į́' .
6:21:011:0	Éínak dine'é yizhé'é nilíinii Árba wolyéii bikin haal'áii Hííbran hoolyéhígíí baa dazdeez'ą́ ; éí Júdah dine'é bikéyah dah daask'idígi dahootsooígíí t'áá bił baa dazdeez'ą́ .
6:21:012:0	Nidi kin haal'áagi dáda'ak'ehígíí índa ákwii kin dah naazhjaa'ígíí éí Jiifáneh biye' Kéíleb bíí' dooleełgo yaa deideez'ą́ .
6:21:013:0	Ákohgo náá'iiłniihii Éran dine'é éí Hííbran kin haal'áii binaagóó dahootsooígíí t'áá bił yaa deideez'ą́ ; éí kin haal'áii bii'jį' yisdá'niichéehii iisxíinii bá át'é , áádóó Líbnah kin haal'áii binaagóó dahootsooígíí t'áá bił yaa deideez'ą́ .
6:21:014:0	Áádóó ałdó' díí kin hadaas'áii kódahoolyéhígíí : Játer binaagóó dahootsooígíí t'áá bił , Éshtiimowa binaagóó dahootsooígíí t'áá bił ,
6:21:015:0	Hólan binaagóó dahootsooígíí t'áá bił , Dííber binaagóó dahootsooígíí t' áá bił ,
6:21:016:0	Áyiin binaagóó dahootsooígíí t'áá bił , Játah binaagóó dahootsooígíí t'áá bił índa Beth-shíímesh binaagóó dahootsooígíí t'áá bił ; díí naakigo dine'é bikéyah biyi' náhást'éigo kin hadaas'áii Éran dine'é bíí' daazlį́į́' .
6:21:017:0	Áádóó Bénjamin dine'é bikéyah biyi' éí Gíbiyan kin haal'áii binaagóó dahootsooígíí t'áá bił , Gííba kin haal'áii binaagóó dahootsooígíí t'áá bił ,
6:21:018:0	Ánathath kin haal'áii binaagóó dahootsooígíí t'áá bił índa Álman kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas' áii Éran dine'é bíí' daazlį́į́' .
6:21:019:0	Áko Éran dine'é náá'iiłniihii danilíinii bikin hadaas'áii t'áá ałtsogo binaagóó dahootsooígíí t'áá bił táá'ts'áadahgo kin haal'á bíí' daazlį́į́' .
6:21:020:0	Kóhath dine'é ahii' háá'ahiyoolchíiłii t'áá éí Kóhath dine'é łahjį'ígíí , Líívai dine'é danilį́įgo , yáá'iilt'e' bik'ehgo Íífreiyim dine'é bikéyah biyi' kin hadaas'áii baa dahideest'ą́ .
6:21:021:0	Éí baa dahideest'ánígíí Shííkem hoolyéii dahootsooígíí t'áá bił Íífreiyim dine'é bidziłgo nahaz'ánígi kin haal'áii bii'jį' yisdá'niichéehii iisxíinii bá át'é , áádóó Gíízer kin haal'áii binaagóó dahootsooígíí t'áá bił yaa deideez'ą́ ,
6:21:022:0	áádóó Kibzéíyim binaagóó dahootsooígíí t'áá bił índa Beth-hóran binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas'áhígíí hóó' daazlį́į́' ,
6:21:023:0	áádóó Dan dine'é bikéyah biyi' Éltiikii kin haal'áii binaagóó dahootsooígíí t'áá bił , Gíbithan kin haal'áii binaagóó dahootsooígíí t'áá bił ,
6:21:024:0	Éíjalan kin haal'áii binaagóó dahootsooígíí t'áá bił índa Gath-ríman kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas'áii hóó' daazlį́į́' ,
6:21:025:0	áádóó Manáseh dine'é ałníí'dóóígíí bikéyah biyi' éí Téíyanak kin haal'áii binaagóó dahootsooígíí t'áá bił áádóó Gath-ríman kin haal'áii binaagóó dahootsooígíí t'áá bił , éí naakigo kin haal'áii hóó' daazlį́į́' .
6:21:026:0	Áko kin hadaas'áhígíí t'áá ałtsogo neeznáá kin haal'áá lá ; binaagóó dahootsooígíí t'áá bił Kóhath dine'é ba'áłchíní ahii' háá'ahiyoolchíiłii łahjį'ígíí bíí' daazlį́į́' .
6:21:027:0	Áádóó Gérshan dine'é , éí Líívai dine'é danilį́įgo baa deet'ánígíí , éí Manáseh dine'é ałníí'dóóígíí bikéyah biyi' kin hadaas'áhígíí , éí Béíshan kéyahgi Gólan kin haal'áii binaagóó dahootsooígíí t'áá bił yaa deideez'ą́ ; éí kin haal'áii bii'jį' yisdá'niichéehii iisxíinii bá át'é , áádóó Be'éshtarah kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí naakigo kin haal'áii hóó' daazlį́į́' .
6:21:028:0	Áádóó Ísakar dine'é bikéyah biyi' Kíshyan kin haal'áii binaagóó dahootsooígíí t'áá bił , Dábareth kin haal'áii binaagóó dahootsooígíí t'áá bił ,
6:21:029:0	Jármath kin haal'áii binaagóó dahootsooígíí t'áá bił índa Engánim kin shijaa'gi binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas'áii hóó' daazlį́į́' .
6:21:030:0	Áádóó Ásher dine'é bikéyah biyi' Méíshal kin haal'áii binaagóó dahootsooígíí t'áá bił , Ábdan kin haal'áii binaagóó dahootsooígíí t'áá bił ,
6:21:031:0	Hélkath kin haal'áii binaagóó dahootsooígíí t'áá bił índa Rííhob kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas'áii hóó' daazlį́į́' .
6:21:032:0	Áádóó Náftalai dine'é bikéyah biyi' kin hadaas'áhígíí éí Gálilii kéyahgi Kíídesh kin haal'áii binaagóó dahootsooígíí t'áá bił hóó' daazlį́į́' ; éí kin haal'áii bii'jį' yisdá'niichéehii iisxíinii bá át'é , áádóó Hámath-dóor kin haal'áii binaagóó dahootsooígíí t'áá bił índa Kártan kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí táa'go kin hadaas'áii hóó' daazlį́į́' .
6:21:033:0	Áko Gérshan dine'é bada'áłchíní ahii' háá'ahiyoolchíiłii bik'ehgo bikin hadaas'áii t'áá ałtsogo binaagóó dahootsooígíí t'áá bił táá'ts'áadahgo kin haal'á bíí' daazlį́į́' .
6:21:034:0	Áádóó Zébyulan dine'é bits'ą́ą́dóó Miirárai dine'é ahii' háá'ahiyoolchíiłii , éí Líívai dine'é danilį́įgo łahjį'ígíí , éí díí baa deet'ą́ : Jákniyam kin haal'áii binaagóó dahootsooígíí t'áá bił , Kártah kin haal'áii binaagóó dahootsooígíí t'áá bił ,
6:21:035:0	Dímnah kin haal'áii binaagóó dahootsooígíí t'áá bił índa Néíhalal kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas'áii Miirárai dine'é bíí' daazlį́į́' .
6:21:036:0	Áádóó Rúben dine'é bikéyah biyi' Bíízer kin haal'áii binaagóó dahootsooígíí t'áá bił , Jahéízah kin haal'áii binaagóó dahootsooígíí t'áá bił ,
6:21:037:0	Kédiimath kin haal'áii binaagóó dahootsooígíí t'áá bił índa Méfeiyath kin haal'áii binaagóó dahootsooígíí t'áá bił ; éí dį́į'go kin hadaas'áii Miirárai dine'é bíí' daazlį́į́' .
6:21:038:0	Áádóó Géed dine'é bikéyah biyi' , éí Gíliyad kéyahgi Réímath kin haal'áii binaagóó dahootsooígíí t'áá bił hóó' daazlį́į́' ; éí kin haal'áii bii'jį' yisdá'niichéehii iisxíinii bá át'é , áádóó Meihanéíyim kin haal'áii binaagóó dahootsooígíí t'áá bił ,
